DATE,BR_SOY_MEAL_DOMESTIC_CONSUMPTION
2002-01-31,462.19
2002-02-28,658.75
2002-03-31,675.64
2002-04-30,679.85
2002-05-31,701.99
2002-06-30,711.54
2002-07-31,686.95
2002-08-31,618.45
2002-09-30,537.78
2002-10-31,600.37
2002-11-30,590.88
2002-12-31,611.57
2003-01-31,495.31
2003-02-28,584.17
2003-03-31,641.61
2003-04-30,699.52
2003-05-31,674.63
2003-06-30,682.67
2003-07-31,796.37
2003-08-31,681.7
2003-09-30,682.04
2003-10-31,688.23
2003-11-30,566.74
2003-12-31,652.79
2004-01-31,527.95
2004-02-29,507.98
2004-03-31,634.67
2004-04-30,634.68
2004-05-31,660.66
2004-06-30,670.62
2004-07-31,801.46
2004-08-31,720.07
2004-09-30,709.85
2004-10-31,768.72
2004-11-30,769.82
2004-12-31,821.47
2005-01-31,711.45
2005-02-28,665.33
2005-03-31,647.72
2005-04-30,713.29
2005-05-31,822.48
2005-06-30,807.08
2005-07-31,727.85
2005-08-31,837.19
2005-09-30,692.19
2005-10-31,773.17
2005-11-30,794.68
2005-12-31,839.01
2006-01-31,842.65
2006-02-28,668.5
2006-03-31,773.32
2006-04-30,764.67
2006-05-31,771.29
2006-06-30,789.6
2006-07-31,806.54
2006-08-31,910.17
2006-09-30,911.06
2006-10-31,958.28
2006-11-30,921.22
2006-12-31,869.5
2007-01-31,799.71
2007-02-28,688.84
2007-03-31,731.58
2007-04-30,838.15
2007-05-31,949.67
2007-06-30,1008.05
2007-07-31,1009.21
2007-08-31,1066.53
2007-09-30,1014.08
2007-10-31,1079.82
2007-11-30,1120.31
2007-12-31,870.46
2008-01-31,948.56
2008-02-29,908.8
2008-03-31,916.94
2008-04-30,1049.78
2008-05-31,947.29
2008-06-30,1017.25
2008-07-31,1110.49
2008-08-31,995.3
2008-09-30,1088.14
2008-10-31,972.74
2008-11-30,1048.94
2008-12-31,926.04
2009-01-31,863.17
2009-02-28,787.91
2009-03-31,933.17
2009-04-30,945.92
2009-05-31,1031.8
2009-06-30,802.14
2009-07-31,1158.98
2009-08-31,1068.7
2009-09-30,962.44
2009-10-31,1128.25
2009-11-30,927.01
2009-12-31,923.77
2010-01-31,974.0
2010-02-28,828.08
2010-03-31,970.42
2010-04-30,1067.29
2010-05-31,1161.71
2010-06-30,1151.85
2010-07-31,1216.94
