DATE,BR_SOY_MEAL_EXPORTS
2002-01-31,533.23
2002-02-28,391.67
2002-03-31,835.33
2002-04-30,976.0
2002-05-31,1133.0
2002-06-30,1142.0
2002-07-31,1341.33
2002-08-31,1229.33
2002-09-30,1373.0
2002-10-31,1355.0
2002-11-30,1100.67
2002-12-31,1056.33
2003-01-31,645.76
2003-02-28,650.33
2003-03-31,716.33
2003-04-30,1014.3
2003-05-31,1578.33
2003-06-30,1400.67
2003-07-31,1300.67
2003-08-31,1330.0
2003-09-30,1353.0
2003-10-31,1162.33
2003-11-30,1181.33
2003-12-31,1053.5
2004-01-31,836.0
2004-02-29,861.0
2004-03-31,1135.67
2004-04-30,1107.33
2004-05-31,1549.33
2004-06-30,1380.0
2004-07-31,1007.0
2004-08-31,1685.0
2004-09-30,1458.67
2004-10-31,1135.0
2004-11-30,815.0
2004-12-31,1142.67
2005-01-31,791.0
2005-02-28,934.46
2005-03-31,1083.08
2005-04-30,1344.69
2005-05-31,1531.48
2005-06-30,1263.25
2005-07-31,1347.74
2005-08-31,1198.1
2005-09-30,1347.23
2005-10-31,1135.5
2005-11-30,1185.89
2005-12-31,817.91
2006-01-31,699.83
2006-02-28,661.0
2006-03-31,936.0
2006-04-30,1243.0
2006-05-31,1076.0
2006-06-30,1120.0
2006-07-31,1284.0
2006-08-31,1130.0
2006-09-30,1237.0
2006-10-31,1047.0
2006-11-30,884.0
2006-12-31,957.0
2007-01-31,649.0
2007-02-28,888.5
2007-03-31,1169.0
2007-04-30,1181.5
2007-05-31,1250.0
2007-06-30,1287.0
2007-07-31,1290.0
2007-08-31,1258.5
2007-09-30,1217.5
2007-10-31,983.5
2007-11-30,728.5
2007-12-31,823.65
2008-01-31,821.0
2008-02-29,738.82
2008-03-31,941.14
2008-04-30,1096.15
2008-05-31,1444.94
2008-06-30,1197.57
2008-07-31,1336.75
2008-08-31,1084.39
2008-09-30,1069.44
2008-10-31,1187.07
2008-11-30,735.67
2008-12-31,1045.9
2009-01-31,652.15
2009-02-28,491.0
2009-03-31,1066.33
2009-04-30,1338.67
2009-05-31,1411.67
2009-06-30,1393.0
2009-07-31,1107.67
2009-08-31,1375.0
2009-09-30,838.33
2009-10-31,778.0
2009-11-30,853.33
2009-12-31,819.33
2010-01-31,565.67
2010-02-28,913.33
2010-03-31,1225.88
2010-04-30,1343.32
2010-05-31,1717.64
2010-06-30,1299.03
2010-07-31,1477.57
2010-08-31,998.0
2010-09-30,1278.59
2010-10-31,1128.05
2010-11-30,1038.68
2010-12-31,863.48
2011-01-31,871.76
2011-02-28,912.4
2011-03-31,1036.5
2011-04-30,1377.93
2011-05-31,1540.79
2011-06-30,1296.19
2011-07-31,1347.83
2011-08-31,1028.3
2011-09-30,1569.64
2011-10-31,1310.44
2011-11-30,1104.9
2011-12-31,1054.14
2012-01-31,894.95
2012-02-29,1051.47
2012-03-31,1080.85
2012-04-30,1430.31
2012-05-31,1373.87
2012-06-30,1395.62
2012-07-31,1238.22
2012-08-31,1502.29
2012-09-30,1282.84
2012-10-31,1086.19
2012-11-30,957.32
2012-12-31,591.45
2013-01-31,768.2
2013-02-28,656.68
2013-03-31,634.42
2013-04-30,1446.59
2013-05-31,1506.29
2013-06-30,1300.21
2013-07-31,1384.53
2013-08-31,1377.45
2013-09-30,1009.82
2013-10-31,1283.01
2013-11-30,1171.03
2013-12-31,837.47
2014-01-31,739.42
2014-02-28,600.47
2014-03-31,959.15
2014-04-30,1340.58
2014-05-31,1486.89
2014-06-30,1534.94
2014-07-31,1473.73
2014-08-31,1347.62
2014-09-30,1149.37
2014-10-31,1196.34
2014-11-30,960.06
2014-12-31,1028.43
2015-01-31,1006.93
2015-02-28,899.31
2015-03-31,1262.43
2015-04-30,1251.52
2015-05-31,1547.41
2015-06-30,1329.32
2015-07-31,1412.29
2015-08-31,1348.12
2015-09-30,1291.69
2015-10-31,1457.43
2015-11-30,855.42
2015-12-31,1133.87
2016-01-31,897.44
2016-02-29,898.71
2016-03-31,1243.19
2016-04-30,1701.38
2016-05-31,1532.64
2016-06-30,1584.79
2016-07-31,1164.44
2016-08-31,1226.89
2016-09-30,878.23
2016-10-31,827.34
2016-11-30,976.93
2016-12-31,1306.03
2017-01-31,998.91
2017-02-28,1035.4
2017-03-31,1158.69
2017-04-30,1427.1
2017-05-31,1255.98
2017-06-30,1187.89
2017-07-31,1401.14
2017-08-31,1195.3
2017-09-30,1357.62
2017-10-31,844.25
2017-11-30,1177.4
2017-12-31,1137.37
2018-01-31,1174.71
2018-02-28,1217.62
2018-03-31,1362.6
2018-04-30,1678.25
2018-05-31,1477.01
2018-06-30,1396.95
2018-07-31,1647.72
2018-08-31,1405.66
2018-09-30,1596.54
2018-10-31,992.83
2018-11-30,1384.61
2018-12-31,1337.53
2019-01-31,1236.37
2019-02-28,904.61
2019-03-31,1409.54
2019-04-30,1443.43
2019-05-31,1611.9
2019-06-30,1629.34
2019-07-31,1472.12
2019-08-31,1355.54
2019-09-30,1369.54
2019-10-31,1426.49
2019-11-30,1185.68
2019-12-31,1637.09
2020-01-31,1086.66
2020-02-29,984.61
2020-03-31,1552.51
2020-04-30,1759.81
2020-05-31,1753.51
2020-06-30,1385.41
2020-07-31,1702.94
2020-08-31,1672.39
2020-09-30,1327.35
2020-10-31,1304.47
2020-11-30,1292.49
2020-12-31,1115.77
2021-01-31,1069.66
2021-02-28,1021.07
2021-03-31,1344.43
2021-04-30,1550.73
2021-05-31,1761.74
2021-06-30,1859.44
2021-07-31,1548.87
2021-08-31,1443.32
2021-09-30,1400.5
2021-10-31,1349.78
2021-11-30,1356.81
2021-12-31,1442.77
2022-01-31,1462.97
2022-02-28,1345.14
2022-03-31,1753.95
2022-04-30,1781.72
2022-05-31,1824.42
2022-06-30,2013.04
2022-07-31,2284.27
2022-08-31,1664.62
2022-09-30,1630.04
2022-10-31,1654.53
2022-11-30,1415.83
2022-12-31,1522.47
2023-01-31,1618.48
2023-02-28,1313.66
2023-03-31,1631.2
2023-04-30,1658.49
2023-05-31,2234.31
2023-06-30,2229.88
2023-07-31,2052.47
2023-08-31,2189.58
2023-09-30,2034.33
2023-10-31,1541.03
2023-11-30,2107.2
2023-12-31,1862.85
2024-01-31,1838.82
2024-02-29,1566.18
2024-03-31,1655.58
2024-04-30,2074.58
2024-05-31,1984.15
2024-06-30,1867.34
2024-07-31,2148.77
2024-08-31,2176.51
2024-09-30,1623.97
2024-10-31,2532.55
2024-11-30,1809.62
2024-12-31,1855.73
2025-01-31,1690.0
