DATE,BR_SOY_MEAL_EXPORT_PRICE
2015-06-01,325.0
2015-06-02,326.0
2015-06-03,321.75
2015-06-04,322.75
2015-06-05,326.0
2015-06-06,325.0
2015-06-08,337.0
2015-06-09,342.25
2015-06-10,350.0
2015-06-11,347.5
2015-06-12,346.5
2015-06-13,351.0
2015-06-15,350.5
2015-06-16,355.0
2015-06-17,358.5
2015-06-18,361.75
2015-06-19,365.0
2015-06-20,365.0
2015-06-22,365.0
2015-06-23,372.75
2015-06-24,370.75
2015-06-25,366.5
2015-06-26,366.25
2015-06-27,366.25
2015-06-29,369.25
2015-06-30,370.0
2015-07-01,359.25
2015-07-02,359.5
2015-07-03,357.0
2015-07-04,357.0
2015-07-06,357.0
2015-07-07,350.75
2015-07-08,355.75
2015-07-09,356.75
2015-07-10,351.25
2015-07-11,351.25
2015-07-13,358.5
2015-07-14,358.5
2015-07-15,358.75
2015-07-16,364.25
2015-07-17,365.75
2015-07-18,363.0
2015-07-20,354.0
2015-07-21,348.5
2015-07-22,352.75
2015-07-23,356.75
2015-07-24,351.75
2015-07-25,351.75
2015-07-27,345.0
2015-07-28,333.5
2015-07-29,333.5
2015-07-30,334.5
2015-07-31,339.75
2015-08-01,339.75
2015-08-03,345.0
2015-08-04,345.0
2015-08-05,352.5
2015-08-06,357.5
2015-08-07,352.0
2015-08-08,352.0
2015-08-10,349.25
2015-08-11,350.0
2015-08-12,344.0
2015-08-13,330.75
2015-08-14,330.75
2015-08-15,330.75
2015-08-17,323.0
2015-08-18,323.25
2015-08-19,322.25
2015-08-20,321.75
2015-08-21,324.75
2015-08-22,334.75
2015-08-24,339.75
2015-08-25,324.75
2015-08-26,326.0
2015-08-27,322.5
2015-08-28,321.0
2015-08-29,321.0
2015-08-31,332.0
2015-09-01,339.75
2015-09-02,336.5
2015-09-03,336.75
2015-09-04,335.0
2015-09-05,335.0
2015-09-07,335.5
2015-09-08,335.5
2015-09-09,333.5
2015-09-10,334.0
2015-09-11,332.75
2015-09-12,332.75
2015-09-14,338.75
2015-09-15,336.5
2015-09-16,343.5
2015-09-17,341.25
2015-09-18,337.75
2015-09-19,337.75
2015-09-21,336.25
2015-09-22,340.75
2015-09-23,335.25
2015-09-24,334.0
2015-09-25,333.75
2015-09-26,333.75
2015-09-28,333.75
2015-09-29,321.75
2015-09-30,325.75
2015-10-01,329.5
2015-10-02,324.0
2015-10-03,324.0
2015-10-05,319.5
2015-10-06,319.5
2015-10-07,322.25
2015-10-08,325.25
2015-10-09,323.0
2015-10-10,323.0
2015-10-12,336.25
2015-10-13,338.25
2015-10-14,347.25
2015-10-15,344.0
2015-10-16,341.75
2015-10-17,341.75
2015-10-19,338.25
2015-10-20,337.25
2015-10-21,334.75
2015-10-22,336.0
2015-10-23,332.75
2015-10-24,329.75
2015-10-26,327.25
2015-10-27,327.25
2015-10-28,327.25
2015-10-29,322.25
2015-10-30,323.25
2015-10-31,323.25
2015-11-02,325.0
2015-11-03,323.5
2015-11-04,322.0
2015-11-05,322.0
2015-11-06,322.75
2015-11-07,316.5
2015-11-09,319.0
2015-11-10,318.75
2015-11-11,316.0
2015-11-12,318.25
2015-11-13,315.75
2015-11-14,315.75
2015-11-16,313.0
2015-11-17,307.25
2015-11-18,307.0
2015-11-19,304.0
2015-11-23,301.0
2015-11-24,295.75
2015-11-25,293.5
2015-11-26,295.25
2015-11-27,295.25
2015-11-28,295.25
2015-11-30,290.25
2015-12-01,295.25
2015-12-02,294.75
2015-12-03,292.75
2015-12-04,293.0
2015-12-05,293.0
2015-12-07,290.25
2015-12-08,283.5
2015-12-09,282.0
2015-12-10,284.0
2015-12-11,289.25
2015-12-12,289.25
2015-12-14,291.75
2015-12-15,295.5
2015-12-16,290.75
2015-12-17,286.5
2015-12-18,295.75
2015-12-19,300.25
2015-12-21,301.0
2015-12-22,299.75
2015-12-23,296.75
2015-12-24,291.5
2015-12-25,291.5
2015-12-26,291.5
2015-12-28,285.75
2015-12-29,286.75
2015-12-30,286.75
2015-12-31,284.0
2016-01-01,284.0
2016-01-02,284.0
2016-01-04,281.25
2016-01-05,292.25
2016-01-06,290.75
2016-01-07,293.75
2016-01-08,295.0
2016-01-09,294.25
2016-01-11,286.75
2016-01-12,290.5
2016-01-13,296.0
2016-01-14,295.25
2016-01-15,293.25
2016-01-16,293.25
2016-01-18,299.5
2016-01-19,301.75
2016-01-20,299.0
2016-01-21,298.0
2016-01-22,301.5
2016-01-23,301.5
2016-01-25,296.25
2016-01-26,293.75
2016-01-27,293.0
2016-01-28,290.0
2016-01-29,290.0
2016-01-30,295.5
2016-02-01,293.5
2016-02-02,292.5
2016-02-03,296.75
2016-02-04,294.0
2016-02-05,291.75
2016-02-06,287.5
2016-02-08,288.25
2016-02-09,288.75
2016-02-10,286.0
2016-02-11,285.75
2016-02-12,288.25
2016-02-15,285.5
2016-02-16,288.5
2016-02-17,288.5
2016-02-18,288.25
2016-02-19,287.25
2016-02-20,288.0
2016-02-22,289.25
2016-02-23,279.75
2016-02-24,279.25
2016-02-25,280.5
2016-02-26,278.0
2016-02-27,275.25
2016-02-29,275.0
2016-03-01,278.0
2016-03-02,277.5
2016-03-03,280.0
2016-03-04,281.5
2016-03-05,286.5
2016-03-07,287.75
2016-03-08,284.5
2016-03-09,287.0
2016-03-10,286.5
2016-03-11,288.25
2016-03-12,289.0
2016-03-14,284.25
2016-03-15,277.25
2016-03-16,272.25
2016-03-17,268.5
2016-03-18,267.0
2016-03-19,267.0
2016-03-21,264.5
2016-03-22,269.25
2016-03-23,270.25
2016-03-24,270.75
2016-03-25,276.5
2016-03-26,276.5
2016-03-29,271.5
2016-03-30,275.25
2016-03-31,265.0
2016-04-01,261.0
2016-04-02,263.75
2016-04-04,264.0
2016-04-05,260.5
2016-04-06,259.25
2016-04-07,264.25
2016-04-08,263.0
2016-04-09,270.5
2016-04-11,274.75
2016-04-12,281.75
2016-04-13,285.25
2016-04-14,284.75
2016-04-15,279.0
2016-04-16,286.0
2016-04-18,289.5
2016-04-19,287.25
2016-04-20,299.25
2016-04-21,322.0
2016-04-22,309.5
2016-04-23,303.0
2016-04-25,299.5
2016-04-26,302.75
2016-04-27,312.75
2016-04-28,318.25
2016-04-29,321.25
2016-04-30,329.25
2016-05-02,332.75
2016-05-03,340.75
2016-05-04,329.5
2016-05-05,345.0
2016-05-06,339.5
2016-05-07,346.75
2016-05-09,344.75
2016-05-10,344.25
2016-05-11,366.5
2016-05-12,370.75
2016-05-13,373.5
2016-05-14,367.5
2016-05-16,366.5
2016-05-17,371.25
2016-05-18,381.0
2016-05-19,386.0
2016-05-20,395.5
2016-05-21,411.5
2016-05-23,406.5
2016-05-24,401.75
2016-05-25,411.75
2016-05-26,432.5
2016-05-27,425.5
2016-05-28,420.75
2016-05-30,421.0
2016-05-31,421.0
2016-06-01,408.25
2016-06-02,423.5
2016-06-03,452.0
2016-06-04,431.25
2016-06-06,436.25
2016-06-07,427.75
2016-06-08,427.0
2016-06-09,432.0
2016-06-10,432.75
2016-06-11,434.5
2016-06-13,436.0
2016-06-14,423.0
2016-06-15,432.5
2016-06-16,425.75
2016-06-17,429.25
2016-06-18,436.75
2016-06-20,435.0
2016-06-21,440.0
2016-06-22,428.25
2016-06-23,421.75
2016-06-24,411.5
2016-06-25,410.0
2016-06-27,413.0
2016-06-28,426.5
2016-06-29,425.25
2016-06-30,435.5
2016-07-01,441.75
2016-07-02,444.75
2016-07-04,441.25
2016-07-05,446.75
2016-07-06,421.0
2016-07-07,419.75
2016-07-08,410.75
2016-07-09,417.25
2016-07-11,425.5
2016-07-12,418.25
2016-07-13,429.25
2016-07-14,443.5
2016-07-15,425.75
2016-07-18,416.0
2016-07-19,420.25
2016-07-20,396.25
2016-07-21,397.5
2016-07-22,393.75
2016-07-23,390.25
2016-07-25,384.25
2016-07-26,382.5
2016-07-27,384.75
2016-07-28,391.0
2016-07-29,380.75
2016-07-30,392.5
2016-08-01,375.75
2016-08-02,375.0
2016-08-03,370.0
2016-08-04,373.0
2016-08-05,372.25
2016-08-06,382.0
2016-08-08,379.5
2016-08-09,382.25
2016-08-10,376.0
2016-08-11,383.75
2016-08-12,379.25
2016-08-13,380.5
2016-08-15,385.25
2016-08-16,382.5
2016-08-17,384.0
2016-08-18,375.75
2016-08-19,376.0
2016-08-20,375.75
2016-08-22,381.0
2016-08-23,374.25
2016-08-24,374.0
2016-08-25,374.5
2016-08-26,366.75
2016-08-27,361.5
2016-08-29,355.75
2016-08-30,356.75
2016-08-31,353.0
2016-09-01,353.25
2016-09-02,353.25
2016-09-03,353.0
2016-09-05,352.0
2016-09-06,347.25
2016-09-07,348.5
2016-09-08,355.75
2016-09-09,350.5
2016-09-10,354.5
2016-09-12,347.0
2016-09-13,349.75
2016-09-14,341.0
2016-09-15,332.25
2016-09-16,334.5
2016-09-17,344.0
2016-09-19,346.25
2016-09-20,345.25
2016-09-21,341.5
2016-09-22,335.0
2016-09-23,332.75
2016-09-24,332.75
2016-09-26,327.5
2016-09-27,327.25
2016-09-28,330.75
2016-09-29,332.75
2016-09-30,327.5
2016-10-01,328.0
2016-10-03,333.5
2016-10-04,339.75
2016-10-05,339.5
2016-10-06,326.0
2016-10-07,326.5
2016-10-08,323.75
2016-10-10,323.25
2016-10-11,320.75
2016-10-12,325.5
2016-10-13,321.0
2016-10-14,329.75
2016-10-15,328.25
2016-10-17,330.25
2016-10-18,332.75
2016-10-19,334.5
2016-10-20,333.0
2016-10-21,335.0
2016-10-22,335.25
2016-10-24,338.25
2016-10-25,339.5
2016-10-26,347.75
2016-10-27,352.25
2016-10-28,350.25
2016-10-29,343.0
2016-10-31,341.75
2016-11-01,333.5
2016-11-02,328.75
2016-11-03,329.5
2016-11-04,331.0
2016-11-05,331.75
2016-11-07,335.0
2016-11-08,338.5
2016-11-09,329.5
2016-11-10,330.5
2016-11-11,330.75
2016-11-12,324.75
2016-11-14,321.0
2016-11-15,323.5
2016-11-16,326.0
2016-11-17,323.75
2016-11-18,325.5
2016-11-19,325.25
2016-11-21,327.75
2016-11-22,336.5
2016-11-23,324.0
2016-11-24,325.5
2016-11-25,325.5
2016-11-26,330.75
2016-11-28,331.75
2016-11-29,331.75
2016-11-30,325.0
2016-12-01,329.0
2016-12-02,325.75
2016-12-03,324.75
2016-12-05,325.25
2016-12-06,335.75
2016-12-07,332.75
2016-12-08,317.0
2016-12-09,313.0
2016-12-10,332.5
2016-12-12,329.25
2016-12-13,317.0
2016-12-14,326.75
2016-12-15,325.75
2016-12-16,317.25
2016-12-17,322.5
2016-12-19,328.75
2016-12-20,316.25
2016-12-21,315.75
2016-12-22,320.0
2016-12-23,314.5
2016-12-24,315.25
2016-12-26,322.0
2016-12-27,327.0
2016-12-28,326.75
2016-12-29,323.75
2016-12-30,319.75
2016-12-31,319.0
2017-01-02,318.5
2017-01-03,314.5
2017-01-04,325.25
2017-01-05,318.5
2017-01-06,324.0
2017-01-07,319.25
2017-01-09,313.0
2017-01-10,314.25
2017-01-11,313.75
2017-01-12,318.0
2017-01-13,327.5
2017-01-14,340.0
2017-01-16,340.5
2017-01-17,348.25
2017-01-18,348.5
2017-01-19,353.75
2017-01-20,351.25
2017-01-21,352.75
2017-01-23,347.25
2017-01-24,345.75
2017-01-25,353.25
2017-01-26,346.25
2017-01-27,345.25
2017-01-28,353.5
2017-01-30,337.5
2017-01-31,344.75
2017-02-01,337.5
2017-02-02,338.75
2017-02-03,337.5
2017-02-04,336.0
2017-02-06,341.75
2017-02-07,339.5
2017-02-08,341.0
2017-02-09,347.0
2017-02-10,349.0
2017-02-11,344.0
2017-02-13,348.0
2017-02-14,343.5
2017-02-15,345.0
2017-02-16,352.75
2017-02-17,346.75
2017-02-20,345.25
2017-02-21,342.0
2017-02-22,342.5
2017-02-23,337.0
2017-02-24,332.25
2017-02-25,332.75
2017-02-27,338.0
2017-02-28,334.0
2017-03-01,339.75
2017-03-02,340.0
2017-03-03,329.5
2017-03-04,329.0
2017-03-06,330.25
2017-03-07,335.0
2017-03-08,326.0
2017-03-09,323.75
2017-03-10,327.25
2017-03-11,332.5
2017-03-13,327.75
2017-03-14,324.75
2017-03-15,325.75
2017-03-16,335.75
2017-03-17,324.25
2017-03-18,325.5
2017-03-20,335.75
2017-03-21,340.5
2017-03-22,321.5
2017-03-23,313.5
2017-03-24,310.75
2017-03-25,319.25
2017-03-27,309.25
2017-03-28,317.5
2017-03-29,305.25
2017-03-30,305.75
2017-03-31,308.25
2017-04-01,300.0
2017-04-03,300.0
2017-04-04,300.5
2017-04-05,302.25
2017-04-06,302.5
2017-04-07,301.25
2017-04-08,299.25
2017-04-10,300.0
2017-04-11,300.75
2017-04-12,305.0
