DATE,BR_SOY_MEAL_IJUI_PRICE
2014-02-13,1183.5
2014-02-14,1179.95
2014-02-17,1194.11
2014-02-18,1194.48
2014-02-19,1200.16
2014-02-20,1190.26
2014-02-21,1191.65
2014-02-24,1198.35
2014-02-25,1223.21
2014-02-26,1229.69
2014-02-27,1239.23
2014-02-28,1227.85
2014-03-05,1230.7
2014-03-06,1230.58
2014-03-07,1235.33
2014-03-10,1174.57
2014-03-11,1224.68
2014-03-12,1219.23
2014-03-13,1222.47
2014-03-14,1212.97
2014-03-17,1223.23
2014-03-18,1217.4
2014-03-19,1217.4
2014-03-20,1212.63
2014-03-21,1220.61
2014-03-24,1202.95
2014-03-25,1199.65
2014-03-26,1155.46
2014-03-27,1173.11
2014-03-28,1153.32
2014-03-31,1117.36
2014-04-01,1120.18
2014-04-02,1146.28
2014-04-03,1130.28
2014-04-04,1120.84
2014-04-07,1104.82
2014-04-08,1089.57
2014-04-09,1073.89
2014-04-10,1070.85
2014-04-11,1059.48
2014-04-14,1053.47
2014-04-15,1068.02
2014-04-16,1071.2
2014-04-17,1070.0
2014-04-22,1090.36
2014-04-23,1087.11
2014-04-24,1064.73
2014-04-25,1066.26
2014-04-28,1073.78
2014-04-29,1060.8
2014-04-30,1063.66
2014-05-02,1063.45
2014-05-05,1059.03
2014-05-06,1065.42
2014-05-07,1048.18
2014-05-08,1043.28
2014-05-09,1049.73
2014-05-12,1058.62
2014-05-13,1062.01
2014-05-14,1057.16
2014-05-15,1062.27
2014-05-16,1062.65
2014-05-19,1065.46
2014-05-20,1075.48
2014-05-21,1073.87
2014-05-22,1083.55
2014-05-23,1080.33
2014-05-26,1059.78
2014-05-27,1088.56
2014-05-28,1094.15
2014-05-29,1091.79
2014-05-30,1095.5
2014-06-02,1091.54
2014-06-03,1084.51
2014-06-04,1094.2
2014-06-05,1062.49
2014-06-06,1092.43
2014-06-09,1085.49
2014-06-10,1085.34
2014-06-11,1083.7
2014-06-12,1083.69
2014-06-13,1074.01
2014-06-16,1067.18
2014-06-17,1059.11
2014-06-18,1037.78
2014-06-20,1027.81
2014-06-23,1062.8
2014-06-24,1057.06
2014-06-25,1060.29
2014-06-26,1065.14
2014-06-27,1072.11
2014-06-30,1062.46
2014-07-01,1044.26
2014-07-02,1040.98
2014-07-03,1036.13
2014-07-04,1036.13
2014-07-07,1021.17
2014-07-08,1018.58
2014-07-09,986.41
2014-07-10,1006.7
2014-07-11,997.03
2014-07-14,985.63
2014-07-15,968.95
2014-07-16,980.23
2014-07-17,978.15
2014-07-18,978.65
2014-07-21,958.61
2014-07-22,967.86
2014-07-23,981.37
2014-07-24,987.75
2014-07-25,989.02
2014-07-28,1005.4
2014-07-29,1009.15
2014-08-04,1007.18
2014-08-05,998.83
2014-08-06,996.84
2014-08-07,1008.93
2014-08-08,1004.27
2014-08-11,1003.75
2014-08-12,1004.98
2014-08-13,992.05
2014-08-14,982.42
2014-08-15,976.7
2014-08-18,983.88
2014-08-19,1009.02
2014-08-20,992.09
2014-08-21,995.3
2014-08-22,998.52
2014-08-25,985.49
2014-08-26,993.01
2014-08-27,1007.84
2014-08-28,996.45
2014-08-29,993.79
2014-09-01,993.8
2014-09-02,992.38
2014-09-03,989.18
2014-09-04,981.87
2014-09-05,981.88
2014-09-08,972.15
2014-09-09,984.49
2014-09-10,971.47
2014-09-11,963.66
2014-09-12,965.08
2014-09-15,960.19
2014-09-16,952.96
2014-09-17,942.46
2014-09-18,976.33
2014-09-19,964.98
2014-09-22,955.45
2014-09-23,960.04
2014-09-24,960.24
2014-09-25,957.17
2014-09-26,941.14
2014-09-29,955.55
2014-09-30,955.45
2014-10-01,955.48
2014-10-02,958.71
2014-10-03,955.5
2014-10-06,951.89
2014-10-07,952.2
2014-10-08,955.3
2014-10-09,956.54
2014-10-10,958.75
2014-10-13,952.94
2014-10-14,951.63
2014-10-15,968.37
2014-10-16,972.56
2014-10-17,982.39
2014-10-20,970.16
2014-10-21,970.09
2014-10-22,973.35
2014-10-23,997.24
2014-10-24,1004.67
2014-10-27,1034.21
2014-10-28,1060.54
2014-10-29,1078.84
2014-10-30,1094.37
2014-10-31,1096.3
2014-11-03,1114.79
2014-11-04,1105.65
2014-11-05,1084.4
2014-11-06,1116.85
2014-11-07,1116.09
2014-11-10,1116.9
2014-11-11,1120.68
2014-11-12,1120.69
2014-11-13,1100.68
2014-11-14,1096.0
2014-11-17,1142.01
2014-11-18,1140.44
2014-11-19,1117.12
2014-11-20,1100.48
2014-11-21,1109.64
2014-11-24,1100.6
2014-11-25,1104.44
2014-11-26,1102.56
2014-11-27,1122.81
2014-11-28,1107.83
2014-12-01,1101.83
2014-12-02,1095.39
2014-12-03,1094.72
2014-12-04,1096.03
2014-12-05,1094.13
2014-12-08,1098.62
2014-12-09,1082.07
2014-12-10,1098.19
2014-12-11,1104.7
2014-12-12,1111.11
2014-12-15,1111.36
2014-12-16,1112.23
2014-12-17,1102.3
2014-12-18,1112.61
2014-12-19,1098.22
2014-12-22,1098.36
2014-12-23,1100.13
2014-12-26,1073.35
2014-12-29,1099.72
2014-12-30,1097.88
2015-01-02,1093.53
2015-01-05,1101.33
2015-01-06,1103.27
2015-01-07,1107.28
2015-01-08,1109.34
2015-01-09,1107.51
2015-01-12,1095.82
2015-01-13,1103.65
2015-01-14,1112.38
2015-01-15,1109.86
2015-01-16,1109.72
2015-01-19,1114.08
2015-01-20,1088.5
2015-01-21,1077.63
2015-01-22,1069.33
2015-01-23,1048.48
2015-01-26,1034.36
2015-01-27,1026.16
2015-01-28,1010.53
2015-01-29,1010.98
2015-01-30,1015.27
2015-02-02,1002.25
2015-02-03,1004.22
2015-02-04,1012.08
2015-02-05,1013.73
