DATE,BR_SOY_MEAL_IMPORTS
2002-01-31,18.96
2002-02-28,32.72
2002-03-31,21.22
2002-04-30,31.0
2002-05-31,27.11
2002-06-30,20.91
2002-07-31,29.86
2002-08-31,21.28
2002-09-30,36.1
2002-10-31,47.35
2002-11-30,34.28
2002-12-31,29.86
2003-01-31,40.41
2003-02-28,27.18
2003-03-31,13.53
2003-04-30,17.53
2003-05-31,19.69
2003-06-30,24.16
2003-07-31,24.35
2003-08-31,21.62
2003-09-30,17.0
2003-10-31,36.51
2003-11-30,35.46
2003-12-31,27.98
2004-01-31,23.4
2004-02-29,18.85
2004-03-31,8.86
2004-04-30,11.4
2004-05-31,20.83
2004-06-30,15.4
2004-07-31,6.17
2004-08-31,9.0
2004-09-30,15.51
2004-10-31,17.22
2004-11-30,15.98
2004-12-31,25.19
2005-01-31,13.61
2005-02-28,11.01
2005-03-31,11.79
2005-04-30,12.72
2005-05-31,15.36
2005-06-30,15.98
2005-07-31,18.75
2005-08-31,18.0
2005-09-30,16.68
2005-10-31,23.48
2005-11-30,16.07
2005-12-31,15.24
2006-01-31,11.1
2006-02-28,16.38
2006-03-31,16.77
2006-04-30,7.42
2006-05-31,3.5
2006-06-30,1.0
2006-07-31,7.5
2006-08-31,14.73
2006-09-30,13.5
2006-10-31,12.51
2006-11-30,48.01
2006-12-31,28.5
2007-01-31,23.53
2007-02-28,0.0
2007-03-31,5.54
2007-04-30,7.5
2007-05-31,4.16
2007-06-30,0.91
2007-07-31,0.41
2007-08-31,2.01
2007-09-30,9.01
2007-10-31,9.49
2007-11-30,32.62
2007-12-31,18.87
2008-01-31,20.65
2008-02-29,13.6
2008-03-31,9.74
2008-04-30,1.9
2008-05-31,4.2
2008-06-30,7.67
2008-07-31,8.09
2008-08-31,9.47
2008-09-30,16.62
2008-10-31,10.73
2008-11-30,14.64
2008-12-31,9.5
2009-01-31,7.11
2009-02-28,5.43
2009-03-31,0.54
2009-04-30,0.0
2009-05-31,1.5
2009-06-30,3.51
2009-07-31,0.0
2009-08-31,1.5
2009-09-30,1.5
2009-10-31,4.0
2009-11-30,8.0
2009-12-31,10.31
2010-01-31,11.01
2010-02-28,8.08
2010-03-31,6.38
2010-04-30,2.91
2010-05-31,0.0
2010-06-30,0.01
