DATE,BR_SOY_MEAL_PRICE_MT
2017-11-09,884.0
2017-11-16,878.0
2017-11-23,888.0
2017-11-30,883.0
2017-12-07,919.0
2017-12-14,952.0
2017-12-21,910.0
2018-01-11,902.0
2018-01-18,926.0
2018-01-25,977.0
2018-02-01,965.0
2018-02-08,986.0
2018-02-15,1076.0
2018-02-22,1091.0
2018-03-01,1124.0
2018-03-08,1144.0
2018-03-15,1128.0
2018-03-22,1127.0
2018-03-29,1180.75
2018-04-05,1175.6
2018-04-12,1231.0
2018-04-19,1258.0
2018-04-26,1245.69
2018-05-03,1378.72
2018-05-10,1351.55
2018-05-17,1354.0
2018-05-24,1355.53
2018-05-31,1354.67
2018-06-07,1353.33
2018-06-21,1252.67
2018-06-28,1269.25
2018-07-05,1259.01
2018-07-12,1257.71
2018-07-19,1256.32
2018-07-26,1232.19
2018-08-02,1232.5
2018-08-09,1236.83
2018-08-16,1264.0
2018-08-23,1240.0
2018-08-30,1220.95
2018-09-06,1259.43
2018-09-13,1294.53
2018-09-20,1273.08
2018-09-27,1253.02
2018-10-04,1257.67
2018-10-11,1231.0
2018-10-18,1243.33
2018-10-25,1290.07
2018-11-01,1133.25
2018-11-08,1146.33
2018-11-15,1128.67
2018-11-22,1122.4
2018-11-29,1127.0
2018-12-06,1129.42
2018-12-13,1121.83
2018-12-20,1120.5
2019-01-10,1139.67
2019-01-17,1108.0
2019-01-24,1099.69
2019-01-31,1080.0
2019-02-07,1054.07
2019-02-14,1045.0
2019-02-21,1044.0
2019-02-28,1041.97
2019-03-07,1092.47
2019-03-14,1094.33
2019-03-21,1052.33
2019-03-28,1071.75
2019-04-04,1056.2
2019-04-11,1086.67
2019-04-18,1055.0
2019-04-25,1058.0
2019-05-02,1046.67
2019-05-09,1052.4
2019-05-16,1085.0
2019-05-23,1087.33
2019-05-30,1166.0
2019-06-06,1150.0
2019-06-13,1131.0
2019-06-20,1141.33
2019-06-27,1115.33
2019-07-04,1080.33
2019-07-11,1057.33
2019-07-18,1102.0
2019-07-25,1094.0
2019-08-01,1065.6
2019-08-08,1105.6
2019-08-15,1103.0
2019-08-22,1121.0
2019-08-29,1134.0
2019-09-05,1155.67
2019-09-12,1131.33
2019-09-19,1137.8
2019-09-26,1187.47
2019-10-03,1198.0
2019-10-10,1182.0
2019-10-17,1186.0
2019-10-24,1175.0
2019-10-31,1124.88
2019-11-07,1132.09
2019-11-14,1192.0
2019-11-21,1268.2
2019-11-28,1267.0
2019-12-05,1270.0
2019-12-12,1235.2
2019-12-19,1241.0
2020-01-09,1232.0
2020-01-16,1225.0
2020-01-23,1223.0
2020-01-30,1217.4
2020-02-06,1201.57
2020-02-13,1224.8
2020-02-20,1235.13
2020-02-27,1243.67
2020-03-05,1311.0
2020-03-12,1360.6
2020-03-19,1491.33
2020-03-26,1641.33
2020-04-02,1669.0
2020-04-09,1618.07
2020-04-16,1537.33
2020-04-23,1576.33
2020-04-30,1562.0
2020-05-07,1606.57
2020-05-14,1715.0
2020-05-21,1677.67
2020-05-28,1586.67
2020-06-04,1532.33
2020-06-11,1523.0
2020-06-18,1555.33
2020-06-25,1585.33
2020-07-02,1623.33
2020-07-09,1633.33
2020-07-16,1614.0
2020-07-23,1620.0
2020-07-30,1633.33
2020-08-06,1655.0
2020-08-13,1690.67
2020-08-20,1848.33
2020-08-27,1878.67
2020-09-03,1888.66
2020-09-10,1904.0
