DATE,BR_SOY_MEAL_PRODUCTION
2002-01-31,688.93
2002-02-28,1106.75
2002-03-31,1654.79
2002-04-30,1823.79
2002-05-31,1918.23
2002-06-30,1939.47
2002-07-31,2021.84
2002-08-31,1989.53
2002-09-30,1765.88
2002-10-31,1907.31
2002-11-30,1730.14
2002-12-31,1429.61
2003-01-31,752.34
2003-02-28,1035.46
2003-03-31,1817.34
2003-04-30,1965.77
2003-05-31,2124.49
2003-06-30,2026.09
2003-07-31,2078.86
2003-08-31,2148.8
2003-09-30,1963.05
2003-10-31,1934.55
2003-11-30,1775.71
2003-12-31,1517.53
2004-01-31,1019.1
2004-02-29,1318.1
2004-03-31,1895.73
2004-04-30,2152.92
2004-05-31,2202.63
2004-06-30,2183.32
2004-07-31,2229.31
2004-08-31,2077.4
2004-09-30,1967.78
2004-10-31,1808.6
2004-11-30,1676.7
2004-12-31,1533.82
2005-01-31,1165.29
2005-02-28,1503.72
2005-03-31,2146.1
2005-04-30,2305.11
2005-05-31,2330.22
2005-06-30,2158.84
2005-07-31,2076.79
2005-08-31,1919.48
2005-09-30,1982.43
2005-10-31,1926.67
2005-11-30,1770.82
2005-12-31,1725.82
2006-01-31,1064.22
2006-02-28,1455.19
2006-03-31,1707.69
2006-04-30,2014.94
2006-05-31,1921.23
2006-06-30,2064.66
2006-07-31,2068.77
2006-08-31,2133.4
2006-09-30,1854.57
2006-10-31,1997.91
2006-11-30,1826.39
2006-12-31,1586.91
2007-01-31,1389.65
2007-02-28,1658.35
2007-03-31,2061.51
2007-04-30,2145.41
2007-05-31,2284.08
2007-06-30,2194.12
2007-07-31,2295.06
2007-08-31,2297.07
2007-09-30,2061.43
2007-10-31,2037.04
2007-11-30,1898.48
2007-12-31,1767.29
2008-01-31,1411.48
2008-02-29,1534.33
2008-03-31,1988.51
2008-04-30,2253.55
2008-05-31,2386.43
2008-06-30,2350.59
2008-07-31,2466.06
2008-08-31,2218.04
2008-09-30,2079.35
2008-10-31,2117.93
2008-11-30,2001.49
2008-12-31,1693.99
2009-01-31,1073.61
2009-02-28,1733.42
2009-03-31,2094.37
2009-04-30,2299.4
2009-05-31,2539.09
2009-06-30,2468.02
2009-07-31,2294.99
2009-08-31,2221.29
2009-09-30,1823.97
2009-10-31,1811.33
2009-11-30,1629.01
2009-12-31,1298.1
2010-01-31,1336.17
2010-02-28,1868.18
2010-03-31,2492.02
2010-04-30,2603.4
2010-05-31,2686.95
2010-06-30,2566.56
2010-07-31,2647.03
2010-08-31,2476.71
2010-09-30,2213.15
2010-10-31,2298.53
2010-11-30,2243.22
2010-12-31,1566.35
2011-01-31,1491.84
2011-02-28,1902.33
2011-03-31,2406.11
2011-04-30,2668.57
2011-05-31,2778.54
2011-06-30,2712.39
2011-07-31,2629.13
2011-08-31,2316.97
2011-09-30,2579.05
2011-10-31,2575.04
2011-11-30,2207.6
2011-12-31,2054.34
2012-01-31,1489.95
2012-02-29,2334.13
2012-03-31,2687.68
2012-04-30,2788.11
2012-05-31,2892.75
2012-06-30,2702.9
2012-07-31,2489.38
2012-08-31,2510.57
2012-09-30,2325.03
2012-10-31,2037.05
2012-11-30,1863.41
2012-12-31,1646.49
2013-01-31,1329.67
2013-02-28,1803.25
2013-03-31,2475.55
2013-04-30,2742.59
2013-05-31,2891.18
2013-06-30,2645.75
2013-07-31,2564.89
2013-08-31,2514.05
2013-09-30,2284.15
2013-10-31,2314.11
2013-11-30,2175.89
2013-12-31,1879.62
2014-01-31,1494.45
2014-02-28,1854.7
2014-03-31,2537.97
2014-04-30,2692.87
2014-05-31,2888.87
2014-06-30,2740.02
2014-07-31,2621.16
2014-08-31,2606.68
2014-09-30,2372.32
2014-10-31,2253.24
2014-11-30,2420.47
2014-12-31,2269.41
2015-01-31,1923.57
2015-02-28,2187.1
2015-03-31,2707.58
2015-04-30,2838.22
2015-05-31,3026.42
2015-06-30,2843.34
2015-07-31,2884.78
2015-08-31,2715.61
2015-09-30,2641.89
2015-10-31,2584.93
2015-11-30,2343.87
2015-12-31,2067.88
2016-01-31,1753.94
2016-02-29,2497.56
2016-03-31,2914.36
2016-04-30,3130.08
2016-05-31,3032.31
2016-06-30,2787.17
2016-07-31,2683.23
2016-08-31,2313.89
2016-09-30,2205.77
2016-10-31,2367.96
2016-11-30,2294.21
2016-12-31,2248.26
2017-01-31,2069.48
2017-02-28,2304.23
2017-03-31,2844.08
2017-04-30,2867.3
2017-05-31,2869.98
2017-06-30,2708.04
2017-07-31,2916.6
2017-08-31,2614.78
2017-09-30,2489.93
2017-10-31,2757.03
2017-11-30,2603.15
2017-12-31,2532.57
2018-01-31,2348.0
2018-02-28,2446.56
2018-03-31,3085.4
2018-04-30,3124.3
2018-05-31,2763.82
2018-06-30,3049.49
2018-07-31,3142.8
2018-08-31,3001.79
2018-09-30,2788.61
2018-10-31,2640.3
2018-11-30,2507.65
2018-12-31,2286.6
2019-01-31,2237.44
2019-02-28,2521.72
2019-03-31,3003.42
2019-04-30,3102.76
2019-05-31,3013.36
2019-06-30,3016.01
2019-07-31,3007.18
2019-08-31,2651.54
2019-09-30,2684.79
2019-10-31,2921.21
2019-11-30,2686.68
2019-12-31,2631.04
2020-01-31,2257.63
2020-02-29,2609.0
2020-03-31,3242.92
2020-04-30,3307.15
2020-05-31,3417.9
2020-06-30,3280.69
2020-07-31,3352.43
2020-08-31,3164.96
2020-09-30,3061.18
2020-10-31,3176.25
2020-11-30,2568.92
2020-12-31,2581.67
2021-01-31,1982.69
2021-02-28,2384.68
2021-03-31,3314.62
2021-04-30,3421.06
2021-05-31,3513.4
2021-06-30,3427.9
2021-07-31,3454.08
2021-08-31,3077.17
2021-09-30,3017.47
2021-10-31,3159.27
2021-11-30,2955.65
2021-12-31,3063.16
2022-01-31,2408.49
2022-02-28,2852.0
2022-03-31,3548.4
2022-04-30,3549.02
2022-05-31,3686.92
2022-06-30,3493.09
2022-07-31,3670.61
2022-08-31,3560.38
2022-09-30,3143.93
2022-10-31,3166.96
2022-11-30,3104.2
2022-12-31,3026.48
2023-01-31,2629.56
2023-02-28,2867.0
2023-03-31,3874.28
2023-04-30,3673.79
2023-05-31,3901.27
2023-06-30,3846.86
2023-07-31,3992.43
2023-08-31,3839.43
2023-09-30,3563.73
2023-10-31,3311.7
2023-11-30,3343.17
2023-12-31,3448.33
2024-01-31,3000.01
2024-02-29,3116.0
2024-03-31,3691.89
2024-04-30,3701.01
2024-05-31,3623.27
2024-06-30,3608.13
2024-07-31,3747.93
2024-08-31,3702.78
2024-09-30,3563.69
2024-10-31,3782.6
2024-11-30,3528.68
2024-12-31,3593.81
2025-01-31,2515.26
