DATE,BR_SOY_NET_PURCHASES
2002-01-31,655.05
2002-02-28,2266.42
2002-03-31,7903.43
2002-04-30,7905.54
2002-05-31,1701.21
2002-06-30,886.2
2002-07-31,1047.32
2002-08-31,564.79
2002-09-30,545.98
2002-10-31,956.19
2002-11-30,855.48
2002-12-31,669.71
2003-01-31,492.94
2003-02-28,2665.14
2003-03-31,8573.81
2003-04-30,9079.42
2003-05-31,1815.5
2003-06-30,392.73
2003-07-31,-13.68
2003-08-31,304.8
2003-09-30,884.04
2003-10-31,1237.15
2003-11-30,1460.15
2003-12-31,1214.46
2004-01-31,1012.52
2004-02-29,2982.38
2004-03-31,10133.42
2004-04-30,7590.58
2004-05-31,2053.79
2004-06-30,526.95
2004-07-31,284.36
2004-08-31,67.9
2004-09-30,529.9
2004-10-31,1137.75
2004-11-30,1165.27
2004-12-31,1107.43
2005-01-31,988.9
2005-02-28,3699.08
2005-03-31,9674.69
2005-04-30,8950.52
2005-05-31,3026.39
2005-06-30,590.3
2005-07-31,476.28
2005-08-31,252.59
2005-09-30,462.31
2005-10-31,658.81
2005-11-30,588.03
2005-12-31,531.4
2006-01-31,1258.02
2006-02-28,3349.24
2006-03-31,8445.0
2006-04-30,7444.9
2006-05-31,2961.35
2006-06-30,899.82
2006-07-31,597.08
2006-08-31,1489.92
2006-09-30,749.93
2006-10-31,724.19
2006-11-30,1147.68
2006-12-31,706.91
2007-01-31,1309.35
2007-02-28,5650.67
2007-03-31,10915.81
2007-04-30,6301.2
2007-05-31,2454.58
2007-06-30,711.95
2007-07-31,853.62
2007-08-31,891.1
2007-09-30,773.54
2007-10-31,603.45
2007-11-30,628.54
2007-12-31,851.6
2008-01-31,612.92
2008-02-29,4884.36
2008-03-31,10718.54
2008-04-30,8458.53
2008-05-31,3066.35
2008-06-30,1248.65
2008-07-31,10.07
2008-08-31,393.02
2008-09-30,324.43
2008-10-31,725.3
2008-11-30,685.78
2008-12-31,368.7
2009-01-31,975.63
2009-02-28,5134.64
2009-03-31,8960.2
2009-04-30,8223.77
2009-05-31,3069.74
2009-06-30,412.82
2009-07-31,347.56
2009-08-31,83.48
2009-09-30,410.41
2009-10-31,416.17
2009-11-30,553.31
2009-12-31,466.16
2010-01-31,2479.16
2010-02-28,8159.88
2010-03-31,9747.85
2010-04-30,5090.13
2010-05-31,1759.5
2010-06-30,2046.17
2010-07-31,1717.56
2010-08-31,850.09
2010-09-30,906.39
2010-10-31,1551.26
2010-11-30,1566.82
2010-12-31,829.67
2011-01-31,1004.56
2011-02-28,6703.5
2011-03-31,12277.95
2011-04-30,6899.18
2011-05-31,2324.48
2011-06-30,1447.66
2011-07-31,1141.78
2011-08-31,1359.61
2011-09-30,1827.14
2011-10-31,1577.32
2011-11-30,768.87
2011-12-31,716.86
2012-01-31,1627.21
2012-02-29,8340.9
2012-03-31,10705.29
2012-04-30,7297.39
2012-05-31,2986.1
2012-06-30,1744.78
2012-07-31,230.01
2012-08-31,507.77
2012-09-30,332.69
2012-10-31,554.2
2012-11-30,342.77
2012-12-31,316.74
2013-01-31,2058.0
2013-02-28,8543.37
2013-03-31,9620.25
2013-04-30,5411.57
2013-05-31,2387.47
2013-06-30,1037.22
2013-07-31,493.7
2013-08-31,1189.05
2013-09-30,1706.73
2013-10-31,1542.77
2013-11-30,1290.78
2013-12-31,1542.77
2014-01-31,2469.91
2014-02-28,8897.28
2014-03-31,8110.23
2014-04-30,5208.36
2014-05-31,2889.14
2014-06-30,1011.08
2014-07-31,603.8
2014-08-31,1624.58
2014-09-30,1664.92
2014-10-31,2127.81
2014-11-30,1613.46
2014-12-31,1203.86
2015-01-31,3111.37
2015-02-28,7219.61
2015-03-31,11302.75
2015-04-30,6851.4
2015-05-31,2895.11
2015-06-30,1609.81
2015-07-31,1366.83
2015-08-31,1178.5
2015-09-30,1744.04
2015-10-31,1909.33
2015-11-30,1129.17
2015-12-31,284.94
2016-01-31,2715.46
2016-02-29,10883.77
2016-03-31,10219.99
2016-04-30,4528.23
2016-05-31,2725.68
2016-06-30,1486.56
2016-07-31,302.3
2016-08-31,878.71
2016-09-30,1458.56
2016-10-31,1836.76
2016-11-30,2057.61
2016-12-31,1113.89
2017-01-31,4325.61
2017-02-28,11479.67
2017-03-31,10083.6
2017-04-30,3464.32
2017-05-31,1805.18
2017-06-30,805.58
2017-07-31,1361.2
2017-08-31,763.03
2017-09-30,2497.53
2017-10-31,2326.07
2017-11-30,2463.07
2017-12-31,1347.96
2018-01-31,4083.13
2018-02-28,10081.24
2018-03-31,13726.88
2018-04-30,6075.7
2018-05-31,557.21
2018-06-30,1160.98
2018-07-31,1864.57
2018-08-31,1828.29
2018-09-30,2194.55
2018-10-31,1867.92
2018-11-30,333.75
2018-12-31,-674.54
2019-01-31,7318.96
2019-02-28,13492.29
2019-03-31,9990.66
2019-04-30,4117.94
2019-05-31,1443.08
2019-06-30,932.12
2019-07-31,1231.34
2019-08-31,1514.45
2019-09-30,1473.72
2019-10-31,1409.53
2019-11-30,732.91
2019-12-31,521.15
2020-01-31,5312.37
2020-02-29,15569.8
2020-03-31,14159.54
2020-04-30,5336.44
2020-05-31,1748.87
2020-06-30,431.66
2020-07-31,384.07
2020-08-31,965.54
2020-09-30,279.13
2020-10-31,309.65
2020-11-30,684.43
2020-12-31,745.74
2021-01-31,2017.4
2021-02-28,12732.3
2021-03-31,19129.43
2021-04-30,6028.99
2021-05-31,501.83
2021-06-30,413.02
2021-07-31,-512.15
2021-08-31,1347.68
2021-09-30,1526.58
2021-10-31,2174.44
2021-11-30,2087.46
2021-12-31,1299.24
2022-01-31,4809.28
2022-02-28,13582.43
2022-03-31,14822.73
2022-04-30,3959.33
2022-05-31,2791.65
2022-06-30,846.35
2022-07-31,1089.22
2022-08-31,1595.24
2022-09-30,1615.6
2022-10-31,1537.4
2022-11-30,2217.33
2022-12-31,1974.51
2023-01-31,5516.28
2023-02-28,15160.86
2023-03-31,17309.25
2023-04-30,5096.7
2023-05-31,2056.85
2023-06-30,884.6
2023-07-31,1119.41
2023-08-31,2373.08
2023-09-30,2049.08
2023-10-31,1455.49
2023-11-30,2265.21
2023-12-31,1305.93
2024-01-31,5086.83
2024-02-29,12155.84
2024-03-31,11286.45
2024-04-30,9263.08
