DATE,BR_SOY_OIL_BEGINNING_INVENTORY
2002-01-31,221.74
2002-02-28,114.26
2002-03-31,139.39
2002-04-30,216.43
2002-05-31,256.02
2002-06-30,278.71
2002-07-31,258.84
2002-08-31,321.11
2002-09-30,297.55
2002-10-31,261.7
2002-11-30,267.51
2002-12-31,350.49
2003-01-31,344.9
2003-02-28,170.75
2003-03-31,158.9
2003-04-30,232.22
2003-05-31,315.99
2003-06-30,322.06
2003-07-31,288.97
2003-08-31,243.63
2003-09-30,272.42
2003-10-31,324.76
2003-11-30,297.3
2003-12-31,298.56
2004-01-31,338.87
2004-02-29,201.69
2004-03-31,188.58
2004-04-30,270.77
2004-05-31,368.05
2004-06-30,395.45
2004-07-31,393.7
2004-08-31,393.69
2004-09-30,308.8
2004-10-31,424.62
2004-11-30,447.07
2004-12-31,450.79
2005-01-31,382.26
2005-02-28,274.68
2005-03-31,243.0
2005-04-30,294.65
2005-05-31,456.19
2005-06-30,502.07
2005-07-31,490.27
2005-08-31,451.47
2005-09-30,482.86
2005-10-31,572.62
2005-11-30,471.45
2005-12-31,379.96
2006-01-31,364.98
2006-02-28,272.21
2006-03-31,232.9
2006-04-30,216.38
2006-05-31,335.84
2006-06-30,303.68
2006-07-31,344.31
2006-08-31,388.53
2006-09-30,400.9
2006-10-31,374.99
2006-11-30,331.95
2006-12-31,277.75
2007-01-31,261.33
2007-02-28,310.62
2007-03-31,359.89
2007-04-30,358.91
2007-05-31,437.18
2007-06-30,467.58
2007-07-31,497.82
2007-08-31,526.62
2007-09-30,552.23
2007-10-31,533.33
2007-11-30,437.36
2007-12-31,490.88
2008-01-31,387.99
2008-02-29,289.8
2008-03-31,278.53
2008-04-30,325.34
2008-05-31,420.93
2008-06-30,490.6
2008-07-31,482.2
2008-08-31,515.66
2008-09-30,450.55
2008-10-31,357.57
2008-11-30,399.47
2008-12-31,385.15
2009-01-31,358.0
2009-02-28,250.97
2009-03-31,326.19
2009-04-30,341.09
2009-05-31,383.75
2009-06-30,474.3
2009-07-31,581.8
2009-08-31,467.13
2009-09-30,432.44
2009-10-31,354.01
2009-11-30,324.25
2009-12-31,362.63
2010-01-31,310.75
2010-02-28,281.06
2010-03-31,322.73
2010-04-30,352.37
2010-05-31,428.5
2010-06-30,492.51
