DATE,BR_SOY_OIL_ENDING_INVENTORY
2002-01-31,114.26
2002-02-28,139.39
2002-03-31,216.43
2002-04-30,256.02
2002-05-31,278.71
2002-06-30,258.84
2002-07-31,321.11
2002-08-31,297.55
2002-09-30,261.7
2002-10-31,267.51
2002-11-30,350.49
2002-12-31,344.72
2003-01-31,170.75
2003-02-28,158.9
2003-03-31,232.22
2003-04-30,315.99
2003-05-31,322.06
2003-06-30,288.97
2003-07-31,243.63
2003-08-31,272.42
2003-09-30,324.76
2003-10-31,297.3
2003-11-30,298.56
2003-12-31,339.4
2004-01-31,201.69
2004-02-29,188.58
2004-03-31,270.77
2004-04-30,368.05
2004-05-31,395.45
2004-06-30,393.7
2004-07-31,393.69
2004-08-31,308.8
2004-09-30,424.62
2004-10-31,447.07
2004-11-30,450.79
2004-12-31,382.26
2005-01-31,274.68
2005-02-28,243.0
2005-03-31,294.65
2005-04-30,456.19
2005-05-31,502.07
2005-06-30,490.27
2005-07-31,451.47
2005-08-31,482.86
2005-09-30,572.62
2005-10-31,471.45
2005-11-30,379.96
2005-12-31,364.98
2006-01-31,272.21
2006-02-28,232.9
2006-03-31,216.38
2006-04-30,335.84
2006-05-31,303.68
2006-06-30,344.31
2006-07-31,388.53
2006-08-31,400.9
2006-09-30,374.99
2006-10-31,331.95
2006-11-30,277.75
2006-12-31,261.33
2007-01-31,310.62
2007-02-28,359.89
2007-03-31,358.91
2007-04-30,437.18
2007-05-31,467.58
2007-06-30,497.82
2007-07-31,526.62
2007-08-31,552.23
2007-09-30,533.33
2007-10-31,437.36
2007-11-30,490.88
2007-12-31,388.35
2008-01-31,289.8
2008-02-29,278.53
2008-03-31,325.34
2008-04-30,420.93
2008-05-31,490.6
2008-06-30,482.2
2008-07-31,515.66
2008-08-31,450.55
2008-09-30,357.57
2008-10-31,399.47
2008-11-30,385.15
2008-12-31,358.1
2009-01-31,250.97
2009-02-28,326.19
2009-03-31,341.09
2009-04-30,383.75
2009-05-31,474.3
2009-06-30,581.8
2009-07-31,467.13
2009-08-31,432.44
2009-09-30,354.01
2009-10-31,324.25
2009-11-30,362.63
2009-12-31,310.65
2010-01-31,281.06
2010-02-28,322.73
2010-03-31,352.37
2010-04-30,428.5
2010-05-31,492.51
2010-06-30,477.6
2010-07-31,497.68
2010-08-31,425.38
2010-09-30,406.52
2010-10-31,473.11
2010-11-30,471.47
2010-12-31,360.76
2011-01-31,253.52
2011-02-28,247.44
2011-03-31,307.46
