DATE,BR_SOY_OIL_EXPORTS
2002-01-31,99.31
2002-02-28,52.9
2002-03-31,76.54
2002-04-30,150.0
2002-05-31,183.67
2002-06-30,240.67
2002-07-31,196.67
2002-08-31,283.67
2002-09-30,246.0
2002-10-31,228.67
2002-11-30,126.33
2002-12-31,145.33
2003-01-31,145.63
2003-02-28,62.33
2003-03-31,137.67
2003-04-30,163.0
2003-05-31,255.33
2003-06-30,292.0
2003-07-31,299.67
2003-08-31,240.0
2003-09-30,181.33
2003-10-31,241.67
2003-11-30,224.0
2003-12-31,114.0
2004-01-31,191.0
2004-02-29,148.7
2004-03-31,137.67
2004-04-30,182.33
2004-05-31,257.67
2004-06-30,287.0
2004-07-31,282.0
2004-08-31,359.33
2004-09-30,130.33
2004-10-31,145.77
2004-11-30,125.77
2004-12-31,200.0
2005-01-31,184.67
2005-02-28,170.6
2005-03-31,201.69
2005-04-30,168.51
2005-05-31,259.77
2005-06-30,268.58
2005-07-31,307.47
2005-08-31,199.62
2005-09-30,152.44
2005-10-31,299.17
2005-11-30,270.14
2005-12-31,162.81
2006-01-31,133.77
2006-02-28,182.0
2006-03-31,191.0
2006-04-30,135.0
2006-05-31,251.0
2006-06-30,187.0
2006-07-31,203.0
2006-08-31,232.0
2006-09-30,187.0
2006-10-31,263.0
2006-11-30,226.0
2006-12-31,169.0
2007-01-31,35.0
2007-02-28,113.07
2007-03-31,237.55
2007-04-30,191.52
2007-05-31,235.27
2007-06-30,224.8
2007-07-31,245.6
2007-08-31,226.48
2007-09-30,230.84
2007-10-31,300.96
2007-11-30,121.79
2007-12-31,221.44
2008-01-31,171.45
2008-02-29,114.32
2008-03-31,137.13
2008-04-30,145.55
2008-05-31,179.13
2008-06-30,270.52
2008-07-31,207.42
2008-08-31,286.43
2008-09-30,249.03
2008-10-31,142.65
2008-11-30,176.76
2008-12-31,141.31
2009-01-31,85.74
2009-02-28,55.67
2009-03-31,156.33
2009-04-30,187.33
2009-05-31,192.33
2009-06-30,137.67
2009-07-31,268.33
2009-08-31,164.0
