DATE,BR_SOY_OIL_EXPORT_PRICE
2015-01-29,883.75
2015-01-30,878.0
2015-01-31,878.0
2015-02-02,890.5
2015-02-03,836.75
2015-02-04,834.25
2015-02-05,831.0
2015-02-06,837.75
2015-02-07,836.5
2015-02-09,788.25
2015-02-10,776.0
2015-02-11,768.5
2015-02-12,782.0
2015-02-13,851.75
2015-02-14,851.75
2015-02-16,849.25
2015-02-17,849.25
2015-02-18,852.5
2015-02-19,845.75
2015-02-20,851.75
2015-02-21,851.75
2015-02-23,854.0
2015-02-24,846.5
2015-02-25,792.75
2015-02-26,799.0
2015-02-27,772.0
2015-02-28,793.0
2015-03-02,793.0
2015-03-03,789.75
2015-03-04,673.0
2015-03-05,656.25
2015-03-06,643.0
2015-03-07,643.0
2015-03-09,630.75
2015-03-10,620.75
2015-03-11,620.0
2015-03-12,622.75
2015-03-13,618.25
2015-03-14,618.25
2015-03-16,618.25
2015-03-17,600.5
2015-03-18,608.25
2015-03-19,572.0
2015-03-20,576.5
2015-03-21,576.5
2015-03-23,506.5
2015-03-24,514.0
2015-03-25,515.75
2015-03-26,514.25
2015-03-27,517.25
2015-03-28,504.5
2015-03-30,502.25
2015-03-31,502.25
2015-04-01,500.0
2015-04-02,506.5
2015-04-03,514.25
2015-04-04,514.25
2015-04-06,514.25
2015-04-07,519.25
2015-04-08,519.25
2015-04-09,514.0
2015-04-10,510.0
2015-04-11,515.5
2015-04-13,515.5
2015-04-14,514.25
2015-04-15,520.0
2015-04-16,531.0
2015-04-17,530.25
2015-04-18,525.0
2015-04-20,525.0
2015-04-21,525.0
2015-04-22,526.5
2015-04-23,531.5
2015-04-24,525.75
2015-04-25,525.75
2015-04-27,528.25
2015-04-28,528.0
2015-04-29,528.0
2015-04-30,523.75
2015-05-01,523.75
2015-05-02,523.75
2015-05-04,683.25
2015-05-05,705.75
2015-05-06,705.75
2015-05-07,715.0
2015-05-08,712.0
2015-05-09,712.0
2015-05-11,720.0
2015-05-12,725.5
2015-05-13,720.25
2015-05-14,727.0
2015-05-15,732.0
2015-05-16,732.0
2015-05-18,734.0
2015-05-19,734.0
2015-05-20,734.0
2015-05-21,734.0
2015-05-22,734.0
2015-05-23,734.0
2015-05-25,681.5
2015-05-26,681.5
2015-05-27,686.25
2015-05-28,683.5
2015-05-29,690.75
2015-05-30,718.75
2015-06-01,740.75
2015-06-02,768.75
2015-06-03,787.25
2015-06-04,799.75
2015-06-05,795.25
2015-06-06,800.75
2015-06-08,740.75
2015-06-09,725.75
2015-06-10,722.0
2015-06-11,720.75
2015-06-12,708.0
2015-06-13,704.5
2015-06-15,694.0
2015-06-16,690.5
2015-06-17,685.25
2015-06-18,684.25
2015-06-19,671.0
2015-06-20,671.0
2015-06-22,687.0
2015-06-23,701.75
2015-06-24,699.5
2015-06-25,709.5
2015-06-26,711.5
2015-06-27,711.5
2015-06-29,708.5
2015-06-30,704.75
2015-07-01,716.0
2015-07-02,703.75
2015-07-03,711.5
2015-07-04,711.5
2015-07-06,711.5
2015-07-07,695.5
2015-07-08,668.5
2015-07-09,672.75
2015-07-10,687.5
2015-07-11,687.5
2015-07-13,662.75
2015-07-14,662.75
2015-07-15,664.75
2015-07-16,648.25
2015-07-17,644.0
2015-07-18,651.25
2015-07-20,656.75
2015-07-21,654.5
2015-07-22,660.0
2015-07-23,647.25
2015-07-24,643.75
2015-07-25,643.75
2015-07-27,625.75
2015-07-28,617.5
2015-07-29,617.5
2015-07-30,629.75
2015-07-31,619.75
2015-08-01,619.75
2015-08-03,614.75
2015-08-04,614.75
2015-08-05,632.5
2015-08-06,628.0
2015-08-07,628.75
2015-08-08,628.75
2015-08-10,636.75
2015-08-11,645.25
2015-08-12,638.0
2015-08-13,614.75
2015-08-14,614.75
2015-08-15,614.75
2015-08-17,632.25
2015-08-18,632.0
2015-08-19,615.5
2015-08-20,606.25
2015-08-21,610.25
2015-08-22,610.25
2015-08-24,640.75
2015-08-25,622.75
2015-08-26,628.75
2015-08-27,613.25
2015-08-28,630.25
2015-08-29,630.25
2015-08-31,621.5
2015-09-01,644.25
2015-09-02,628.75
2015-09-03,618.75
2015-09-04,618.75
2015-09-05,618.75
2015-09-07,618.25
2015-09-08,618.25
2015-09-09,627.25
2015-09-10,621.75
2015-09-11,627.75
2015-09-12,627.75
2015-09-14,613.5
2015-09-15,621.25
2015-09-16,615.25
2015-09-17,620.25
2015-09-18,620.0
2015-09-19,620.0
2015-09-21,605.25
2015-09-22,632.75
2015-09-23,624.75
2015-09-24,629.0
2015-09-25,643.25
2015-09-26,643.25
2015-09-28,643.25
2015-09-29,618.0
2015-09-30,629.25
2015-10-01,621.5
2015-10-02,621.0
2015-10-03,621.0
2015-10-05,636.5
2015-10-06,636.5
2015-10-07,651.0
2015-10-08,649.0
2015-10-09,643.25
2015-10-10,643.25
2015-10-12,675.5
2015-10-13,672.0
2015-10-14,685.5
2015-10-15,692.75
2015-10-16,687.25
2015-10-17,687.25
2015-10-19,677.5
2015-10-20,689.25
2015-10-21,713.5
2015-10-22,724.5
2015-10-23,717.25
2015-10-24,711.25
2015-10-26,702.5
2015-10-27,702.5
2015-10-28,688.25
2015-10-29,692.75
2015-10-30,687.75
2015-10-31,687.75
2015-11-02,691.5
2015-11-03,683.25
2015-11-04,690.0
2015-11-05,690.0
2015-11-06,697.25
2015-11-07,682.5
2015-11-09,688.25
2015-11-10,682.5
2015-11-11,671.75
2015-11-12,669.5
2015-11-13,675.0
2015-11-14,675.0
2015-11-16,666.25
2015-11-17,674.25
2015-11-18,678.75
2015-11-19,677.5
2015-11-23,687.5
2015-11-24,685.5
2015-11-25,694.25
2015-11-26,708.0
2015-11-27,708.0
2015-11-28,708.0
2015-11-30,702.75
2015-12-01,710.25
2015-12-02,724.75
2015-12-03,734.25
2015-12-04,740.25
2015-12-05,740.25
2015-12-07,771.75
2015-12-08,745.75
2015-12-09,750.5
2015-12-10,744.25
2015-12-11,715.75
2015-12-12,715.75
2015-12-14,702.75
2015-12-15,700.0
2015-12-16,689.5
2015-12-17,674.25
2015-12-18,681.0
2015-12-19,693.25
2015-12-21,682.75
2015-12-22,684.5
2015-12-23,676.75
2015-12-24,681.25
2015-12-25,681.25
2015-12-26,681.25
2015-12-28,676.0
2015-12-29,678.0
2015-12-30,678.25
2015-12-31,680.25
2016-01-01,680.25
2016-01-02,680.25
2016-01-04,665.5
2016-01-05,680.5
2016-01-06,669.75
2016-01-07,662.5
2016-01-08,669.25
2016-01-09,665.25
2016-01-11,640.25
2016-01-12,633.75
2016-01-13,636.25
2016-01-14,639.75
2016-01-15,645.75
2016-01-16,645.75
2016-01-18,658.25
2016-01-19,664.0
2016-01-20,664.0
2016-01-21,656.5
2016-01-22,672.75
2016-01-23,672.75
2016-01-25,675.25
2016-01-26,686.25
2016-01-27,687.25
2016-01-28,685.25
2016-01-29,685.25
2016-01-30,684.75
2016-02-01,688.0
2016-02-02,691.75
2016-02-03,689.75
2016-02-04,689.5
2016-02-05,697.5
2016-02-06,692.25
2016-02-08,693.25
2016-02-09,681.5
2016-02-10,684.0
2016-02-11,689.5
2016-02-12,704.0
2016-02-15,703.75
2016-02-16,710.0
2016-02-17,702.75
2016-02-18,705.5
2016-02-19,705.25
2016-02-20,710.0
2016-02-22,699.5
2016-02-23,695.0
2016-02-24,695.5
2016-02-25,687.5
2016-02-26,684.5
2016-02-27,682.75
2016-02-29,685.25
2016-03-01,685.25
2016-03-02,681.0
2016-03-03,664.75
2016-03-04,671.0
2016-03-05,679.5
2016-03-07,685.5
2016-03-08,685.5
2016-03-09,680.0
2016-03-10,694.25
2016-03-11,707.0
2016-03-12,707.0
2016-03-14,707.0
2016-03-15,697.0
2016-03-16,699.5
2016-03-17,706.5
2016-03-18,712.75
2016-03-19,709.5
2016-03-21,703.25
2016-03-22,704.75
2016-03-23,697.25
2016-03-24,692.5
2016-03-25,698.5
2016-03-26,698.5
2016-03-29,707.75
2016-03-30,714.5
2016-03-31,713.75
2016-04-01,732.75
2016-04-02,734.5
2016-04-04,739.75
2016-04-05,738.5
2016-04-06,714.75
2016-04-07,750.75
2016-04-08,744.75
2016-04-09,743.75
2016-04-11,743.5
2016-04-12,740.5
2016-04-13,742.5
2016-04-14,740.75
2016-04-15,734.0
2016-04-16,729.25
2016-04-18,734.5
2016-04-19,745.25
2016-04-20,757.0
2016-04-21,759.5
2016-04-22,743.5
2016-04-23,744.0
2016-04-25,741.75
2016-04-26,740.0
2016-04-27,741.25
2016-04-28,732.75
2016-04-29,719.75
2016-04-30,716.0
2016-05-02,715.25
2016-05-03,709.75
2016-05-04,719.5
2016-05-05,717.5
2016-05-06,714.25
2016-05-07,737.75
2016-05-09,734.0
