DATE,BR_SOY_OIL_IMPORTS
2002-01-31,5.67
2002-02-28,7.0
2002-03-31,0.18
2002-04-30,20.31
2002-05-31,2.6
2002-06-30,4.6
2002-07-31,19.15
2002-08-31,0.6000000000000001
2002-09-30,16.88
2002-10-31,15.95
2002-11-30,9.8
2002-12-31,10.55
2003-01-31,2.15
2003-02-28,14.17
2003-03-31,1.0
2003-04-30,6.36
2003-05-31,6.35
2003-06-30,0.0
2003-07-31,0.5
2003-08-31,0.85
2003-09-30,0.15
2003-10-31,4.25
2003-11-30,0.35
2003-12-31,0.3
2004-01-31,12.8
2004-02-29,0.25
2004-03-31,6.6
2004-04-30,6.6
2004-05-31,0.68
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.1
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.11
2004-12-31,0.0
2005-01-31,0.0
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,0.11
2005-05-31,0.0
2005-06-30,0.0
2005-07-31,0.3
2005-08-31,0.22
2005-09-30,0.28
2005-10-31,2.06
2005-11-30,0.2
2005-12-31,0.01
2006-01-31,0.0
2006-02-28,0.0
2006-03-31,13.34
2006-04-30,0.01
2006-05-31,0.0
2006-06-30,0.0
2006-07-31,5.36
2006-08-31,5.31
2006-09-30,1.35
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.5
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.22
2007-06-30,1.34
2007-07-31,0.88
2007-08-31,40.3
2007-09-30,0.56
2007-10-31,0.1
2007-11-30,19.79
2007-12-31,19.84
2008-01-31,18.44
2008-02-29,6.1
2008-03-31,2.15
2008-04-30,0.0
2008-05-31,0.01
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.01
2008-09-30,0.01
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,0.0
2009-01-31,0.0
2009-02-28,0.0
2009-03-31,0.0
2009-04-30,0.06
2009-05-31,0.0
2009-06-30,0.09
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,6.0
2009-10-31,0.0
2009-11-30,6.25
2009-12-31,15.0
2010-01-31,14.0
2010-02-28,2.0
2010-03-31,0.01
2010-04-30,0.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-31,0.01
2010-08-31,0.0
2010-09-30,0.0
