DATE,BR_SOY_OIL_PRICE
2014-10-06,1970.0
2014-10-13,2030.0
2014-10-27,2110.0
2014-11-03,2110.0
2014-11-10,2140.0
2014-11-17,2300.0
2014-12-01,2110.0
2014-12-08,2310.0
2014-12-15,2180.0
2014-12-22,2220.0
2015-01-05,2220.0
2015-01-12,2240.0
2015-01-19,2200.0
2015-01-26,2170.0
2015-02-09,2050.0
2015-02-16,2130.0
2015-02-23,2160.0
2015-03-02,2160.0
2015-03-09,2180.0
2015-03-16,2180.0
2015-03-23,2350.0
2015-03-30,2350.0
2015-04-06,2330.0
2015-04-13,2330.0
2015-04-20,2330.0
2015-04-27,2300.0
2015-05-04,2300.0
2015-05-11,2400.0
2015-05-18,2400.0
2015-05-25,2400.0
2015-06-01,2600.0
2015-06-08,2500.0
2015-06-15,2420.0
2015-06-22,2350.0
2015-06-29,2400.0
2015-07-06,2400.0
2015-07-13,2350.0
2015-07-20,2340.0
2015-07-27,2375.0
2015-08-03,2435.0
2015-08-10,2500.0
2015-08-17,2500.0
2015-08-24,2450.0
2015-08-31,2450.0
2015-09-07,2450.0
2015-09-14,2540.0
2015-09-21,2540.0
2015-09-28,2850.0
2015-10-05,2850.0
2015-10-12,2850.0
2015-10-19,2850.0
2015-10-26,2850.0
2015-11-02,2850.0
2015-11-09,2870.0
2015-11-16,2870.0
2015-11-30,2960.0
2015-12-07,2960.0
2016-01-04,3350.0
2016-01-11,3300.0
2016-01-18,3200.0
2016-02-01,3200.0
2016-02-15,3100.0
2016-02-22,3100.0
2016-02-29,3100.0
2016-03-07,3100.0
2016-03-14,3100.0
2016-03-21,2800.0
2016-03-28,2850.0
2016-04-04,2850.0
2016-04-11,2850.0
2016-04-18,2950.0
2016-04-25,2950.0
2016-05-02,2950.0
2016-05-09,2900.0
2016-05-16,2900.0
2016-05-23,2900.0
2016-05-30,2900.0
2016-06-06,2900.0
2016-06-13,2800.0
2016-06-20,2800.0
2016-07-04,2850.0
2016-07-11,2850.0
2016-07-18,2500.0
2016-07-25,2490.0
2016-08-01,2490.0
2016-08-15,2490.0
2016-08-22,2690.0
2016-08-29,2690.0
2016-09-05,3100.0
2016-09-12,3100.0
2016-09-19,3175.0
2016-09-26,3175.0
2016-10-03,3175.0
2016-10-10,3175.0
2016-10-17,3175.0
2016-10-24,3150.0
2016-10-31,3150.0
2016-11-07,3150.0
2016-11-14,3300.0
2016-12-05,3300.0
2017-01-02,2700.0
2017-01-09,2630.0
2017-01-16,2930.0
2017-01-23,2765.0
2017-01-30,2948.0
2017-02-20,2700.0
2017-03-06,2700.0
2017-03-27,2700.0
2017-04-03,2520.0
2017-04-10,2340.0
2017-04-24,2580.0
2017-05-22,2650.0
2017-07-31,2580.0
2017-08-28,2700.0
2017-09-04,2700.0
2017-09-11,2740.0
2017-09-18,2780.0
2017-09-25,2780.0
2017-10-02,2700.0
2017-10-09,2630.0
2017-10-16,2930.0
2017-10-23,2765.0
2017-10-30,2948.0
2017-11-06,2829.8
2017-11-13,2829.8
2017-11-20,2829.8
2017-11-27,2829.8
2017-12-04,2880.0
2017-12-11,2815.0
2017-12-18,2830.0
2017-12-25,2830.0
2018-01-08,2810.0
2018-01-15,2810.0
2018-01-22,2680.0
2018-01-29,2680.0
2018-02-05,2800.0
2018-02-12,2730.0
2018-02-19,2780.0
2018-02-26,2780.0
2018-03-05,2820.0
2018-03-12,2730.0
2018-03-19,2730.0
2018-03-26,2700.0
2018-04-02,2700.0
2018-04-09,2700.0
2018-04-16,2700.0
2018-04-23,2700.0
2018-04-30,2700.0
2018-05-07,2760.0
2018-05-14,2850.0
2018-05-21,2900.0
2018-05-28,2900.0
2018-06-04,2900.0
2018-06-11,2900.0
2018-06-18,2780.0
2018-06-25,2780.0
2018-07-02,2780.0
2018-07-09,2780.0
2018-07-16,2790.0
2018-07-23,2790.0
2018-07-30,2750.0
2018-08-06,2800.0
2018-08-13,2800.0
2018-08-20,2900.0
2018-08-27,2900.0
2018-09-03,2900.0
2018-09-10,3070.0
2018-09-17,3070.0
2018-09-24,3070.0
2018-10-01,3070.0
2018-10-08,3070.0
2018-10-15,3070.0
2018-10-22,3070.0
2018-10-29,3070.0
2018-11-05,3070.0
2018-11-12,3070.0
2018-11-19,3070.0
2018-11-26,3070.0
2018-12-03,3070.0
2018-12-10,3070.0
2018-12-17,3070.0
2018-12-31,3070.0
2019-01-07,3070.0
2019-01-14,3070.0
2019-01-21,2800.0
2019-01-28,3070.0
2019-02-11,3070.0
2019-02-18,3070.0
2019-02-25,3070.0
2019-03-11,2850.0
2019-03-18,2700.0
2019-03-25,2750.0
2019-04-01,2750.0
2019-04-08,2750.0
