DATE,BR_SOY_OIL_PRICE_MT
2017-11-09,2260.0
2017-11-16,2246.67
2017-11-23,2300.0
2017-11-30,2283.33
2017-12-07,2323.33
2017-12-14,2343.33
2017-12-21,2373.33
2018-01-11,2373.33
2018-01-18,2300.0
2018-01-25,2233.33
2018-02-01,2266.67
2018-02-08,2300.0
2018-02-15,2326.67
2018-02-22,2325.67
2018-03-01,2325.67
2018-03-08,2272.5
2018-03-15,2260.0
2018-03-22,2328.75
2018-03-29,2337.5
2018-04-05,2347.5
2018-04-12,2345.0
2018-04-19,2393.75
2018-04-26,2345.31
2018-05-03,2392.11
2018-05-10,2341.84
2018-05-17,2404.35
2018-05-24,2335.25
2018-05-31,2329.03
2018-06-07,2364.3
2018-06-21,2313.72
2018-06-28,2294.98
2018-07-05,2318.81
2018-07-12,2270.21
2018-07-19,2234.76
2018-07-26,2243.35
2018-08-02,2231.0
2018-08-09,2273.14
2018-08-16,2269.03
2018-08-23,2343.29
2018-08-30,2401.88
2018-09-06,2318.24
2018-09-13,2339.09
2018-09-20,2325.8
2018-09-27,2356.24
2018-10-04,2344.97
2018-10-11,2369.4
2018-10-18,2452.16
2018-10-25,2632.5
2018-11-01,2432.63
2018-11-08,2503.14
2018-11-15,2537.71
2018-11-22,2503.01
2018-11-29,2500.25
2018-12-06,2551.89
2018-12-13,2501.37
2018-12-20,2423.91
2019-01-10,2450.65
2019-01-17,2341.86
2019-01-31,2272.46
2019-02-07,2283.75
2019-02-14,2245.5
2019-02-21,2274.75
2019-02-28,2274.96
2019-03-07,2246.4
2019-03-14,2231.6
2019-03-21,2205.75
2019-03-28,2277.13
2019-04-04,2211.1
2019-04-11,2226.5
2019-04-18,2181.1
2019-04-25,2187.32
2019-05-02,2173.18
2019-05-09,2156.52
2019-05-16,2144.03
2019-05-23,2200.25
2019-05-30,2281.28
2019-06-06,2193.18
2019-06-13,2172.75
2019-06-20,2154.4
2019-06-27,2126.15
2019-07-04,2130.73
2019-07-11,2082.43
2019-07-18,2084.12
2019-07-25,2079.12
2019-08-01,2076.25
2019-08-08,2282.5
2019-08-15,2399.05
2019-08-22,2431.77
2019-08-29,2506.58
2019-09-05,2489.0
2019-09-12,2907.5
2019-09-19,2823.53
2019-09-26,2870.0
2019-10-03,2907.5
2019-10-10,2922.5
2019-10-17,2677.5
2019-10-24,2885.0
2019-10-31,2863.35
2019-11-07,2863.35
2019-11-14,2918.75
2019-11-21,2886.25
2019-11-28,2978.75
2019-12-05,3045.0
2019-12-12,3046.25
2019-12-19,3124.5
2020-01-09,3080.0
2020-01-16,3132.5
2020-01-23,3135.0
2020-01-30,3033.75
2020-02-06,3032.5
2020-02-13,3195.0
2020-02-20,3111.67
2020-02-27,3141.67
2020-03-05,3062.5
2020-03-12,3024.14
2020-03-19,3008.33
2020-03-26,3183.33
2020-04-02,2972.08
2020-04-09,2942.33
2020-04-16,2873.61
2020-04-23,2935.0
2020-04-30,2813.33
2020-05-07,2935.0
2020-05-14,2923.33
2020-05-21,3052.65
2020-05-28,3033.33
2020-06-04,3158.33
2020-06-11,3266.67
2020-06-18,3358.33
2020-06-25,3413.33
2020-07-02,3520.0
2020-07-09,3712.5
2020-07-16,3986.67
2020-07-23,4075.0
2020-07-30,4174.88
2020-08-06,4233.33
2020-08-13,4300.0
2020-08-20,4936.75
2020-08-27,5076.13
2020-09-03,5315.36
2020-09-10,5433.33
2020-09-17,5766.67
2020-09-24,6125.0
2020-10-01,6150.0
2020-10-08,6450.0
2020-10-15,6433.33
2020-10-22,6500.0
2020-10-29,6505.0
2020-11-05,6710.0
2020-11-12,6355.0
2020-11-19,6205.0
2020-11-26,5675.0
2020-12-03,5500.0
2020-12-10,5325.0
2020-12-17,5050.0
2021-01-14,5850.0
2021-01-21,5216.67
2021-01-28,5265.7
2021-02-04,5341.67
2021-02-11,5283.34
2021-02-18,5333.33
2021-02-25,5200.0
2021-03-04,5758.33
2021-03-11,6391.67
2021-03-18,6340.17
2021-03-25,6550.0
2021-04-01,6458.34
2021-04-08,6875.0
2021-04-15,6450.0
2021-04-22,6500.0
2021-04-29,6350.0
2021-05-06,6520.67
2021-05-13,6600.0
2021-05-20,6590.0
2021-05-27,6450.0
2021-06-03,6440.0
2021-06-10,6465.0
2021-06-17,6175.0
2021-06-24,6175.0
2021-07-01,6191.67
2021-07-08,5850.0
2021-07-15,6169.0
2021-07-22,6150.0
2021-07-29,6250.0
2021-08-05,6200.0
2021-08-12,6066.67
2021-08-19,6174.95
2021-08-26,6356.67
2021-09-02,6250.0
2021-09-16,6333.33
2021-09-23,6500.0
2021-09-30,6566.67
2021-10-07,6933.0
2021-10-14,6300.0
2021-10-21,6400.0
2021-10-28,7166.67
2021-11-04,7375.0
2021-11-11,7033.33
2021-11-18,7433.33
2021-11-25,7633.33
2021-12-02,7050.0
2021-12-09,7000.0
2021-12-16,7025.0
2022-01-13,7250.0
2022-01-20,7333.33
2022-01-27,7341.67
2022-02-03,7516.67
2022-02-10,7583.33
2022-02-17,7466.67
2022-02-24,7941.0
2022-03-03,8824.0
2022-03-10,8875.0
2022-03-17,8800.0
2022-03-24,8512.5
2022-03-31,7716.67
2022-04-07,7616.67
2022-04-14,7983.33
2022-04-21,8200.0
2022-04-28,9116.67
2022-05-05,8500.0
2022-05-12,8825.0
2022-05-19,8750.0
2022-05-26,8350.0
2022-06-02,8275.0
2022-06-09,8400.0
2022-06-23,7962.5
2022-06-30,7850.0
2022-07-14,7125.0
2022-07-21,6887.5
2022-07-28,6800.0
2022-08-04,6733.33
2022-08-11,6725.0
2022-08-25,6500.0
2022-09-08,6450.0
2022-09-15,6025.0
2022-09-22,5950.0
2022-09-29,5550.0
2022-10-06,5475.0
2022-10-13,5750.0
2022-10-20,6112.5
2022-10-27,6512.5
2022-11-03,6462.5
2022-11-24,6962.5
2022-12-01,6837.5
2022-12-08,6700.0
2022-12-15,6275.0
2023-01-12,6087.5
2023-01-19,5750.0
2023-01-26,5662.5
2023-02-02,5485.0
2023-02-09,5575.0
2023-02-23,5525.0
2023-03-02,5425.0
2023-03-09,5275.0
2023-03-16,5223.67
2023-03-23,5137.56
2023-03-30,4968.28
2023-04-06,4804.31
2023-04-13,4632.56
2023-04-20,4599.22
2023-04-27,4433.33
2023-05-04,4411.11
2023-05-05,4411.11
2023-05-11,4344.33
2023-05-25,4228.0
2023-06-01,4244.67
2023-06-08,4394.67
2023-06-15,4394.67
2023-06-22,3966.67
2023-06-29,3942.0
2023-07-06,4050.0
2023-07-13,4100.0
2023-07-20,4200.0
2023-07-28,4300.0
2023-08-03,4300.0
2023-08-10,4295.0
2023-08-17,4320.0
2023-08-24,4378.25
2023-08-31,4461.52
2023-09-07,4390.73
2023-09-14,4432.37
2023-09-21,4344.92
2023-09-28,4386.58
2023-10-05,4428.25
2023-10-11,4411.58
2023-10-19,4403.25
2023-10-26,4403.25
2023-11-01,4436.58
2023-11-09,4461.58
2023-11-16,4503.25
2023-11-23,4519.92
2023-11-30,4469.92
2023-12-07,4266.67
2023-12-14,4266.67
2023-12-21,4300.0
2024-01-11,4200.0
2024-01-18,4191.25
2024-01-25,4250.0
2024-02-01,4157.5
2024-02-08,4050.0
2024-02-15,3975.0
2024-02-22,3925.0
2024-02-29,3900.0
2024-03-07,3875.0
2024-03-14,3975.0
2024-03-21,4000.0
2024-03-28,4025.0
2024-04-11,4150.0
2024-04-18,4308.34
2024-04-25,4258.0
2024-05-02,4208.34
2024-05-09,4262.5
2024-05-16,4225.0
2024-05-23,4287.5
2024-05-29,4337.5
2024-06-06,4350.0
2024-06-13,4355.0
2024-06-20,4385.0
2024-06-27,4475.0
2024-07-04,4749.25
2024-07-11,4994.25
2024-07-18,5150.0
2024-07-25,5187.5
2024-08-01,5112.5
2024-08-08,5212.5
2024-08-15,5137.5
2024-08-22,5142.5
2024-08-29,5262.5
2024-09-05,5362.5
2024-09-12,5250.0
2024-09-19,5265.0
2024-09-26,5275.0
2024-10-03,5325.0
2024-10-10,5483.33
2024-10-17,5533.33
2024-10-24,5545.0
2024-10-31,5685.83
2024-11-07,5825.0
2024-11-14,5943.75
2024-11-21,6112.5
2024-11-28,6113.75
2024-12-05,6122.5
2024-12-12,6170.0
2025-01-09,6180.0
2025-01-16,6187.5
2025-01-23,6174.2
2025-01-30,6070.0
2025-02-06,5972.5
2025-02-13,5988.3
2025-02-20,6005.05
2025-02-27,5978.8
2025-03-06,5991.3
2025-03-13,5833.02
2025-03-20,5836.77
2025-03-27,5746.77
2025-04-03,5800.27
