DATE,BR_SOY_OIL_PRODUCTION
2002-01-31,169.0
2002-02-28,273.48
2002-03-31,409.64
2002-04-30,451.56
2002-05-31,475.01
2002-06-30,481.41
2002-07-31,501.87
2002-08-31,489.77
2002-09-30,434.87
2002-10-31,473.35
2002-11-30,427.81
2002-12-31,351.66
2003-01-31,188.27
2003-02-28,258.39
2003-03-31,452.95
2003-04-30,488.74
2003-05-31,529.18
2003-06-30,506.66
2003-07-31,517.91
2003-08-31,535.16
2003-09-30,497.07
2003-10-31,483.6
2003-11-30,448.09
2003-12-31,379.97
2004-01-31,251.0
2004-02-29,329.47
2004-03-31,469.48
2004-04-30,532.55
2004-05-31,549.42
2004-06-30,548.16
2004-07-31,557.2
2004-08-31,524.06
2004-09-30,492.63
2004-10-31,448.74
2004-11-30,417.94
2004-12-31,386.63
2005-01-31,293.07
2005-02-28,381.93
2005-03-31,530.94
2005-04-30,570.25
2005-05-31,578.81
2005-06-30,539.49
2005-07-31,513.93
2005-08-31,485.42
2005-09-30,496.16
2005-10-31,478.23
2005-11-30,442.65
2005-12-31,424.68
2006-01-31,266.42
2006-02-28,361.3
2006-03-31,419.71
2006-04-30,500.0
2006-05-31,476.17
2006-06-30,516.6
2006-07-31,521.82
2006-08-31,538.18
2006-09-30,463.67
2006-10-31,501.55
2006-11-30,460.93
2006-12-31,402.62
2007-01-31,349.58
2007-02-28,418.96
2007-03-31,516.43
2007-04-30,533.06
2007-05-31,570.56
2007-06-30,551.72
2007-07-31,573.26
2007-08-31,573.9
2007-09-30,518.31
2007-10-31,513.21
2007-11-30,480.8
2007-12-31,445.02
2008-01-31,351.42
2008-02-29,384.36
2008-03-31,506.21
2008-04-30,568.48
2008-05-31,603.2
2008-06-30,600.51
2008-07-31,630.18
2008-08-31,572.23
2008-09-30,532.57
2008-10-31,555.2
2008-11-30,524.94
2008-12-31,437.99
2009-01-31,270.75
2009-02-28,444.62
2009-03-31,533.43
2009-04-30,572.77
2009-05-31,630.71
2009-06-30,616.85
2009-07-31,580.44
2009-08-31,564.59
2009-09-30,464.13
2009-10-31,463.45
2009-11-30,419.14
2009-12-31,335.09
2010-01-31,337.68
2010-02-28,479.74
2010-03-31,639.93
2010-04-30,668.54
2010-05-31,689.99
2010-06-30,659.08
2010-07-31,679.74
2010-08-31,636.0
2010-09-30,568.32
2010-10-31,590.25
2010-11-30,576.05
2010-12-31,402.23
2011-01-31,383.25
2011-02-28,493.38
2011-03-31,624.77
2011-04-30,694.46
2011-05-31,722.73
2011-06-30,695.6
2011-07-31,681.47
2011-08-31,607.66
2011-09-30,665.54
2011-10-31,666.37
2011-11-30,571.69
2011-12-31,533.57
2012-01-31,383.49
2012-02-29,581.46
2012-03-31,673.4
2012-04-30,697.42
2012-05-31,730.29
2012-06-30,679.33
2012-07-31,630.38
2012-08-31,631.5
2012-09-30,591.37
2012-10-31,515.01
2012-11-30,477.55
2012-12-31,422.0
2013-01-31,340.5
2013-02-28,465.67
2013-03-31,636.85
2013-04-30,698.58
2013-05-31,737.16
2013-06-30,675.84
2013-07-31,657.01
2013-08-31,648.93
2013-09-30,584.56
2013-10-31,593.0
2013-11-30,555.66
2013-12-31,481.0
2014-01-31,385.08
2014-02-28,479.63
2014-03-31,655.96
2014-04-30,693.54
2014-05-31,745.01
2014-06-30,707.9
2014-07-31,677.8
2014-08-31,678.44
2014-09-30,610.24
2014-10-31,585.67
2014-11-30,631.29
2014-12-31,592.12
2015-01-31,503.5
2015-02-28,575.61
2015-03-31,704.41
2015-04-30,740.86
2015-05-31,788.6
2015-06-30,749.62
2015-07-31,758.51
2015-08-31,715.03
2015-09-30,695.15
2015-10-31,680.74
2015-11-30,617.12
2015-12-31,545.21
2016-01-31,460.59
2016-02-29,660.31
2016-03-31,763.23
2016-04-30,812.91
2016-05-31,787.78
2016-06-30,723.06
2016-07-31,700.46
2016-08-31,600.15
2016-09-30,575.36
2016-10-31,616.59
2016-11-30,600.61
2016-12-31,583.91
2017-01-31,548.18
2017-02-28,625.64
2017-03-31,750.92
2017-04-30,763.38
2017-05-31,767.92
2017-06-30,725.81
2017-07-31,777.47
2017-08-31,694.83
2017-09-30,670.94
2017-10-31,735.25
2017-11-30,690.83
2017-12-31,682.06
2018-01-31,617.36
2018-02-28,648.71
2018-03-31,818.5
2018-04-30,824.74
2018-05-31,732.62
2018-06-30,812.81
2018-07-31,841.04
2018-08-31,801.16
2018-09-30,741.89
2018-10-31,711.84
