DATE,BR_SOY_PRICE_SORRISO
2017-05-19,54.6
2017-05-22,54.6
2021-01-12,153.0
2021-01-13,152.2
2021-01-14,151.0
2021-01-15,150.55
2021-01-18,150.55
2021-01-19,148.5
2021-01-20,146.5
2021-01-21,147.5
2021-01-22,147.5
2021-01-25,148.25
2021-01-26,148.6
2021-01-27,149.5
2021-01-28,149.0
2021-01-29,149.5
2021-02-01,149.2
2021-02-02,147.5
2021-02-03,147.5
2021-02-04,148.0
2021-02-05,148.0
2021-02-08,148.0
2021-02-09,148.0
2021-02-10,148.0
2021-02-11,149.25
2021-02-12,147.75
2021-02-17,147.75
2021-02-18,149.0
2021-02-19,148.5
2021-02-22,149.8
2021-02-23,151.0
2021-02-24,152.4
2021-02-25,153.5
2021-02-26,154.5
2021-03-01,156.5
2021-03-02,157.0
2021-03-03,158.0
2021-03-04,158.0
2021-03-05,159.0
2021-03-08,160.0
2021-03-09,165.5
2021-03-10,163.55
2021-03-11,153.0
2021-03-12,152.5
2021-03-15,156.75
2021-03-16,157.0
2021-03-17,155.0
2021-03-18,152.5
2021-03-19,152.0
2021-03-22,152.5
2021-03-23,153.0
2021-03-24,154.0
2021-03-25,155.0
2021-03-26,156.5
2021-03-29,157.5
2021-03-30,153.0
2021-03-31,158.0
2021-04-05,156.5
2021-04-06,157.0
2021-04-07,156.0
2021-04-09,159.7
2021-04-12,157.55
2021-04-13,158.5
2021-04-14,161.0
2021-04-15,159.7
2021-04-16,161.5
2021-04-19,162.1
2021-04-20,162.75
2021-04-22,165.0
2021-04-23,167.5
2021-04-26,167.25
2021-04-27,167.25
2021-04-28,163.5
2021-04-29,161.9
2021-04-30,162.5
2021-05-03,165.0
2021-05-04,165.0
2021-05-05,164.1
2021-05-06,164.0
2021-05-07,165.5
2021-05-10,164.55
2021-05-11,166.1
2021-05-12,169.0
2021-05-13,165.0
2021-05-14,164.0
2021-05-17,164.0
2021-05-18,164.0
2021-05-19,163.0
