DATE,BR_SOY_PRIMAVERA_DO_LESTE_PRICE
2013-07-04,54.0
2013-07-05,54.5
2013-07-08,54.5
2013-07-09,55.0
2013-07-10,55.25
2013-07-11,55.5
2013-07-12,55.5
2013-07-15,55.0
2013-07-16,55.0
2013-07-17,55.0
2013-07-18,54.0
2013-07-19,54.0
2013-07-22,54.0
2013-07-23,53.51
2013-07-24,53.25
2013-07-25,52.59
2013-07-26,51.5
2013-07-29,51.5
2013-07-30,52.18
2013-07-31,52.18
2013-08-01,51.58
2013-08-02,50.95
2013-08-05,48.9
2013-08-06,48.9
2013-08-07,50.0
2013-08-08,50.1
2013-08-09,50.1
2013-08-12,50.1
2013-08-13,51.25
2013-08-14,52.25
2013-08-15,52.6
2013-08-16,53.31
2013-08-19,54.54
2013-08-20,56.34
2013-08-21,57.25
2013-08-22,58.5
2013-08-23,58.84
2013-08-26,60.13
2013-08-27,59.92
2013-08-28,59.89
2013-08-29,60.17
2013-08-30,61.1
2013-09-02,61.13
2013-09-03,61.75
2013-09-04,62.0
2013-09-05,60.5
2013-09-06,59.59
2013-09-09,59.5
2013-09-10,58.34
2013-09-11,58.34
2013-09-12,58.25
2013-09-13,58.5
2013-09-16,58.5
2013-09-17,58.84
2013-09-18,58.78
2013-09-19,58.67
2013-09-20,58.67
2013-09-23,58.67
2013-09-24,58.5
2013-09-25,58.5
2013-09-26,59.17
2013-09-27,59.17
2013-09-30,59.22
2013-10-01,57.63
2013-10-02,58.47
2013-10-03,58.83
2013-10-04,58.78
2013-10-07,58.75
2013-10-08,58.67
2013-10-09,58.84
2013-10-10,59.76
2013-10-11,59.94
2013-10-14,59.59
2013-10-15,58.67
2013-10-16,58.89
2013-10-17,58.67
2013-10-18,58.67
2013-10-21,58.5
2013-10-22,58.67
2013-10-23,58.72
2013-10-24,58.5
2013-10-25,58.5
2013-10-28,58.67
2013-10-29,58.89
2013-10-30,58.97
2013-10-31,58.67
2013-11-01,58.89
2013-11-04,58.67
2013-11-05,58.67
2013-11-06,59.0
2013-11-07,60.5
2013-11-08,60.67
2013-11-11,60.5
2013-11-12,59.92
2013-11-13,60.06
2013-11-14,60.19
2013-11-18,60.23
2013-11-19,60.5
2013-11-20,60.67
2013-11-21,60.89
2013-11-22,60.96
2013-11-25,60.67
2013-11-26,59.56
2013-11-27,59.78
2013-11-28,59.89
2013-11-29,59.95
2013-12-02,59.97
2013-12-03,62.99
2013-12-04,62.94
2013-12-05,63.05
2013-12-06,63.57
2013-12-09,63.41
2013-12-10,63.73
2013-12-11,63.91
2013-12-12,62.05
2013-12-13,60.96
2013-12-16,60.48
2013-12-17,60.24
2013-12-18,60.12
2013-12-19,60.06
2013-12-20,60.03
2013-12-23,60.02
2013-12-26,60.01
2013-12-30,60.01
2014-01-02,60.01
2014-01-03,60.01
2014-01-06,57.18
2014-01-07,54.13
