DATE,BR_SOY_PRODUCTION
2002-01-31,730.14
2002-02-28,2518.91
2002-03-31,9306.74
2002-04-30,9353.68
2002-05-31,3571.38
2002-06-30,2551.98
2002-07-31,2697.7
2002-08-31,2438.35
2002-09-30,2014.83
2002-10-31,1786.08
2002-11-30,1056.73
2002-12-31,811.05
2003-01-31,587.38
2003-02-28,2913.17
2003-03-31,10264.52
2003-04-30,11650.33
2003-05-31,4521.0
2003-06-30,2603.29
2003-07-31,2315.98
2003-08-31,2081.74
2003-09-30,1724.7
2003-10-31,2063.75
2003-11-30,1756.51
2003-12-31,1518.3
2004-01-31,1395.55
2004-02-29,3478.17
2004-03-31,11703.85
2004-04-30,9780.86
2004-05-31,4061.33
2004-06-30,2385.55
2004-07-31,2159.93
2004-08-31,1290.09
2004-09-30,1175.11
2004-10-31,1751.18
2004-11-30,1414.61
2004-12-31,1457.8
2005-01-31,1271.82
2005-02-28,4207.29
2005-03-31,11285.13
2005-04-30,10760.96
2005-05-31,4574.51
2005-06-30,2327.54
2005-07-31,1931.68
2005-08-31,1681.74
2005-09-30,1536.61
2005-10-31,1555.73
2005-11-30,1372.82
2005-12-31,1101.07
2006-01-31,1475.79
2006-02-28,4218.33
2006-03-31,10118.92
2006-04-30,10249.84
2006-05-31,5031.97
2006-06-30,2948.38
2006-07-31,2541.16
2006-08-31,3024.78
2006-09-30,2203.86
2006-10-31,1838.85
2006-11-30,1735.46
2006-12-31,1055.22
2007-01-31,1679.55
2007-02-28,6409.47
2007-03-31,12876.54
2007-04-30,8369.58
2007-05-31,4343.55
2007-06-30,3241.55
2007-07-31,2550.92
2007-08-31,2460.29
2007-09-30,1769.03
2007-10-31,1725.99
2007-11-30,1483.14
2007-12-31,1225.95
2008-01-31,982.79
2008-02-29,5373.03
2008-03-31,13612.54
2008-04-30,12840.37
2008-05-31,6556.13
2008-06-30,5253.99
2008-07-31,3503.04
2008-08-31,2193.33
2008-09-30,1963.69
2008-10-31,1712.46
2008-11-30,1437.37
2008-12-31,1101.99
2009-01-31,1649.1
2009-02-28,6311.57
2009-03-31,12282.74
2009-04-30,12856.53
2009-05-31,7400.7
2009-06-30,4767.32
2009-07-31,3321.81
2009-08-31,2474.88
2009-09-30,1462.19
2009-10-31,978.55
2009-11-30,696.93
2009-12-31,555.07
2010-01-31,2548.03
2010-02-28,9797.61
2010-03-31,12943.19
2010-04-30,10290.77
2010-05-31,6517.69
2010-06-30,5374.32
2010-07-31,4545.51
2010-08-31,3418.86
2010-09-30,2397.71
2010-10-31,2140.51
2010-11-30,1900.59
2010-12-31,1051.46
2011-01-31,1246.08
2011-02-28,7349.82
2011-03-31,14975.55
2011-04-30,10720.22
2011-05-31,6064.09
2011-06-30,4005.51
2011-07-31,3415.84
2011-08-31,3595.18
2011-09-30,3274.51
2011-10-31,2750.24
2011-11-30,2022.65
2011-12-31,1873.08
2012-01-31,2342.76
2012-02-29,10312.77
2012-03-31,14045.13
2012-04-30,11244.16
2012-05-31,6703.51
2012-06-30,4483.16
2012-07-31,2476.64
2012-08-31,1799.52
2012-09-30,999.26
2012-10-31,986.72
2012-11-30,427.53
2012-12-31,551.74
2013-01-31,2153.0
2013-02-28,10405.58
2013-03-31,13280.71
2013-04-30,10860.41
2013-05-31,7080.4
2013-06-30,5297.44
2013-07-31,3683.66
2013-08-31,3311.98
2013-09-30,3175.37
2013-10-31,2118.38
2013-11-30,1580.83
2013-12-31,1084.44
2014-01-31,2758.43
2014-02-28,12402.01
2014-03-31,13199.73
2014-04-30,10934.34
2014-05-31,7878.29
2014-06-30,5852.99
2014-07-31,4139.59
2014-08-31,3654.54
2014-09-30,2753.8
2014-10-31,2401.72
2014-11-30,1790.04
2014-12-31,1439.44
2015-01-31,3279.3
2015-02-28,9346.34
2015-03-31,16462.99
2015-04-30,13572.46
2015-05-31,8657.65
2015-06-30,7424.97
2015-07-31,5779.17
2015-08-31,4304.13
2015-09-30,3834.48
2015-10-31,3176.09
2015-11-30,1896.21
2015-12-31,1151.08
2016-01-31,2928.77
2016-02-29,14309.61
2016-03-31,16935.27
2016-04-30,12120.21
2016-05-31,9053.0
2016-06-30,6379.13
2016-07-31,3661.93
2016-08-31,2491.33
2016-09-30,2311.75
2016-10-31,2406.35
2016-11-30,2266.64
2016-12-31,1845.7
2017-01-31,5673.66
2017-02-28,16176.72
2017-03-31,17530.55
2017-04-30,11281.22
2017-05-31,8808.96
2017-06-30,7498.41
2017-07-31,5879.98
2017-08-31,4856.71
2017-09-30,4669.67
2017-10-31,4470.4
2017-11-30,4307.05
2017-12-31,3268.56
2018-01-31,5473.83
2018-02-28,14885.35
2018-03-31,22109.98
2018-04-30,14942.55
2018-05-31,8420.23
2018-06-30,8583.08
2018-07-31,7818.1
2018-08-31,6522.84
2018-09-30,5732.6
2018-10-31,5382.83
2018-11-30,3535.02
2018-12-31,1558.33
2019-01-31,9472.45
2019-02-28,18075.62
2019-03-31,16924.94
2019-04-30,11144.81
2019-05-31,8504.31
2019-06-30,6245.16
2019-07-31,5134.7
2019-08-31,5272.93
2019-09-30,5094.13
2019-10-31,5453.91
2019-11-30,4353.66
2019-12-31,2836.61
2020-01-31,6721.65
2020-02-29,20729.53
2020-03-31,23845.73
2020-04-30,15958.67
2020-05-31,12226.23
2020-06-30,9042.8
2020-07-31,5919.33
2020-08-31,5410.72
2020-09-30,3615.19
2020-10-31,2295.5
2020-11-30,1484.61
2020-12-31,825.21
2021-01-31,2157.0
2021-02-28,16193.09
2021-03-31,27693.94
2021-04-30,16893.33
2021-05-31,10844.12
2021-06-30,7734.07
2021-07-31,5502.26
2021-08-31,5511.44
2021-09-30,4974.2
2021-10-31,4837.4
2021-11-30,3803.94
2021-12-31,3374.95
2022-01-31,6909.61
2022-02-28,19494.1
2022-03-31,22761.25
2022-04-30,12022.78
2022-05-31,10070.52
2022-06-30,7282.53
2022-07-31,5840.17
2022-08-31,4812.02
2022-09-30,4480.62
2022-10-31,4235.45
2022-11-30,3826.81
2022-12-31,3363.98
2023-01-31,6313.65
2023-02-28,20770.68
2023-03-31,29040.77
2023-04-30,16277.83
2023-05-31,13614.32
2023-06-30,11628.37
2023-07-31,9226.02
2023-08-31,8226.32
2023-09-30,7264.59
2023-10-31,6445.62
2023-11-30,5970.77
2023-12-31,5048.79
2024-01-31,7494.3
2024-02-29,18911.47
2024-03-31,20415.92
2024-04-30,18054.81
2024-05-31,13068.01
2024-06-30,10520.62
2024-07-31,8572.93
2024-08-31,7146.26
2024-09-30,6541.46
2024-10-31,5740.75
2024-11-30,4140.3
2024-12-31,3190.7
2025-01-31,5922.82
