DATE,BR_SOY_RONDONOPOLIS_PRICE
2004-01-20,39.25
2004-01-26,38.0
2004-01-30,36.4
2004-02-03,34.8
2004-02-04,33.65
2004-02-09,35.0
2004-02-11,33.75
2004-02-12,33.5
2004-02-13,34.0
2004-02-16,35.0
2004-02-17,35.0
2004-02-18,35.17
2004-02-20,37.0
2004-02-25,36.0
2004-02-27,37.0
2004-03-01,38.77
2004-03-02,39.5
2004-03-03,37.75
2004-03-04,38.67
2004-03-05,38.25
2004-03-08,39.25
2004-03-09,37.5
2004-03-10,40.83
2004-03-11,38.0
2004-03-12,38.83
2004-03-15,39.75
2004-03-16,41.5
2004-03-17,42.0
2004-03-18,43.0
2004-03-19,44.3
2004-03-22,44.72
2004-03-23,44.75
2004-03-24,45.5
2004-03-25,45.08
2004-03-26,45.2
2004-03-29,44.76
2004-03-30,43.5
2004-03-31,44.0
2004-04-01,43.5
2004-04-02,44.67
2004-04-05,45.0
2004-04-06,46.0
2004-04-07,45.5
2004-04-08,46.0
2004-04-12,42.8
2004-04-13,43.3
2004-04-14,43.33
2004-04-15,42.5
2004-04-16,42.5
2004-04-19,42.4
2004-04-20,43.13
2004-04-22,43.0
2004-04-23,43.3
2004-04-26,44.5
2004-04-27,44.75
2004-04-28,44.27
2004-04-29,44.17
2004-04-30,44.38
2004-05-03,44.59
2004-05-04,45.1
2004-05-05,45.14
2004-05-06,44.8
2004-05-07,45.71
2004-05-10,45.63
2004-05-11,45.87
2004-05-12,46.0
2004-05-13,43.6
2004-05-14,41.33
2004-05-17,41.17
2004-05-18,39.21
2004-05-19,40.34
2004-05-20,39.6
2004-05-21,39.78
2004-05-24,39.73
2004-05-25,39.33
2004-05-26,40.1
2004-05-27,40.0
2004-05-28,37.25
2004-05-31,36.83
2004-06-01,39.33
2004-06-02,39.17
2004-06-03,39.0
2004-06-04,36.67
2004-06-07,35.92
2004-06-08,37.5
2004-06-09,37.47
2004-06-11,37.5
2004-06-14,38.06
2004-06-15,38.27
2004-06-16,37.8
2004-06-17,36.0
2004-06-18,37.07
2004-06-21,37.61
2004-06-22,37.88
2004-06-23,38.64
2004-06-24,39.4
2004-06-25,39.1
2004-06-28,39.84
2004-06-29,38.0
2004-06-30,37.37
2004-07-01,36.25
2004-07-02,35.9
2004-07-05,36.0
2004-07-06,34.83
2004-07-07,35.5
2004-07-08,35.07
2004-07-09,33.86
2004-07-12,33.09
2004-07-13,33.23
2004-07-14,33.04
2004-07-15,32.93
2004-07-16,32.38
2004-07-19,31.47
2004-07-20,32.05
2004-07-21,30.51
2004-07-22,30.25
2004-07-23,30.13
2004-07-26,31.9
2004-07-27,30.6
2004-07-28,30.67
2004-07-29,30.42
2004-07-30,29.75
2004-08-02,29.97
2004-08-03,29.84
2004-08-04,29.91
2004-08-05,30.38
2004-08-06,30.13
2004-08-09,30.45
2004-08-10,30.9
2004-08-11,30.62
2004-08-12,30.84
2004-08-13,31.33
2004-08-16,30.7
2004-08-17,30.73
2004-08-18,31.83
2004-08-19,32.13
2004-08-20,31.17
2004-08-23,31.95
2004-08-24,32.33
2004-08-25,32.17
2004-08-26,32.0
2004-08-27,31.5
2004-08-30,31.5
2004-08-31,32.54
2004-09-01,33.0
2004-09-02,33.5
2004-09-03,31.58
2004-09-06,32.0
2004-09-08,30.83
2004-09-09,29.96
2004-09-10,30.08
2004-09-13,29.6
2004-09-14,29.78
2004-09-15,30.17
2004-09-16,30.18
2004-09-17,29.5
2004-09-20,28.88
2004-09-21,28.37
2004-09-22,28.25
2004-09-23,28.25
2004-09-24,28.33
2004-09-27,28.5
2004-09-28,28.33
2004-09-29,29.13
2004-09-30,31.0
2004-10-01,28.55
2004-10-04,28.03
2004-10-05,27.76
2004-10-06,28.3
2004-10-07,28.52
2004-10-08,28.68
2004-10-11,28.63
2004-10-13,27.92
2004-10-14,28.37
2004-10-15,28.33
2004-10-18,28.43
2004-10-19,28.2
2004-10-20,28.64
2004-10-21,29.31
2004-10-22,29.25
2004-10-25,29.42
2004-10-26,29.38
2004-10-27,29.26
2004-10-28,28.46
2004-10-29,28.0
2004-11-01,27.5
2004-11-03,28.36
2004-11-04,27.63
2004-11-05,26.8
2004-11-08,26.63
2004-11-09,26.54
2004-11-10,26.63
2004-11-11,26.92
2004-11-12,26.84
2004-11-16,27.05
2004-11-17,27.0
2004-11-18,27.18
2004-11-19,26.94
2004-11-22,27.0
2004-11-23,26.74
2004-11-24,27.33
2004-11-25,27.2
2004-11-26,26.96
2004-11-29,27.13
2004-11-30,26.63
2004-12-01,25.92
2004-12-02,25.92
2004-12-03,25.58
2004-12-06,25.25
2004-12-07,25.0
2004-12-08,26.25
2004-12-09,26.5
2004-12-10,27.0
2004-12-13,27.3
2004-12-14,27.19
2004-12-15,27.4
2004-12-16,27.21
2004-12-17,27.25
2004-12-20,27.15
2004-12-21,27.83
2004-12-22,28.0
2004-12-23,28.25
2004-12-27,28.0
2004-12-28,27.63
2004-12-29,27.5
2004-12-30,27.5
2005-01-03,27.0
2005-01-04,26.33
2005-01-05,25.5
2005-01-06,25.75
2005-01-07,25.5
2005-01-10,25.83
2005-01-11,26.0
2005-01-12,25.25
2005-01-13,25.0
2005-01-14,25.0
2005-01-17,24.75
2005-01-18,24.83
2005-01-19,24.75
2005-01-20,25.1
2005-01-21,24.76
2005-01-24,24.87
2005-01-25,24.83
2005-01-26,24.83
2005-01-27,24.75
2005-01-28,24.27
2005-01-31,23.2
2005-02-01,22.75
2005-02-02,23.5
2005-02-03,21.5
2005-02-04,20.67
2005-02-09,20.75
2005-02-10,20.93
2005-02-11,20.8
2005-02-14,21.25
2005-02-15,20.8
2005-02-16,20.25
2005-02-17,20.25
2005-02-18,22.7
2005-02-21,22.0
2005-02-22,22.67
2005-02-23,23.13
2005-02-24,23.2
2005-02-25,23.7
2005-02-28,23.8
2005-03-01,24.83
2005-03-02,25.0
2005-03-03,25.3
