DATE,BR_SOY_SORRISO_PRICE
2004-01-20,36.5
2004-01-21,34.5
2004-01-22,35.7
2004-01-23,34.75
2004-01-26,35.66
2004-01-27,35.65
2004-01-28,35.42
2004-01-29,34.95
2004-01-30,33.81
2004-02-03,32.81
2004-02-04,32.3
2004-02-05,32.25
2004-02-09,33.27
2004-02-10,32.88
2004-02-11,32.63
2004-02-12,33.2
2004-02-13,30.25
2004-02-16,31.75
2004-02-17,32.13
2004-02-18,32.42
2004-02-19,33.5
2004-02-20,34.08
2004-02-25,34.31
2004-02-26,35.0
2004-02-27,34.88
2004-03-01,34.88
2004-03-02,35.5
2004-03-03,34.6
2004-03-04,34.75
2004-03-05,35.15
2004-03-08,35.33
2004-03-09,35.5
2004-03-10,35.5
2004-03-11,34.93
2004-03-12,35.5
2004-03-15,35.67
2004-03-16,36.63
2004-03-17,37.67
2004-03-18,38.69
2004-03-19,39.62
2004-03-22,41.6
2004-03-23,41.38
2004-03-24,42.08
2004-03-25,41.68
2004-03-26,41.28
2004-03-29,40.9
2004-03-30,40.35
2004-03-31,40.28
2004-04-01,38.88
2004-04-02,41.4
2004-04-05,42.1
2004-04-06,40.83
2004-04-07,42.06
2004-04-08,41.83
2004-04-12,38.8
2004-04-13,38.94
2004-04-14,39.63
2004-04-15,38.2
2004-04-16,38.2
2004-04-19,39.32
2004-04-20,38.93
2004-04-22,39.25
2004-04-23,38.9
2004-04-26,39.55
2004-04-27,40.3
2004-04-28,40.67
2004-04-29,41.45
2004-04-30,42.12
2004-05-03,41.98
2004-05-04,42.38
2004-05-05,42.44
2004-05-06,42.12
2004-05-07,42.7
2004-05-10,42.14
2004-05-11,42.25
2004-05-12,42.0
2004-05-14,40.66
2004-05-17,42.0
2004-05-18,36.7
2004-05-19,38.0
2004-05-20,37.08
2004-05-21,37.67
2004-05-24,38.5
2004-05-25,37.44
2004-05-26,37.23
2004-05-27,35.63
2004-05-28,34.1
2004-05-31,34.0
2004-06-01,35.63
2004-06-02,37.25
2004-06-03,36.33
2004-06-04,33.68
2004-06-07,33.13
2004-06-08,33.75
2004-06-09,34.49
2004-06-11,34.57
2004-06-14,35.13
2004-06-15,35.42
2004-06-16,34.33
2004-06-17,34.53
2004-06-18,33.88
2004-06-21,34.5
2004-06-22,35.38
2004-06-23,35.75
2004-06-24,35.83
2004-06-25,35.75
2004-06-28,35.33
2004-06-29,35.0
2004-06-30,34.5
2004-07-01,32.83
2004-07-02,32.33
2004-07-05,33.73
2004-07-06,31.88
2004-07-07,31.0
2004-07-08,31.6
2004-07-09,31.83
2004-07-12,31.25
2004-07-13,30.42
2004-07-14,29.86
2004-07-15,29.5
2004-07-16,28.8
2004-07-19,29.29
2004-07-20,28.21
2004-07-21,27.71
2004-07-22,26.6
2004-07-23,26.83
2004-07-26,29.75
2004-07-27,28.58
2004-07-28,28.0
2004-07-29,28.0
2004-07-30,27.67
2004-08-02,27.0
2004-08-03,26.5
2004-08-04,28.43
2004-08-05,27.45
2004-08-06,27.39
2004-08-09,28.08
2004-08-10,27.06
