DATE,BR_SUGAR_CRUSHING
2008-02-16,0.0
2008-03-01,0.0
2008-03-16,0.0
2008-04-01,1340.0
2008-04-16,5788.0
2008-05-01,14304.0
2008-05-16,23518.0
2008-06-01,31537.0
2008-06-16,31289.0
2008-07-01,33461.0
2008-07-16,35146.0
2008-08-01,38189.0
2008-08-16,29840.0
2008-09-01,38384.0
2008-09-16,34040.0
2008-10-01,33615.0
2008-10-16,28703.0
2008-11-01,33647.0
2008-11-16,26009.0
2008-12-01,30274.0
2008-12-16,21438.0
2009-01-01,6658.0
2009-01-16,2399.0
2009-02-01,1553.0
2009-02-16,1276.0
2009-03-01,913.0
2009-03-16,1818.0
2009-04-01,4717.0
2009-04-16,12509.0
2009-05-01,26700.0
2009-05-16,29926.0
2009-06-01,37024.0
2009-06-16,33382.0
2009-07-01,33787.0
2009-07-16,34163.0
2009-08-01,36020.0
2009-08-16,40372.0
2009-09-01,30615.0
2009-09-16,29808.0
2009-10-01,29928.0
2009-10-16,35331.0
2009-11-01,30403.0
2009-11-16,29174.0
2009-12-01,25539.0
2009-12-16,15933.0
2010-01-01,10321.0
2010-01-16,3754.0
2010-02-01,2645.0
2010-02-16,3173.0
2010-03-01,2538.0
2010-03-16,4294.0
2010-04-01,6851.0
2010-04-16,20795.0
2010-05-01,30804.0
2010-05-16,35126.0
2010-06-01,40507.0
2010-06-16,39767.0
2010-07-01,41783.0
2010-07-16,39467.0
2010-08-01,42655.0
2010-08-16,40234.0
2010-09-01,42067.0
2010-09-16,37504.0
2010-10-01,27228.0
2010-10-16,26228.0
2010-11-01,30121.0
2010-11-16,24385.0
2010-12-01,18507.0
2010-12-16,8791.0
2011-01-01,2476.0
2011-01-16,566.0
2011-02-01,277.0
2011-02-16,243.0
2011-03-01,198.0
2011-03-16,258.0
2011-04-01,1807.0
2011-04-16,5194.0
2011-05-01,17014.0
2011-05-16,33213.0
2011-06-01,43235.0
2011-06-16,34993.0
2011-07-01,42251.0
2011-07-16,40583.0
2011-08-01,41766.0
2011-08-16,38745.0
2011-09-01,40716.0
2011-09-16,37208.0
2011-10-01,36873.0
2011-10-16,23438.0
2011-11-01,23131.0
2011-11-16,18593.0
2011-12-01,9225.0
2011-12-16,2740.0
2012-01-01,920.0
2012-01-16,461.0
2012-02-01,477.0
2012-02-16,312.0
2012-03-01,285.0
2012-03-16,213.0
2012-04-01,313.0
2012-04-16,4203.0
2012-05-01,9396.0
2012-05-16,20881.0
2012-06-01,35784.0
2012-06-16,25877.0
2012-07-01,31703.0
