DATE,BR_SUGAR_MIX
2008-04-01,31.7
2008-04-16,25.71
2008-05-01,34.47
2008-05-16,38.07
2008-06-01,40.43
2008-06-16,39.78
2008-07-01,41.34
2008-07-16,41.92
2008-08-01,42.63
2008-08-16,40.27
2008-09-01,43.04
2008-09-16,42.48
2008-10-01,41.3
2008-10-16,38.97
2008-11-01,40.58
2008-11-16,36.22
2008-12-01,38.18
2008-12-16,35.16
2009-04-01,30.23
2009-04-16,33.92
2009-05-01,39.79
2009-05-16,41.2
2009-06-01,43.05
2009-06-16,42.89
2009-07-01,44.85
2009-07-16,45.29
2009-08-01,45.52
2009-08-16,46.63
2009-09-01,44.2
2009-09-16,45.23
2009-10-01,45.03
2009-10-16,46.46
2009-11-01,45.08
2009-11-16,43.46
2009-12-01,41.19
2009-12-16,31.5
2010-01-01,29.29
2010-01-16,19.85
2010-02-01,17.54
2010-02-16,21.69
2010-03-01,18.42
2010-03-16,23.38
2010-04-01,34.57
2010-04-16,39.38
2010-05-01,43.26
2010-05-16,44.37
2010-06-01,44.74
2010-06-16,45.55
2010-07-01,45.84
2010-07-16,45.54
2010-08-01,46.13
2010-08-16,46.84
2010-09-01,46.36
2010-09-16,46.4
2010-10-01,44.8
2010-10-16,42.15
2010-11-01,46.33
2010-11-16,47.21
2010-12-01,44.47
2010-12-16,35.88
2011-01-01,23.82
2011-01-16,13.4
2011-02-01,7.48
2011-02-16,22.33
2011-03-01,14.9
2011-03-16,34.07
2011-04-01,34.95
2011-04-16,34.4
2011-05-01,36.36
2011-05-16,43.05
2011-06-01,46.1
2011-06-16,46.23
2011-07-01,48.27
2011-07-16,49.18
2011-08-01,50.11
2011-08-16,50.2
2011-09-01,51.15
2011-09-16,51.3
2011-10-01,51.84
2011-10-16,49.8
2011-11-01,48.42
2011-11-16,51.12
2011-12-01,44.6
2011-12-16,39.99
2012-01-01,30.63
2012-01-16,24.47
2012-02-01,32.59
2012-02-16,30.05
2012-03-01,25.01
2012-03-16,16.27
2012-04-01,13.93
2012-04-16,37.02
2012-05-01,40.05
2012-05-16,45.11
2012-06-01,48.31
2012-06-16,45.71
2012-07-01,47.79
2012-07-16,50.24
2012-08-01,50.59
2012-08-16,51.5
2012-09-01,51.58
2012-09-16,51.56
2012-10-01,48.56
2012-10-16,51.45
2012-11-01,51.27
2012-11-16,50.28
2012-12-01,50.51
2012-12-16,46.48
2013-01-01,29.58
2013-01-16,25.42
2013-02-01,1.23
2013-03-01,68.39
2013-03-16,23.53
2013-04-01,32.7
2013-04-16,29.05
2013-05-01,41.81
2013-05-16,43.65
2013-06-01,41.66
2013-06-16,42.26
2013-07-01,41.8
2013-07-16,45.46
2013-08-01,45.09
2013-08-16,47.89
2013-09-01,48.7
2013-09-16,49.28
2013-10-01,46.9
2013-10-16,46.32
2013-11-01,47.99
2013-11-16,47.94
2013-12-01,43.83
2013-12-16,40.33
2014-01-01,34.01
2014-01-16,13.4
2014-02-01,6.85
2014-02-16,0.01
2014-03-16,23.39
2014-04-01,35.56
2014-04-16,33.75
2014-05-01,37.43
2014-05-16,42.39
2014-06-01,43.74
2014-06-16,45.18
2014-07-01,45.7
2014-07-16,46.38
2014-08-01,46.23
2014-08-16,45.83
2014-09-01,45.26
2014-09-16,43.94
2014-10-01,39.14
2014-10-16,43.2
2014-11-01,42.66
2014-11-16,40.01
2014-12-01,36.56
2014-12-16,32.4
2015-01-01,26.76
2015-01-16,11.49
2015-02-01,15.14
2015-02-16,9.03
2015-03-01,7.39
2015-03-16,9.16
2015-04-01,29.39
2015-04-16,30.49
2015-05-01,36.5
2015-05-16,37.85
2015-06-01,41.15
2015-06-16,42.17
2015-07-01,43.68
2015-07-16,39.13
2015-08-01,43.96
2015-08-16,44.82
2015-09-01,43.2
2015-09-16,39.94
2015-10-01,42.49
2015-10-16,43.33
2015-11-01,42.14
2015-11-16,38.2
2015-12-01,33.09
2015-12-16,33.5
2016-01-01,32.48
2016-01-16,16.43
2016-02-01,26.09
2016-02-16,19.32
2016-03-01,11.99
2016-03-16,29.44
2016-04-01,33.52
2016-04-16,41.03
2016-05-01,42.91
2016-05-16,44.01
2016-06-01,41.77
2016-06-16,40.73
2016-07-01,46.99
2016-07-16,47.66
2016-08-01,48.05
2016-08-16,48.57
2016-09-01,47.75
2016-09-16,48.09
2016-10-01,50.15
2016-10-16,49.62
2016-11-01,49.29
2016-11-16,47.95
2016-12-01,47.15
2016-12-16,41.82
2017-01-01,35.28
2017-01-16,28.67
2017-02-01,19.5
2017-02-16,11.06
2017-03-01,16.62
2017-03-16,24.05
2017-04-01,35.19
2017-04-16,39.37
2017-05-01,43.06
2017-05-16,46.81
2017-06-01,47.47
2017-06-16,49.37
2017-07-01,50.52
2017-07-16,50.41
2017-08-01,50.35
2017-08-16,50.08
2017-09-01,46.97
2017-09-16,47.98
2017-10-01,46.55
2017-10-16,43.88
2017-11-01,42.85
2017-11-16,42.38
2017-12-01,36.58
2017-12-16,40.18
2018-01-01,32.24
2018-01-16,17.01
2018-02-01,8.36
2018-02-16,8.3
2018-03-01,7.06
2018-03-16,16.53
2018-04-01,20.9
2018-04-16,31.35
2018-05-01,35.55
2018-05-16,36.48
2018-06-01,32.45
2018-06-16,36.44
2018-07-01,37.69
2018-07-16,38.31
2018-08-01,38.35
2018-08-16,35.04
2018-09-01,37.64
2018-09-16,37.32
2018-10-01,33.02
2018-10-16,32.3
2018-11-01,30.13
2018-11-16,34.08
2018-12-01,31.59
2018-12-16,28.72
2019-01-01,21.4
2019-01-16,23.05
2019-02-01,9.76
2019-02-16,4.62
2019-03-01,2.35
2019-03-16,6.05
2019-04-01,23.55
2019-04-16,23.55
2019-05-01,30.83
2019-05-16,36.22
2019-06-01,35.43
2019-06-16,35.84
2019-07-01,37.14
2019-07-16,36.03
2019-08-01,37.04
2019-08-16,35.87
2019-09-01,36.55
2019-09-16,35.1
2019-10-01,34.12
2019-10-16,34.65
2019-11-01,32.14
2019-11-16,28.27
2019-12-01,23.06
2019-12-16,15.64
