DATE,BR_SUGAR_PRICE
2002-01-02,26.07
2002-01-03,26.04
2002-01-04,26.08
2002-01-07,26.17
2002-01-08,26.28
2002-01-09,26.19
2002-01-10,26.12
2002-01-11,26.11
2002-01-14,26.12
2002-01-15,26.07
2002-01-16,25.98
2002-01-17,25.87
2002-01-18,25.89
2002-01-21,25.83
2002-01-22,25.69
2002-01-23,25.54
2002-01-24,25.4
2002-01-25,25.2
2002-01-28,24.92
2002-01-29,24.43
2002-01-30,24.13
2002-01-31,24.0
2002-02-01,23.91
2002-02-04,23.71
2002-02-05,23.63
2002-02-06,23.57
2002-02-07,23.55
2002-02-08,23.51
2002-02-13,23.45
2002-02-14,23.33
2002-02-15,23.15
2002-02-18,22.95
2002-02-19,22.66
2002-02-20,22.58
2002-02-21,22.23
2002-02-22,22.13
2002-02-25,22.02
2002-02-26,21.96
2002-02-27,21.82
2002-02-28,21.63
2002-03-01,21.54
2002-03-04,21.43
2002-03-05,21.26
2002-03-06,21.2
2002-03-07,21.18
2002-03-08,21.1
2002-03-11,21.05
2002-03-12,20.85
2002-03-13,20.86
2002-03-14,21.02
2002-03-15,21.19
2002-03-18,21.23
2002-03-19,21.39
2002-03-20,21.45
2002-03-21,21.45
2002-03-22,21.49
2002-03-25,21.48
2002-03-26,21.51
2002-03-27,21.5
2002-03-28,21.42
2002-04-01,21.43
2002-04-02,21.4
2002-04-03,21.33
2002-04-04,21.26
2002-04-05,21.2
2002-04-08,21.18
2002-04-09,21.14
2002-04-10,21.1
2002-04-11,20.75
2002-04-15,20.72
2002-04-16,20.66
2002-04-17,20.61
2002-04-18,20.55
2002-04-19,20.56
2002-04-22,20.47
2002-04-23,20.37
2002-04-24,20.42
2002-04-25,20.4
2002-04-26,20.39
2002-04-29,20.42
2002-04-30,20.57
2002-05-02,20.53
2002-05-03,20.35
2002-05-06,20.37
2002-05-07,20.56
2002-05-08,20.61
2002-05-09,20.78
2002-05-10,20.92
2002-05-13,21.02
2002-05-14,20.95
2002-05-15,20.86
2002-05-16,20.76
2002-05-17,20.74
2002-05-20,20.7
2002-05-21,20.69
2002-05-22,20.63
2002-05-23,20.67
2002-05-24,20.69
2002-05-27,20.66
2002-05-28,20.66
2002-05-29,20.62
2002-05-31,20.65
2002-06-03,20.53
2002-06-04,20.48
2002-06-05,20.42
2002-06-06,20.25
2002-06-07,20.15
2002-06-10,20.08
2002-06-11,19.7
2002-06-12,19.25
2002-06-13,19.01
2002-06-14,18.93
2002-06-17,18.81
2002-06-18,18.58
2002-06-19,18.01
2002-06-20,17.94
2002-06-21,17.61
2002-06-24,17.55
2002-06-25,17.17
2002-06-26,17.05
2002-06-27,16.9
2002-06-28,16.85
2002-07-01,16.81
2002-07-02,16.74
2002-07-03,16.73
2002-07-04,16.73
2002-07-05,16.87
2002-07-08,16.95
2002-07-10,17.13
2002-07-11,17.49
2002-07-12,17.81
2002-07-15,17.79
2002-07-16,18.55
2002-07-17,18.92
2002-07-18,19.32
2002-07-19,20.12
2002-07-22,20.82
2002-07-23,21.34
2002-07-24,21.51
2002-07-25,21.89
2002-07-26,21.89
2002-07-29,22.19
2002-07-30,22.39
2002-07-31,22.51
2002-08-01,22.65
2002-08-02,22.72
2002-08-05,22.93
2002-08-06,22.96
2002-08-07,23.05
2002-08-08,23.02
2002-08-09,23.09
2002-08-12,23.16
2002-08-13,23.23
2002-08-14,23.31
2002-08-15,23.34
2002-08-16,23.33
2002-08-19,23.26
2002-08-20,23.12
2002-08-21,23.09
2002-08-22,22.87
2002-08-23,22.81
2002-08-26,22.72
2002-08-27,22.55
2002-08-28,22.66
2002-08-29,22.6
2002-08-30,22.46
2002-09-02,22.23
2002-09-03,22.18
2002-09-04,22.15
2002-09-05,22.07
2002-09-06,22.18
2002-09-09,22.48
2002-09-10,22.79
2002-09-11,23.27
2002-09-12,23.71
2002-09-13,23.74
2002-09-16,23.97
2002-09-17,24.29
2002-09-18,24.56
2002-09-19,25.0
2002-09-20,25.05
2002-09-23,25.97
2002-09-24,26.55
2002-09-25,27.05
2002-09-26,27.81
2002-09-27,27.94
2002-09-30,28.58
2002-10-01,29.12
2002-10-02,29.43
2002-10-03,29.7
2002-10-04,29.85
2002-10-07,30.22
2002-10-08,30.75
2002-10-09,31.05
2002-10-10,31.24
2002-10-11,31.63
2002-10-14,31.95
2002-10-15,33.5
2002-10-16,33.93
2002-10-17,34.68
2002-10-18,36.11
2002-10-21,37.27
2002-10-22,38.17
2002-10-23,38.48
2002-10-24,38.78
2002-10-25,39.07
2002-10-28,39.32
2002-10-29,39.55
2002-10-30,40.02
2002-10-31,40.42
2002-11-01,40.45
2002-11-04,40.45
2002-11-06,40.41
2002-11-07,40.47
2002-11-08,40.39
2002-11-11,40.3
2002-11-12,40.08
2002-11-13,40.11
2002-11-14,39.88
2002-11-18,39.72
2002-11-19,39.69
2002-11-20,39.82
2002-11-21,39.88
2002-11-22,39.93
2002-11-25,39.83
2002-11-26,39.74
2002-11-27,39.78
2002-11-28,39.8
2002-11-29,39.96
2002-12-02,39.72
2002-12-03,39.69
2002-12-04,39.6
2002-12-05,39.59
2002-12-06,39.56
2002-12-09,39.62
2002-12-10,39.57
2002-12-11,39.62
2002-12-12,39.63
2002-12-13,39.69
2002-12-16,39.78
2002-12-17,39.81
2002-12-18,39.91
2002-12-19,40.0
2002-12-20,39.98
2002-12-23,40.06
2002-12-26,40.18
2002-12-27,40.23
2002-12-30,40.28
2003-01-02,40.49
2003-01-03,40.68
2003-01-06,40.71
2003-01-07,41.12
2003-01-08,41.22
2003-01-09,41.32
2003-01-10,41.33
2003-01-13,41.62
2003-01-14,41.68
2003-01-15,41.86
2003-01-16,41.84
2003-01-17,41.86
2003-01-20,41.91
2003-01-21,42.0
2003-01-22,42.05
2003-01-23,42.53
2003-01-24,42.46
2003-01-27,42.59
2003-01-28,42.7
2003-01-29,43.14
2003-01-30,43.4
2003-01-31,43.68
2003-02-03,44.19
2003-02-04,44.54
2003-02-05,44.82
2003-02-06,44.86
2003-02-07,44.91
2003-02-10,44.91
2003-02-11,45.18
2003-02-12,45.05
2003-02-13,45.08
2003-02-14,45.41
2003-02-17,45.35
2003-02-18,45.43
2003-02-19,45.5
2003-02-20,45.56
2003-02-21,45.5
2003-02-24,45.49
2003-02-25,45.51
2003-02-26,45.49
2003-02-27,45.41
2003-02-28,45.32
2003-03-05,45.25
2003-03-06,45.26
2003-03-07,45.26
2003-03-10,45.03
2003-03-11,45.18
2003-03-12,45.04
2003-03-13,45.03
2003-03-14,44.85
2003-03-17,44.55
2003-03-18,44.51
2003-03-19,44.44
2003-03-20,44.33
2003-03-21,44.32
2003-03-24,43.79
2003-03-25,42.86
2003-03-26,42.49
2003-03-27,41.32
2003-03-28,40.57
2003-03-31,39.89
2003-04-01,39.66
2003-04-02,39.42
2003-04-03,39.41
2003-04-04,39.41
2003-04-07,39.39
2003-04-08,39.6
2003-04-09,39.8
2003-04-10,39.84
2003-04-11,39.86
2003-04-14,39.96
2003-04-15,39.98
2003-04-16,40.13
2003-04-17,40.08
2003-04-22,39.76
2003-04-23,39.36
2003-04-24,39.23
2003-04-25,38.23
2003-04-28,38.09
2003-04-29,37.24
2003-04-30,36.44
2003-05-05,35.1
2003-05-06,34.66
2003-05-07,34.33
2003-05-08,34.18
2003-05-09,33.87
2003-05-12,33.01
2003-05-13,32.25
2003-05-14,31.53
2003-05-15,30.73
2003-05-16,30.09
2003-05-19,30.03
2003-05-20,29.65
2003-05-21,29.26
2003-05-22,28.81
2003-05-23,28.35
2003-05-26,27.83
2003-05-27,27.76
2003-05-28,27.48
2003-05-29,27.23
2003-05-30,27.04
2003-06-02,26.74
2003-06-03,26.66
2003-06-04,26.63
2003-06-05,26.55
2003-06-06,26.43
2003-06-09,26.41
2003-06-10,26.2
2003-06-11,25.94
2003-06-12,25.71
2003-06-13,25.64
2003-06-16,25.58
2003-06-17,24.95
2003-06-18,24.43
2003-06-20,24.08
2003-06-23,23.72
2003-06-24,23.28
2003-06-25,23.21
2003-06-26,23.25
2003-06-27,23.31
2003-06-30,23.12
2003-07-01,23.22
2003-07-02,23.15
2003-07-03,23.07
2003-07-04,23.05
2003-07-07,23.0
2003-07-08,23.07
2003-07-10,23.11
2003-07-11,23.09
2003-07-14,23.09
2003-07-15,23.08
2003-07-16,23.1
2003-07-17,23.15
2003-07-18,23.38
2003-07-21,23.67
2003-07-22,23.82
2003-07-23,24.06
2003-07-24,24.52
2003-07-25,24.86
2003-07-28,25.41
2003-07-29,25.8
2003-07-30,26.49
2003-07-31,27.24
2003-08-01,27.83
2003-08-04,28.39
2003-08-05,29.01
2003-08-06,29.66
2003-08-07,30.16
2003-08-08,30.19
2003-08-11,30.14
2003-08-12,30.23
2003-08-13,30.22
2003-08-14,30.33
2003-08-15,29.93
2003-08-18,29.76
2003-08-19,30.01
2003-08-20,29.98
2003-08-21,29.8
2003-08-22,29.78
2003-08-25,29.1
2003-08-26,28.68
2003-08-27,28.49
2003-08-28,28.28
2003-08-29,27.64
2003-09-01,27.51
2003-09-02,27.36
2003-09-03,27.08
2003-09-04,26.62
2003-09-05,25.89
2003-09-08,25.95
2003-09-09,25.46
2003-09-10,25.31
2003-09-11,24.71
2003-09-12,24.5
2003-09-15,24.41
2003-09-16,24.33
2003-09-17,24.28
2003-09-18,23.89
2003-09-19,23.12
2003-09-22,22.87
2003-09-23,22.4
2003-09-24,22.28
2003-09-25,22.16
2003-09-26,21.78
2003-09-29,21.64
2003-09-30,21.35
2003-10-01,21.29
2003-10-02,21.41
2003-10-03,21.5
2003-10-06,21.8
2003-10-07,21.89
2003-10-08,21.99
2003-10-09,21.91
2003-10-10,21.82
2003-10-13,21.76
2003-10-14,21.71
2003-10-15,21.63
2003-10-16,21.59
2003-10-17,21.34
2003-10-20,21.1
2003-10-21,21.02
2003-10-22,20.96
2003-10-23,20.73
2003-10-24,20.47
2003-10-27,20.44
2003-10-28,20.06
2003-10-29,20.05
2003-10-30,20.02
2003-10-31,19.74
2003-11-03,19.72
2003-11-04,19.72
2003-11-05,19.68
2003-11-06,19.79
