DATE,BR_SUGAR_PRODUCTION
2008-02-16,0.0
2008-03-01,0.0
2008-03-16,0.0
2008-04-01,42.0
2008-04-16,142.0
2008-05-01,490.0
2008-05-16,984.0
2008-06-01,1544.0
2008-06-16,1509.0
2008-07-01,1773.0
2008-07-16,1967.0
2008-08-01,2277.0
2008-08-16,1699.0
2008-09-01,2388.0
2008-09-16,2155.0
2008-10-01,2093.0
2008-10-16,1624.0
2008-11-01,1917.0
2008-11-16,1234.0
2008-12-01,1507.0
2008-12-16,984.0
2009-01-01,240.0
2009-01-16,49.0
2009-02-01,41.0
2009-02-16,24.0
2009-03-01,16.0
2009-03-16,39.0
2009-04-01,11.0
2009-04-16,426.0
2009-05-01,1146.0
2009-05-16,1478.0
2009-06-01,1887.0
2009-06-16,1757.0
2009-07-01,1913.0
2009-07-16,1989.0
2009-08-01,2148.0
2009-08-16,2539.0
2009-09-01,1842.0
2009-09-16,1786.0
2009-10-01,1766.0
2009-10-16,2156.0
2009-11-01,1669.0
2009-11-16,1540.0
2009-12-01,1247.0
2009-12-16,514.0
2010-01-01,357.0
2010-01-16,71.0
2010-02-01,48.0
2010-02-16,67.0
2010-03-01,46.0
2010-03-16,99.0
2010-04-01,220.0
2010-04-16,816.0
2010-05-01,1527.0
2010-05-16,1867.0
2010-06-01,2227.0
2010-06-16,2304.0
2010-07-01,2550.0
2010-07-16,2511.0
2010-08-01,2773.0
2010-08-16,2746.0
2010-09-01,2959.0
2010-09-16,2649.0
2010-10-01,1970.0
2010-10-16,1501.0
2010-11-01,1924.0
2010-11-16,1464.0
2010-12-01,1032.0
2010-12-16,367.0
2011-01-01,70.0
2011-01-16,8.0
2011-02-01,2.0
2011-02-16,4.0
2011-03-01,3.0
2011-03-16,7.0
2011-04-01,62.0
2011-04-16,158.0
2011-05-01,604.0
2011-05-16,1556.0
2011-06-01,2410.0
2011-06-16,2020.0
2011-07-01,2598.0
2011-07-16,2585.0
2011-08-01,2826.0
2011-08-16,2659.0
2011-09-01,2970.0
2011-09-16,2763.0
2011-10-01,2845.0
2011-10-16,1781.0
2011-11-01,1476.0
2011-11-16,1272.0
2011-12-01,504.0
2011-12-16,143.0
2012-01-01,35.0
2012-01-16,12.0
2012-02-01,16.0
2012-02-16,9.0
2012-03-01,7.0
2012-03-16,4.0
2012-04-01,4.0
2012-04-16,142.0
2012-05-01,393.0
2012-05-16,1024.0
2012-06-01,1960.0
2012-06-16,1366.0
2012-07-01,1795.0
2012-07-16,2635.0
2012-08-01,2971.0
2012-08-16,3028.0
