CO_ANO,CO_MES,SH4,CO_PAIS,SG_UF_MUN,CO_MUN,KG_LIQUIDO,VL_FOB,Data,NO_PAIS,NOME_MUNICIPIO
1997,1,3507,399,MG,3118601,20,6144,1997-01-01,Japão,Contagem
1997,1,3507,249,MG,3137601,2,567,1997-01-01,Estados Unidos,Lagoa Santa
1997,1,3507,275,MG,3137601,0,4475,1997-01-01,França,Lagoa Santa
1997,1,3507,63,MG,3170206,2002,9750,1997-01-01,Argentina,Uberlândia
1997,1,3507,249,RJ,3302403,120,4089,1997-01-01,Estados Unidos,Macaé
1997,1,3507,249,RJ,3304557,125,3646,1997-01-01,Estados Unidos,Rio de Janeiro
1997,1,3507,767,RJ,3304557,3,11625,1997-01-01,Suíça,Rio de Janeiro
1997,1,3507,399,RJ,3304557,60,3300,1997-01-01,Japão,Rio de Janeiro
1997,1,3507,23,RJ,3304557,1725,15008,1997-01-01,Alemanha,Rio de Janeiro
1997,1,3507,386,RJ,3304557,3,11625,1997-01-01,Itália,Rio de Janeiro
1997,1,3507,232,SP,3401905,100,2595,1997-01-01,Dinamarca,Amparo
1997,1,3507,399,SP,3403208,500,43685,1997-01-01,Japão,Araraquara
1997,1,3507,249,SP,3405708,26,832,1997-01-01,Estados Unidos,Barueri
1997,1,3507,232,SP,3413009,4500,58000,1997-01-01,Dinamarca,Cotia
1997,1,3507,271,SP,3418800,16000,51040,1997-01-01,Finlândia,Guarulhos
1997,1,3507,87,SP,3420509,18000,243803,1997-01-01,Bélgica,Indaiatuba
1997,1,3507,245,SP,3424402,9000,61650,1997-01-01,Espanha,Jacareí
1997,1,3507,249,SP,3430706,6668,16347,1997-01-01,Estados Unidos,Mogi Guaçu
1997,1,3507,386,SP,3433403,50,112,1997-01-01,Itália,Nova Odessa
1997,1,3507,23,SP,3448807,0,9442,1997-01-01,Alemanha,São Caetano do Sul
1997,1,3507,275,SP,3448807,1,3187,1997-01-01,França,São Caetano do Sul
1997,1,3507,232,SP,3450308,520,21493,1997-01-01,Dinamarca,São Paulo
1997,1,3507,375,SP,3450308,128,5453,1997-01-01,Irlanda,São Paulo
1997,1,3507,275,SP,3450308,300,8100,1997-01-01,França,São Paulo
1997,1,3507,271,SP,3450308,129000,1741500,1997-01-01,Finlândia,São Paulo
