DATE,BR_TTEN3_PRICE
2021-07-09,12.25
2021-07-12,12.1
2021-07-13,12.15
2021-07-14,12.0
2021-07-15,11.93
2021-07-16,11.85
2021-07-19,11.5
2021-07-20,11.8
2021-07-21,11.81
2021-07-22,11.79
2021-07-23,11.6
2021-07-26,11.4
2021-07-27,11.15
2021-07-28,11.27
2021-07-29,11.4
2021-07-30,11.3
2021-08-02,11.19
2021-08-03,11.0
2021-08-04,11.0
2021-08-05,11.0
2021-08-06,11.3
2021-08-09,11.97
2021-08-10,11.7
2021-08-11,11.5
2021-08-12,11.29
2021-08-13,11.67
2021-08-16,11.0
2021-08-17,10.44
2021-08-18,10.18
2021-08-19,10.2
2021-08-20,10.45
2021-08-23,10.15
2021-08-24,10.25
2021-08-25,10.29
2021-08-26,10.45
2021-08-27,10.3
2021-08-30,10.15
2021-08-31,9.92
2021-09-01,9.95
2021-09-02,9.25
2021-09-03,9.69
2021-09-06,10.26
2021-09-08,9.74
2021-09-09,9.9
2021-09-10,9.79
2021-09-13,9.95
2021-09-14,10.43
2021-09-15,10.39
2021-09-16,10.26
2021-09-17,10.06
2021-09-20,9.7
2021-09-21,9.72
2021-09-22,9.59
2021-09-23,9.8
2021-09-24,9.69
2021-09-27,10.15
2021-09-28,9.92
2021-09-29,9.72
2021-09-30,9.5
2021-10-01,9.97
2021-10-04,9.19
2021-10-05,8.8
2021-10-06,9.25
2021-10-07,9.0
2021-10-08,8.97
2021-10-11,8.68
2021-10-13,9.05
2021-10-14,8.88
2021-10-15,9.1
2021-10-18,9.95
2021-10-19,9.71
2021-10-20,9.59
2021-10-21,9.19
2021-10-22,8.75
2021-10-25,9.48
2021-10-26,9.13
2021-10-27,8.75
2021-10-28,8.75
2021-10-29,8.74
2021-11-01,9.0
2021-11-03,9.3
2021-11-04,9.53
2021-11-05,9.33
2021-11-08,9.56
2021-11-09,9.6
2021-11-10,9.56
2021-11-11,9.89
2021-11-12,9.86
2021-11-16,9.57
2021-11-17,8.9
2021-11-18,8.85
2021-11-19,8.86
2021-11-22,8.44
2021-11-23,8.1
2021-11-24,8.44
2021-11-25,8.6
2021-11-26,8.34
