Year,Quarter,Av_Calf_Price_Arroba,Av_Calf_Price_PV_Arroba,Av_Cattle_Price,Av_Cattle_Price_PV_Arroba,Av_Cattle_to_Calf,Month,Date,Cattle_Slaughter_Heads,Female_Calves_Slaughter_Heads,Male_Calves_Slaughter_Heads,Cows_Slaughter_heads,Total_Slaughter_Heads,Adult_Slaughter_Heads,Calves_Slaughter_Heads,Percentage_of_Females_Slaughtered,Percentage_of_Calves_Slaughtered,Quarter_Text
2000,1,20.843892662700423,93.68023911170997,37.92857142857143,170.46463743378618,1.821795635998038,3,2000-03-01,2155226.0,229510.0,475581.0,1229132.0,4089449.0,3384358.0,705091.0,0.36318025457117714,0.1724171153619962,2000Q1
2000,2,22.168779811918508,99.07719081168322,37.60983870967742,168.08561615798436,1.6980991610080527,6,2000-06-01,2334263.0,237146.0,508437.0,1181882.0,4261728.0,3516145.0,745583.0,0.3361300515194908,0.1749485185352045,2000Q2
2000,3,22.70194472400333,98.76638708450095,40.93111111111111,178.0626340035877,1.8058831898329468,9,2000-09-01,2518947.0,219825.0,573178.0,1013772.0,4325722.0,3532719.0,793003.0,0.2869664980430088,0.1833226915645527,2000Q3
2000,4,23.422391631624055,100.75361730750299,41.57216666666667,178.85322298659128,1.7773883902071144,12,2000-12-01,2398418.0,254382.0,722025.0,1014191.0,4389016.0,3412609.0,976407.0,0.2971893351977915,0.2224660379456352,2000Q4
2001,1,23.453772926027238,99.35909091256569,39.85316666666667,168.84883817643887,1.7017499551222144,3,2001-03-01,2296233.0,255467.0,636460.0,1123583.0,4311743.0,3419816.0,891927.0,0.3285507173485357,0.20685996359244974,2001Q1
2001,2,26.451255974721384,110.48095480275627,41.19435483870968,172.08052316828397,1.5603603555704593,6,2001-06-01,2480983.0,261201.0,721192.0,1041484.0,4504860.0,3522467.0,982393.0,0.2956689161317906,0.21807403559711067,2001Q2
2001,3,27.107830936970775,110.59433479161127,42.15206349206349,171.9713555517569,1.5551706277703063,9,2001-09-01,2825114.0,229167.0,751667.0,945709.0,4751657.0,3770823.0,980834.0,0.25079644417147134,0.20641936065671407,2001Q3
2001,4,28.84030737686826,115.44547693897374,46.189,184.91542064491148,1.6024509431632472,12,2001-12-01,2758383.0,241512.0,769694.0,1075029.0,4844618.0,3833412.0,1011206.0,0.2804365927794873,0.20872770567256282,2001Q4
2002,1,29.22943604873907,115.09031379488991,45.342,178.53936401246128,1.5514959766961676,3,2002-03-01,2601879.0,229592.0,616110.0,1111348.0,4558929.0,3713227.0,845702.0,0.2992943873347899,0.18550453406929565,2002Q1
2002,2,28.797877744642783,111.5996724593757,42.36380952380952,164.16294049697854,1.471788418516757,6,2002-06-01,2887653.0,215131.0,612779.0,1096865.0,4812428.0,3984518.0,827910.0,0.2752817279279451,0.17203582058786127,2002Q2
2002,3,28.386928649048933,107.59735388316311,47.671076923076924,180.65607373926773,1.6781393130426903,9,2002-09-01,2992927.0,221320.0,673018.0,1141292.0,5028557.0,4134219.0,894338.0,0.27605987974996005,0.1778518171316344,2002Q3
2002,4,29.998788523294103,108.66196858019777,56.190000000000005,203.5034331338983,1.872634606148109,12,2002-12-01,3153477.0,228592.0,696284.0,1419635.0,5497988.0,4573112.0,924876.0,0.3104308400931357,0.16822081095848154,2002Q4
2003,1,31.45888101643286,107.1837352316477,56.790983606557376,193.52548383122448,1.8056542675733296,3,2003-03-01,2866833.0,236791.0,508733.0,1690482.0,5302839.0,4557315.0,745524.0,0.37093815108238076,0.1405895973835902,2003Q1
