DATE,CN_BEEF_IMPORT_VALUE
2016-01-31,271.33
2016-02-29,173.38
2016-03-31,200.61
2016-04-30,199.69
2016-05-31,215.22
2016-06-30,239.92
2016-07-31,218.78
2016-08-31,222.61
2016-09-30,161.37
2016-10-31,154.26
2016-11-30,199.89
2016-12-31,258.5
2017-01-31,210.14
2017-02-28,226.16
2017-03-31,262.53
2017-04-30,247.13
2017-05-31,235.86
2017-06-30,241.33
2017-07-31,281.33
2017-08-31,282.48
2017-09-30,206.2
2017-10-31,229.37
2017-11-30,294.6
2017-12-31,348.02
2018-01-31,357.44
2018-02-28,272.92
2018-03-31,352.14
2018-04-30,336.95
2018-05-31,402.24
2018-06-30,393.09
2018-07-31,391.22
2018-08-31,466.57
2018-09-30,462.01
2018-10-31,424.02
2018-11-30,467.8
2018-12-31,473.57
2019-01-31,531.9
2019-02-28,418.44
2019-03-31,474.19
2019-04-30,604.7
2019-05-31,588.24
2019-06-30,638.69
2019-07-31,739.48
2019-08-31,653.91
2019-09-30,785.15
2019-10-31,773.01
2019-11-30,986.85
2019-12-31,1033.48
2020-01-31,985.77
2020-02-29,696.96
2020-03-31,1163.89
2020-04-30,840.32
2020-05-31,681.36
2020-06-30,830.21
2020-07-31,957.49
2020-08-31,840.95
2020-09-30,777.09
2020-10-31,720.23
2020-11-30,739.02
2020-12-31,946.08
2021-01-31,1105.28
2021-02-28,753.52
2021-03-31,1019.35
2021-04-30,902.34
2021-05-31,836.59
2021-06-30,818.74
2021-07-31,1013.58
2021-08-31,1089.32
2021-09-30,1322.61
2021-10-31,1230.12
2021-11-30,1089.12
2021-12-31,1308.45
2022-01-31,953.24
2022-02-28,1004.75
2022-03-31,1288.11
2022-04-30,1255.92
2022-05-31,1501.0
2022-06-30,1575.49
2022-07-31,1918.63
2022-08-31,1886.38
2022-09-30,1683.29
2022-10-31,1658.05
2022-11-30,1606.09
2022-12-31,1429.68
2023-01-31,1251.0
2023-02-28,1029.31
2023-03-31,1089.64
2023-04-30,967.49
2023-05-31,990.52
2023-06-30,1289.47
2023-07-31,1595.9
2023-08-31,1390.41
2023-09-30,1207.07
2023-10-31,1066.9
2023-11-30,1175.34
2023-12-31,1167.05
2024-01-31,1437.79
2024-02-29,1073.98
2024-03-31,1169.85
2024-04-30,1094.6
2024-05-31,1114.61
2024-06-30,984.66
2024-07-31,1021.01
2024-08-31,1109.48
2024-09-30,1029.45
2024-10-31,1126.56
2024-11-30,1232.6
2024-12-31,1296.89
2025-01-31,1423.99
2025-02-28,998.61
