DATE,CN_CHICKEN_IMPORT_VALUE
2009-01-31,56219.0
2009-02-28,78254.0
2009-03-31,65811.0
2009-04-30,59370.0
2009-05-31,62812.0
2009-06-30,79458.0
2009-07-31,93177.0
2009-08-31,92300.0
2009-09-30,83512.0
2009-10-31,79756.0
2009-11-30,79412.0
2009-12-31,116325.0
2010-01-31,82414.0
2010-02-28,59909.0
2010-03-31,48082.0
2010-04-30,62972.0
2010-05-31,87426.0
2010-06-30,113096.0
2010-07-31,86684.0
2010-08-31,47344.0
2010-09-30,94085.0
2010-10-31,76365.0
2010-11-30,55837.0
2010-12-31,104315.0
2011-01-31,100663.0
2011-02-28,69722.0
2011-03-31,103985.0
2011-04-30,51954.0
2011-05-31,52453.0
2011-06-30,48207.0
2011-07-31,54695.0
2011-08-31,60352.0
2011-09-30,68604.0
2011-10-31,56707.0
2011-11-30,65553.0
2011-12-31,70800.0
2012-01-31,35005.0
2012-02-29,69858.0
2012-03-31,64492.0
2012-04-30,53455.0
2012-05-31,70542.0
2012-06-30,58647.0
2012-07-31,71656.0
2012-08-31,81905.0
2012-09-30,100162.0
2012-10-31,69576.0
2012-11-30,103367.0
2012-12-31,91133.0
2013-01-31,100471.0
2013-02-28,57056.0
2013-03-31,104748.0
2013-04-30,87802.0
2013-05-31,81144.0
2013-06-30,65547.0
2013-07-31,72004.0
2013-08-31,79723.0
2013-09-30,70544.0
2013-10-31,65562.0
2013-11-30,62435.0
2013-12-31,80055.0
2014-01-31,64349.0
2014-02-28,51142.0
2014-03-31,61808.0
2014-04-30,57753.0
2014-05-31,74427.0
2014-06-30,65490.0
2014-07-31,67201.0
2014-08-31,72129.0
2014-09-30,79742.0
2014-10-31,70339.0
2014-11-30,71830.0
2014-12-31,82130.0
2015-01-31,78216.0
2015-02-28,57498.0
2015-03-31,74863.0
2015-04-30,71967.0
2015-05-31,65984.0
2015-06-30,84085.0
2015-07-31,86269.0
2015-08-31,82621.0
2015-09-30,84662.0
2015-10-31,61024.0
2015-11-30,52982.0
2015-12-31,98540.0
2016-01-31,85486.0
2016-02-29,58622.0
2016-03-31,79707.0
2016-04-30,100738.0
2016-05-31,95755.0
2016-06-30,136573.0
2016-07-31,118401.0
2016-08-31,134572.0
2016-09-30,115030.0
2016-10-31,102492.0
2016-11-30,98152.0
2016-12-31,103337.0
2017-01-31,64722.0
2017-02-28,85368.0
2017-03-31,77765.0
2017-04-30,87611.0
2017-05-31,81252.0
2017-06-30,70365.0
2017-07-31,90103.0
2017-08-31,101213.0
2017-09-30,90974.0
2017-10-31,80195.0
2017-11-30,97296.0
2017-12-31,100161.0
2018-01-31,69318.0
2018-02-28,74003.0
2018-03-31,106900.0
2018-04-30,91458.0
2018-05-31,114470.0
2018-06-30,77315.0
2018-07-31,107101.0
2018-08-31,101104.0
2018-09-30,100234.0
2018-10-31,91052.0
2018-11-30,105064.0
2018-12-31,97228.0
2019-01-31,119345.0
2019-02-28,61835.0
2019-03-31,153909.0
2019-04-30,108085.0
2019-05-31,105064.0
2019-06-30,177318.0
2019-07-31,171037.0
2019-08-31,177454.0
2019-09-30,172446.0
2019-10-31,178947.0
2019-11-30,206025.0
2019-12-31,237842.0
2020-01-31,217491.0
2020-02-29,208839.0
2020-03-31,326254.0
2020-04-30,280833.0
2020-05-31,262691.0
2020-06-30,291909.0
2020-07-31,383724.0
2020-08-31,323477.0
2020-09-30,286985.0
2020-10-31,267474.0
2020-11-30,281027.0
2020-12-31,316702.0
2021-01-31,275236.0
2021-02-28,193429.0
2021-03-31,285738.0
2021-04-30,270875.0
2021-05-31,231946.0
2021-06-30,196740.0
2021-07-31,359897.0
2021-08-31,338767.0
2021-09-30,293980.0
2021-10-31,304825.0
2021-11-30,368264.0
2021-12-31,349056.0
2022-01-31,313152.0
2022-02-28,252542.0
2022-03-31,286469.0
2022-04-30,313827.0
2022-05-31,286586.0
2022-06-30,356691.0
2022-07-31,389801.0
2022-08-31,425175.0
2022-09-30,421116.0
2022-10-31,351585.0
2022-11-30,330525.0
2022-12-31,383843.0
2023-01-31,320716.0
2023-02-28,365020.0
2023-03-31,406772.0
2023-04-30,369658.0
2023-05-31,361878.0
2023-06-30,444044.0
2023-07-31,376594.0
2023-08-31,337081.0
2023-09-30,308382.0
2023-10-31,295614.0
2023-11-30,272428.0
2023-12-31,273449.0
2024-01-31,228430.0
2024-02-29,168921.0
2024-03-31,244486.0
2024-04-30,216816.0
2024-05-31,264299.0
2024-06-30,236985.0
2024-07-31,277526.0
2024-08-31,284991.0
2024-09-30,215848.0
2024-10-31,213869.0
2024-11-30,274735.0
2024-12-31,268052.0
2025-01-31,217877.0
2025-02-28,224104.0
