DATE,CN_PIG_HERD
2011-01-31,44510.0
2011-02-28,44410.0
2011-03-31,44750.0
2011-04-30,44920.0
2011-05-31,45280.0
2011-06-30,45640.0
2011-07-31,46142.0
2011-08-31,46557.0
2011-09-30,47158.0
2011-10-31,47516.0
2011-11-30,47625.0
2011-12-31,47334.0
2012-01-31,46467.0
2012-02-29,45846.0
2012-03-31,46167.0
2012-04-30,46306.0
2012-05-31,46120.0
2012-06-30,47234.0
2012-07-31,47281.0
2012-08-31,46904.0
2012-09-30,46341.0
2012-10-31,47281.0
2012-11-30,46904.0
2012-12-31,46341.0
2013-01-31,44857.56
2013-02-28,44005.27
2013-03-31,44401.32
2013-04-30,44712.13
2013-05-31,44801.55
2013-06-30,45249.57
2013-07-31,45792.56
2013-08-31,46205.0
2013-09-30,46528.0
2013-10-31,46807.3
2013-11-30,46900.91
2013-12-31,45775.29
2014-01-31,43852.73
2014-02-28,43458.05
2014-03-31,43458.05
2014-04-30,42893.1
2014-05-31,42850.2
2014-06-30,42935.9
2014-07-31,43064.71
2014-08-31,44871.0
2014-09-30,45230.0
2014-10-31,45140.0
2014-11-30,44733.0
2014-12-31,43705.0
2015-01-31,42044.0
2015-02-28,40404.0
2015-03-31,40121.0
2015-04-30,40113.0
2015-05-31,40033.0
2015-06-30,39872.88
2015-07-31,39753.26
2015-08-31,39852.64
2015-09-30,40393.3
2015-10-31,40514.48
2015-11-30,40230.88
2015-12-31,39788.34
2016-01-31,38714.05
2016-02-29,38017.2
2016-03-31,38359.36
2016-04-30,38589.51
2016-05-31,38743.87
2016-06-30,39015.08
2016-07-31,38976.06
2016-08-31,39054.01
2016-09-30,39093.07
2016-10-31,39093.07
2016-11-30,38858.51
2016-12-31,38081.34
2017-01-31,36976.98
2017-02-28,36903.03
2017-03-31,37272.06
2017-04-30,37421.14
2017-05-31,36859.83
2017-06-30,36786.11
2017-07-31,36528.61
2017-08-31,36345.96
2017-09-30,36273.27
2017-10-31,36200.72
2017-11-30,36164.52
2017-12-31,35405.07
2018-01-31,34980.0
2018-02-28,34665.0
2018-03-31,35151.0
2018-04-30,34869.0
2018-05-31,34207.0
2018-06-30,33796.0
2018-07-31,33526.0
2018-08-31,33426.0
2018-09-30,33693.0
2018-10-31,33727.0
2018-11-30,33491.0
2018-12-31,32251.0
2019-01-31,30413.0
2019-02-28,28771.0
2019-03-31,28426.0
2019-04-30,27601.0
2019-05-31,26801.0
2019-06-30,25675.0
2019-07-31,23261.5
2019-08-31,20981.9
2019-09-30,20352.5
2019-10-31,20230.3
2019-11-30,20635.0
2019-12-31,20903.2
2020-01-31,21154.0
2020-02-29,21746.4
2020-03-31,22529.2
2020-04-30,23362.8
2020-05-31,23666.5
2020-06-30,23832.0
2020-07-31,24975.9
2020-08-31,26149.77
2020-09-30,27352.7
2020-10-31,28501.5
2020-11-30,29727.1
2020-12-31,32520.0
2021-01-31,34341.1
2021-02-28,35440.0
2021-03-31,36435.6
2021-04-30,37446.0
2021-05-31,39914.64
2021-06-30,40537.31
2021-07-31,40861.61
2021-08-31,41311.08
2021-09-30,41187.15
2021-10-31,41269.53
2021-11-30,41145.72
2021-12-31,42215.51
2022-01-31,42173.29
2022-02-28,42088.94
2022-03-31,41668.05
2022-04-30,41584.72
2022-05-31,41680.36
2022-06-30,42218.04
2022-07-31,42272.92
2022-08-31,42357.47
2022-09-30,42709.04
2022-10-31,42879.87
2022-11-30,42751.0
2022-12-31,43563.51
2023-01-31,43306.48
2023-02-28,42457.67
2023-03-31,41485.39
2023-04-30,41597.4
2023-05-31,41688.92
2023-06-30,41893.19
2023-07-31,42152.93
2023-08-31,42431.14
2023-09-30,42575.41
2023-10-31,42341.24
2023-11-30,42002.51
2023-12-31,41796.7
2024-01-31,40300.38
2024-02-29,39587.06
2024-03-31,39321.83
2024-04-30,39219.59
2024-05-31,39431.38
2024-06-30,39979.47
2024-07-31,40351.28
2024-08-31,40609.53
2024-09-30,41096.85
2024-10-31,41273.56
2024-11-30,41191.01
2024-12-31,41145.7
2025-01-31,41063.41
2025-02-28,40878.63
