DATE,CN_PIG_SLAUGHTER
2011-01-31,2468.9
2011-02-28,1317.0
2011-03-31,1694.0
2011-04-30,1760.2
2011-05-31,1752.8
2011-06-30,1634.9
2011-07-31,1601.3
2011-08-31,1676.8
2011-09-30,1726.8
2011-10-31,1754.5
2011-11-30,1842.7
2011-12-31,2232.0
2012-01-31,2014.2
2012-02-29,1473.3
2012-03-31,1783.1
2012-04-30,1813.9
2012-05-31,1827.1
2012-06-30,1800.5
2012-07-31,1757.5
2012-08-31,1844.8
2012-09-30,1917.3
2012-10-31,1883.9
2012-11-30,1956.8
2012-12-31,2212.6
2013-01-31,2233.8
2013-02-28,1489.2
2013-03-31,1774.8
2013-04-30,1962.3
2013-05-31,2039.8
2013-06-30,1905.2
2013-07-31,1874.7
2013-08-31,1876.3
2013-09-30,1935.7
2013-10-31,1935.5
2013-11-30,1988.7
2013-12-31,2310.6
2014-01-31,2387.0
2014-02-28,1392.3
2014-03-31,2048.7
2014-04-30,2187.63
2014-05-31,1991.15
2014-06-30,1866.9
2014-07-31,1824.7
2014-08-31,1852.79
2014-09-30,1872.37
2014-10-31,1909.87
2014-11-30,1971.54
2014-12-31,2312.51
2015-01-31,2198.37
2015-02-28,1809.29
2015-03-31,1658.33
2015-04-30,1735.06
2015-05-31,1695.06
2015-06-30,1589.91
2015-07-31,1491.95
2015-08-31,1500.26
2015-09-30,1703.22
2015-10-31,1817.34
2015-11-30,1891.5
2015-12-31,2293.84
2016-01-31,2337.43
2016-02-29,1676.21
2016-03-31,1511.39
2016-04-30,1556.82
2016-05-31,1495.46
2016-06-30,1437.11
2016-07-31,1510.18
2016-08-31,1659.7
2016-09-30,1710.78
2016-10-31,1791.47
2016-11-30,1912.94
2016-12-31,2271.23
2017-01-31,2075.44
2017-02-28,1274.45
2017-03-31,1719.18
2017-04-30,1736.76
2017-05-31,1851.21
2017-06-30,1774.96
2017-07-31,1807.0
2017-08-31,1826.35
2017-09-30,1871.13
2017-10-31,1916.38
2017-11-30,2006.43
2017-12-31,2324.54
2018-01-31,2289.21
2018-02-28,1748.39
2018-03-31,1917.0
2018-04-30,2116.9
2018-05-31,1987.0
2018-06-30,1957.83
2018-07-31,1951.34
2018-08-31,1975.0
2018-09-30,1923.0
2018-10-31,1950.95
2018-11-30,2006.51
2018-12-31,2288.35
2019-01-31,2343.01
2019-02-28,1292.88
2019-03-31,1855.72
2019-04-30,1840.63
2019-05-31,1915.35
2019-06-30,1758.24
2019-07-31,1730.34
2019-08-31,1463.36
2019-09-30,1233.72
2019-10-31,1053.1
2019-11-30,1158.41
2019-12-31,1320.59
2020-01-31,1509.34
2020-02-29,832.09
2020-03-31,1170.3
2020-04-30,1279.0
2020-05-31,1385.2
2020-06-30,1327.1
2020-07-31,1171.21
2020-08-31,1178.92
2020-09-30,1285.2
2020-10-31,1433.27
2020-11-30,1626.24
2020-12-31,2060.35
2021-01-31,1951.71
2021-02-28,1424.0
2021-03-31,1508.7
2021-04-30,1804.53
2021-05-31,1995.65
2021-06-30,2118.38
2021-07-31,2195.0
2021-08-31,2328.56
2021-09-30,2508.6
2021-10-31,3023.0
2021-11-30,2649.0
2021-12-31,2896.0
2022-01-31,2847.42
2022-02-28,1568.0
2022-03-31,2590.0
2022-04-30,2738.0
2022-05-31,2530.0
2022-06-30,2413.0
2022-07-31,2119.0
2022-08-31,2166.63
2022-09-30,2108.7
2022-10-31,2097.0
2022-11-30,2269.0
2022-12-31,3090.0
2023-01-31,2897.0
2023-02-28,2260.0
2023-03-31,2669.0
2023-04-30,2863.0
2023-05-31,2807.0
2023-06-30,2647.0
2023-07-31,2684.0
2023-08-31,2645.0
2023-09-30,2775.0
2023-10-31,2867.0
2023-11-30,3280.0
2023-12-31,3978.0
2024-01-31,3725.0
2024-02-29,2104.0
2024-03-31,2545.0
2024-04-30,2563.0
2024-05-31,2666.0
2024-06-30,2431.0
2024-07-31,2428.0
2024-08-31,2422.0
2024-09-30,2533.5
2024-10-31,2873.0
2024-11-30,3190.0
2024-12-31,4162.0
2025-01-31,3816.0
2025-02-28,2177.0
