DATE,CN_POLYESTER_PRICE
2014-01-10,10437.5
2014-01-20,10333.3
2014-01-30,10214.3
2014-02-10,10200.0
2014-02-20,10075.0
2014-02-28,9650.0
2014-03-10,9408.3
2014-03-20,9400.0
2014-03-30,9450.0
2014-04-10,9600.0
2014-04-20,9645.8
2014-04-30,9628.1
2014-05-10,9405.0
2014-05-20,9285.7
2014-05-30,9381.3
2014-06-10,9825.0
2014-06-20,10306.3
2014-06-30,10583.3
2014-07-10,10546.9
2014-07-20,10220.8
2014-07-30,10266.7
2014-08-10,10195.8
2014-08-20,10312.5
2014-08-30,10400.0
2014-09-10,10414.3
2014-09-20,10096.4
2014-09-30,9692.9
2014-10-10,9250.0
2014-10-20,8750.0
2014-10-30,8777.8
2014-11-10,8650.0
2014-11-20,8687.5
2014-11-30,8883.3
2014-12-10,8568.8
2014-12-30,7668.8
2015-01-10,7385.7
2015-01-20,7035.7
2015-01-30,7300.0
2015-02-10,7407.1
2015-02-27,7450.0
2015-03-10,7532.1
2015-03-20,7387.5
2015-03-30,7332.1
2015-04-10,7521.4
2015-04-20,8075.0
2015-04-30,8725.0
2015-05-10,8700.0
2015-05-20,8478.1
2015-05-30,7914.3
2015-06-10,7700.0
2015-06-20,7728.6
2015-06-30,7650.0
2015-07-10,7700.0
2015-07-20,7687.5
2015-07-30,7550.0
2015-08-10,7420.0
2015-08-20,7500.0
2015-08-30,7478.6
2015-09-20,7441.7
2015-09-30,7242.9
2015-10-10,7175.0
2015-10-20,7171.4
2015-10-30,7056.3
2015-11-10,7096.4
2015-11-20,6921.4
2015-11-30,6804.2
2015-12-10,6750.0
2015-12-20,6583.3
2015-12-30,6610.0
2016-01-10,6610.0
2016-01-20,6650.0
2016-01-30,6650.0
2016-02-20,6690.0
2016-02-29,6830.0
2016-03-10,7412.5
2016-03-20,7741.7
2016-03-30,7643.8
2016-04-10,7400.0
2016-04-20,7356.3
2016-04-30,7517.9
2016-05-10,7470.8
2016-05-20,7331.3
2016-06-10,7216.7
2016-06-20,7250.0
2016-06-30,7318.8
2016-07-10,7466.7
2016-07-20,7543.8
2016-07-30,7728.6
2016-08-10,7693.8
2016-08-20,7678.6
2016-08-30,7750.0
2016-09-10,7750.0
2016-09-20,7680.0
2016-09-30,7628.1
2016-10-10,7800.0
2016-10-20,7862.5
2016-10-30,7975.0
2016-11-10,7975.0
2016-11-20,8100.0
2016-11-30,8143.8
2016-12-10,8539.3
2016-12-20,9575.0
2016-12-30,9750.0
2017-01-10,9616.7
2017-01-20,9187.5
2017-02-10,9229.2
2017-02-20,9295.8
2017-02-28,9183.3
2017-03-10,8837.5
2017-03-20,8250.0
2017-03-30,8033.3
2017-04-10,7937.5
2017-04-20,8153.1
2017-04-30,8066.7
2017-05-10,7796.4
2017-05-20,7689.3
2017-05-30,8075.0
2017-06-10,8060.7
2017-06-20,8278.6
2017-06-30,8590.6
2017-07-10,8900.0
2017-07-20,9137.5
2017-07-30,9114.3
2017-08-10,8628.1
2017-08-20,8591.7
2017-08-30,8858.3
2017-09-10,9216.7
2017-09-20,9350.0
2017-09-30,9207.1
2017-10-10,9025.0
2017-10-20,9037.5
2017-10-30,9146.4
2017-11-10,9356.3
2017-11-20,9491.7
2017-11-30,9287.5
2017-12-10,9066.7
2017-12-20,8928.1
2017-12-30,9082.1
2018-01-10,9278.6
2018-01-20,9500.0
2018-01-30,9362.5
2018-02-10,9142.9
2018-02-28,9215.0
2018-03-10,9292.9
2018-03-20,9221.4
2018-03-30,9337.5
2018-04-10,9400.0
2018-04-30,9720.0
2018-05-10,9782.1
2018-05-30,9613.9
2018-06-20,9442.9
2018-06-30,9450.0
2018-07-10,9542.9
2018-07-20,9650.0
2018-07-30,9914.3
2018-08-10,10350.0
2018-08-20,10870.8
2018-08-30,11833.3
2018-09-10,12275.0
2018-09-20,11975.0
2018-10-10,11216.7
2018-10-20,11235.7
2018-10-30,10460.7
2018-11-10,9750.0
2018-11-20,9285.7
2018-11-30,9140.6
2018-12-10,9058.3
2018-12-20,9393.8
2018-12-30,9300.0
2019-01-10,9121.4
2019-01-20,9225.0
2019-01-30,9431.3
2019-02-20,9421.9
2019-02-28,9279.2
2019-03-10,9304.2
2019-03-20,9537.5
2019-03-30,9642.9
2019-04-10,9600.0
2019-04-20,9585.7
2019-04-30,9216.7
2019-05-10,8820.0
2019-05-20,8466.7
2019-05-30,8025.0
2019-06-10,7970.0
2019-06-20,8121.9
2019-06-30,8550.0
2019-07-10,8996.9
2019-07-20,8525.0
2019-07-30,8000.0
2019-08-10,7882.1
2019-08-20,7860.7
2019-08-30,7925.0
2019-09-10,7839.3
2019-09-20,7960.7
2019-09-30,7833.3
2019-10-10,7633.3
2019-10-20,7483.3
2019-10-30,7284.4
2019-11-10,7095.8
2019-11-20,6975.0
2019-11-30,7017.9
2019-12-10,7042.9
2019-12-20,7331.3
2019-12-30,7442.9
2020-01-10,7482.1
2020-01-20,7500.0
2020-01-31,7500.0
2020-02-10,7500.0
2020-02-20,7387.5
2020-02-29,7283.3
2020-03-01,7283.3
2020-03-10,7025.0
2020-03-20,6612.5
2020-03-30,5639.3
2020-04-10,5485.7
2020-04-20,5558.3
2020-04-30,5387.5
2020-05-10,5950.0
2020-05-20,5918.8
2020-05-30,6225.0
2020-06-10,6271.9
2020-06-20,6353.6
2020-06-30,6010.0
2020-07-10,5465.6
2020-07-20,5379.2
2020-07-30,5466.7
2020-08-10,5687.5
2020-08-20,5856.3
2020-08-30,5650.0
2020-09-10,5540.6
2020-09-20,5408.3
2020-09-30,5429.2
2020-10-10,5625.0
2020-10-20,5703.6
2020-10-30,5668.8
2020-11-10,5392.9
2020-11-20,5350.0
2020-11-30,5262.5
2020-12-10,5437.5
2020-12-20,5775.0
2020-12-30,5868.8
2021-01-10,6015.0
2021-01-20,6121.9
2021-01-30,5971.4
2021-02-10,6416.7
2021-03-02,7605.0
2021-03-10,8065.6
2021-03-20,8103.6
2021-03-30,7775.0
2021-04-10,7804.2
2021-04-20,7682.1
2021-04-30,7600.0
2021-05-10,7466.7
2021-05-20,7465.6
2021-05-30,7389.3
2021-06-10,7412.5
2021-06-20,7495.0
2021-06-30,7671.9
2021-07-10,7914.3
2021-07-20,8035.7
2021-07-30,8062.5
2021-08-10,8014.3
2021-08-20,7771.9
2021-08-30,7692.9
2021-09-10,7662.5
2021-09-20,7695.0
2021-09-30,7910.7
2021-10-10,8275.0
2021-10-20,8931.3
2021-10-30,9078.6
2021-11-10,8546.9
2021-11-20,8103.6
2021-11-30,7657.1
2021-12-10,7418.8
2021-12-20,7400.0
2021-12-30,7293.8
2022-01-10,7405.0
2022-01-20,7709.4
2022-01-30,7866.7
2022-02-20,8229.2
2022-03-02,7912.5
2022-03-10,8275.0
2022-03-20,8275.0
2022-03-30,8030.6
2022-04-10,7820.0
2022-04-20,7943.8
2022-04-30,7982.1
2022-05-10,8135.0
2022-05-20,8410.7
2022-05-30,8554.2
2022-06-10,9041.7
2022-06-20,9375.0
2022-06-30,8785.7
2022-07-10,8366.7
2022-07-20,7907.1
2022-07-30,7914.3
2022-08-10,7962.5
2022-08-20,7932.1
2022-08-30,7907.1
2022-09-10,8100.0
2022-09-20,8229.2
2022-09-30,8003.6
2022-10-10,8100.0
2022-10-20,7857.1
2022-10-30,7471.4
2022-11-10,6921.4
2022-11-20,6866.7
2022-11-30,6781.3
2022-12-10,6882.1
2022-12-20,7085.7
2022-12-30,7146.4
2023-01-10,7295.8
2023-01-20,7279.2
2023-02-10,7582.1
2023-02-20,7383.3
2023-03-02,7441.7
2023-03-10,7557.1
2023-03-20,7454.2
2023-03-30,7578.1
2023-04-10,7985.0
2023-04-20,7789.3
2023-04-30,7625.0
2023-05-10,7483.3
2023-05-20,7339.3
2023-05-30,7346.4
2023-06-10,7464.3
2023-06-20,7362.5
2023-06-30,7316.7
2023-07-10,7358.3
2023-07-20,7521.4
2023-07-30,7628.6
2023-08-10,7675.0
2023-08-20,7625.0
2023-08-30,7693.8
2023-09-10,7825.0
2023-09-20,8075.0
2023-09-30,8062.5
2023-10-10,7875.0
2023-10-20,7728.1
2023-10-30,7489.3
