DATE,CN_PORK_IMPORT_VALUE
2016-01-31,185.24
2016-02-29,138.44
2016-03-31,205.4
2016-04-30,214.13
2016-05-31,313.93
2016-06-30,392.88
2016-07-31,386.46
2016-08-31,409.35
2016-09-30,287.84
2016-10-31,225.76
2016-11-30,217.84
2016-12-31,212.77
2017-01-31,207.21
2017-02-28,199.95
2017-03-31,225.82
2017-04-30,197.64
2017-05-31,219.72
2017-06-30,161.24
2017-07-31,158.96
2017-08-31,144.33
2017-09-30,153.71
2017-10-31,151.54
2017-11-30,188.43
2017-12-31,211.6
2018-01-31,217.16
2018-02-28,132.58
2018-03-31,254.47
2018-04-30,201.95
2018-05-31,209.53
2018-06-30,168.38
2018-07-31,146.6
2018-08-31,147.82
2018-09-30,144.0
2018-10-31,132.85
2018-11-30,154.08
2018-12-31,164.61
2019-01-31,221.99
2019-02-28,142.7
2019-03-31,220.0
2019-04-30,237.88
2019-05-31,365.12
2019-06-30,346.24
2019-07-31,413.86
2019-08-31,369.61
2019-09-30,360.42
2019-10-31,437.71
2019-11-30,627.49
2019-12-31,783.48
2020-01-31,976.69
2020-02-29,775.93
2020-03-31,1176.75
2020-04-30,1104.35
2020-05-31,1015.32
2020-06-30,1068.11
2020-07-31,1094.98
2020-08-31,825.51
2020-09-30,924.53
2020-10-31,862.82
2020-11-30,927.52
2020-12-31,1288.88
2021-01-31,1102.27
2021-02-28,900.24
2021-03-31,1271.77
2021-04-30,1217.37
2021-05-31,1061.27
2021-06-30,1032.91
2021-07-31,1029.41
2021-08-31,761.67
2021-09-30,513.81
2021-10-31,466.68
2021-11-30,463.12
2021-12-31,356.26
2022-01-31,319.25
2022-02-28,254.66
2022-03-31,273.98
2022-04-30,275.38
2022-05-31,242.79
2022-06-30,250.96
2022-07-31,260.66
2022-08-31,318.58
2022-09-30,364.79
2022-10-31,385.2
2022-11-30,448.35
2022-12-31,505.28
2023-01-31,561.95
2023-02-28,408.15
2023-03-31,349.27
2023-04-30,299.35
2023-05-31,328.54
2023-06-30,300.65
2023-07-31,275.84
2023-08-31,239.83
2023-09-30,213.19
2023-10-31,182.72
2023-11-30,188.95
2023-12-31,187.08
2024-01-31,191.01
2024-02-29,138.73
2024-03-31,178.38
2024-04-30,162.64
2024-05-31,159.75
2024-06-30,162.34
2024-07-31,176.65
2024-08-31,188.02
2024-09-30,210.43
2024-10-31,191.65
2024-11-30,197.73
2024-12-31,197.16
2025-01-31,209.26
2025-02-28,173.83
