DATE,CN_SOW_HERD
2011-01-31,4740.0
2011-02-28,4730.0
2011-03-31,4710.0
2011-04-30,4695.0
2011-05-31,4710.0
2011-06-30,4720.0
2011-07-31,4786.0
2011-08-31,4815.0
2011-09-30,4845.0
2011-10-31,4880.0
2011-11-30,4905.0
2011-12-31,4928.0
2012-01-31,4950.0
2012-02-29,4949.0
2012-03-31,4954.0
2012-04-30,4954.0
2012-05-31,4949.0
2012-06-30,4953.0
2012-07-31,4939.0
2012-08-31,4958.0
2012-09-30,5063.0
2012-10-31,5078.0
2012-11-30,5058.0
2012-12-31,5063.0
2013-01-31,5068.04
2013-02-28,5057.91
2013-03-31,5032.62
2013-04-30,5012.49
2013-05-31,5012.49
2013-06-30,5007.48
2013-07-31,4997.46
2013-08-31,5012.45
2013-09-30,5007.44
2013-10-31,4997.43
2013-11-30,4972.44
2013-12-31,4937.63
2014-01-31,4908.01
2014-02-28,4868.74
2014-03-31,4790.84
2014-04-30,4685.44
2014-05-31,4638.59
2014-06-30,4592.2
2014-07-31,4537.1
2014-08-31,4501.0
2014-09-30,4478.0
2014-10-31,4420.0
2014-11-30,4367.0
2014-12-31,4289.0
2015-01-31,4190.0
2015-02-28,4110.0
2015-03-31,4040.0
2015-04-30,3972.0
2015-05-31,3924.0
2015-06-30,3900.56
2015-07-31,3881.05
2015-08-31,3867.47
2015-09-30,3853.92
2015-10-31,3850.07
2015-11-30,3826.97
2015-12-31,3800.18
2016-01-31,3784.98
2016-02-29,3762.27
2016-03-31,3429.0
2016-04-30,3439.22
2016-05-31,3428.9
2016-06-30,3428.9
2016-07-31,3422.04
2016-08-31,3401.51
2016-09-30,3384.5
2016-10-31,3377.73
2016-11-30,3360.85
2016-12-31,3344.04
2017-01-31,3330.66
2017-02-28,3636.18
2017-03-31,3636.18
2017-04-30,3636.18
2017-05-31,3607.09
2017-06-30,3589.05
2017-07-31,3556.75
2017-08-31,3524.74
2017-09-30,3500.07
2017-10-31,3489.57
2017-11-30,3468.63
2017-12-31,3427.01
2018-01-31,3417.0
2018-02-28,3417.0
2018-03-31,3420.0
2018-04-30,3372.0
2018-05-31,3288.0
2018-06-30,3245.0
2018-07-31,3184.0
2018-08-31,3149.0
2018-09-30,3139.0
2018-10-31,3101.0
2018-11-30,3061.0
2018-12-31,2991.0
2019-01-31,2883.0
2019-02-28,2739.0
2019-03-31,2676.0
2019-04-30,2609.0
2019-05-31,2544.0
2019-06-30,2439.0
2019-07-31,2221.93
2019-08-31,2019.73
2019-09-30,1963.18
2019-10-31,1974.96
2019-11-30,2053.96
2019-12-31,2099.15
2020-01-31,2124.34
2020-02-29,2160.45
2020-03-31,2220.94
2020-04-30,2292.01
2020-05-31,2381.4
2020-06-30,2431.0
2020-07-31,2528.24
2020-08-31,2592.96
2020-09-30,2675.0
2020-10-31,2757.93
2020-11-30,2863.0
2020-12-31,2929.5
2021-01-31,2961.72
2021-02-28,2991.34
2021-03-31,3022.6
2021-04-30,3055.5
2021-05-31,3080.39
2021-06-30,3255.97
2021-07-31,3239.69
2021-08-31,3210.53
2021-09-30,3181.64
2021-10-31,3105.28
2021-11-30,3068.02
2021-12-31,2979.04
2022-01-31,2952.23
2022-02-28,2937.47
2022-03-31,2866.68
2022-04-30,2860.95
2022-05-31,2872.39
2022-06-30,2929.84
2022-07-31,2944.49
2022-08-31,2962.15
2022-09-30,2986.74
2022-10-31,2998.39
2022-11-30,3004.0
2022-12-31,3022.41
2023-01-31,3007.3
2023-02-28,2990.16
2023-03-31,2964.14
2023-04-30,2950.51
2023-05-31,2931.92
2023-06-30,2958.01
2023-07-31,2940.27
2023-08-31,2919.68
2023-09-30,2919.1
2023-10-31,2898.37
2023-11-30,2863.59
2023-12-31,2852.71
2024-01-31,2801.08
2024-02-29,2784.27
2024-03-31,2750.86
2024-04-30,2748.11
2024-05-31,2753.61
2024-06-30,2783.89
2024-07-31,2786.68
2024-08-31,2783.33
2024-09-30,2801.15
2024-10-31,2809.55
2024-11-30,2815.17
2024-12-31,2813.76
2025-01-31,2802.51
2025-02-28,2805.31
