DATE,DO_INFLATION
2002-01-31,2.41
2002-02-28,2.32
2002-03-31,3.92
2002-04-30,3.98
2002-05-31,3.34
2002-06-30,4.05
2002-07-31,4.71
2002-08-31,4.87
2002-09-30,5.39
2002-10-31,8.18
2002-11-30,8.8
2002-12-31,10.51
2003-01-31,13.5
2003-02-28,17.97
2003-03-31,18.71
2003-04-30,18.25
2003-05-31,20.09
2003-06-30,26.11
2003-07-31,30.21
2003-08-31,33.01
2003-09-30,33.14
2003-10-31,32.74
2003-11-30,40.05
2003-12-31,42.66
2004-01-31,50.86
2004-02-29,61.42
2004-03-31,62.32
2004-04-30,62.98
2004-05-31,65.29
2004-06-30,60.35
2004-07-31,55.64
2004-08-31,51.84
2004-09-30,47.89
2004-10-31,46.09
2004-11-30,35.53
2004-12-31,28.74
2005-01-31,18.79
2005-02-28,6.82
2005-03-31,4.29
2005-04-30,3.9
2005-05-31,0.93
2005-06-30,-0.98
2005-07-31,-1.0
2005-08-31,-0.22
2005-09-30,4.22
2005-10-31,3.97
2005-11-30,4.83
2005-12-31,7.44
2006-01-31,8.25
2006-02-28,8.08
2006-03-31,8.26
2006-04-30,8.56
2006-05-31,9.51
2006-06-30,10.27
2006-07-31,10.6
2006-08-31,9.35
2006-09-30,4.73
2006-10-31,3.68
2006-11-30,5.23
2006-12-31,5.0
2007-01-31,4.36
2007-02-28,4.81
2007-03-31,5.54
2007-04-30,5.77
2007-05-31,6.28
2007-06-30,5.91
2007-07-31,5.24
2007-08-31,4.36
2007-09-30,6.81
2007-10-31,7.21
2007-11-30,8.45
2007-12-31,8.88
2008-01-31,9.05
2008-02-29,8.68
2008-03-31,9.67
2008-04-30,10.83
2008-05-31,10.03
2008-06-30,12.2
2008-07-31,13.73
2008-08-31,14.57
2008-09-30,14.58
2008-10-31,12.84
2008-11-30,7.21
2008-12-31,4.52
2009-01-31,3.68
2009-02-28,4.03
2009-03-31,2.44
2009-04-30,0.6900000000000001
2009-05-31,0.47
2009-06-30,0.26
2009-07-31,-1.22
2009-08-31,-0.47
2009-09-30,-1.57
2009-10-31,-0.3
2009-11-30,4.18
2009-12-31,5.76
2010-01-31,6.85
2010-02-28,6.68
2010-03-31,7.43
2010-04-30,7.66
2010-05-31,7.9
2010-06-30,5.44
2010-07-31,5.67
2010-08-31,5.01
2010-09-30,5.7
2010-10-31,6.17
2010-11-30,5.37
2010-12-31,6.24
2011-01-31,6.17
2011-02-28,7.29
2011-03-31,7.61
2011-04-30,8.16
2011-05-31,8.03
2011-06-30,9.32
2011-07-31,9.87
2011-08-31,10.18
2011-09-30,9.57
2011-10-31,8.86
2011-11-30,8.63
2011-12-31,7.76
2012-01-31,6.9
2012-02-29,6.0
2012-03-31,4.94
2012-04-30,4.05
2012-05-31,3.54
2012-06-30,2.71
2012-07-31,1.64
2012-08-31,2.16
