endDate,price,weekNumber
2025-04-06,636.76,14
2025-03-30,636.6,13
2025-03-23,632.44,12
2025-03-16,625.42,11
2025-03-09,621.01,10
2025-03-02,617.48,9
2025-02-23,610.74,8
2025-02-16,602.96,7
2025-02-09,592.87,6
2025-02-02,588.13,5
2025-01-26,579.25,4
2025-01-19,572.81,3
2025-01-12,567.15,2
2025-01-05,559.66,53
2025-01-05,559.66,1
2024-12-29,563.46,52
2024-12-22,561.17,51
2024-12-15,561.13,50
2024-12-08,555.56,49
2024-12-01,551.28,48
2024-11-24,546.37,47
2024-11-17,543.84,46
2024-11-10,538.22,45
2024-11-03,533.68,44
2024-10-27,533.51,43
2024-10-20,529.1,42
2024-10-13,526.54,41
2024-10-06,521.86,40
2024-09-29,523.63,39
2024-09-22,515.29,38
2024-09-15,512.38,37
2024-09-08,513.34,36
2024-09-01,511.44,35
2024-08-25,507.36,34
2024-08-18,506.13,33
2024-08-11,501.62,32
2024-08-04,502.14,31
2024-07-28,502.7,30
2024-07-21,501.39,29
2024-07-14,503.55,28
2024-07-07,503.93,27
2024-06-30,505.02,26
2024-06-23,504.3,25
2024-06-16,506.42,24
2024-06-09,505.85,23
2024-06-02,506.42,22
2024-05-26,504.68,21
2024-05-19,503.11,20
2024-05-12,502.91,19
2024-05-05,504.74,18
2024-04-28,503.76,17
2024-04-21,503.31,16
2024-04-14,505.98,15
2024-04-07,504.7,14
2024-03-31,502.68,13
2024-03-24,503.55,12
2024-03-17,502.94,11
2024-03-10,502.53,10
2024-03-03,500.85,9
2024-02-25,501.17,8
2024-02-18,499.22,7
2024-02-11,499.93,6
2024-02-04,498.82,5
2024-01-28,496.38,4
2024-01-21,497.62,3
2024-01-14,495.29,2
2024-01-07,495.46,1
