memberStateCode,memberStateName,year,month,category,tonnes,heads,kgPerHead
AT,Austria,2025,January,Bull,6.47,16.2,399.38
AT,Austria,2024,December,Bull,7.75,19.46,398.25
AT,Austria,2024,November,Bull,7.05,17.75,397.18
AT,Austria,2024,October,Bull,7.75,19.51,397.23
AT,Austria,2024,September,Bull,7.14,17.93,398.22
AT,Austria,2024,August,Bull,6.7,16.7,401.2
AT,Austria,2024,July,Bull,7.66,19.18,399.37
AT,Austria,2024,June,Bull,7.02,17.49,401.37
AT,Austria,2024,May,Bull,7.1,17.74,400.23
AT,Austria,2024,April,Bull,7.43,18.59,399.68
AT,Austria,2024,March,Bull,7.21,18.1,398.34
AT,Austria,2024,February,Bull,6.61,16.65,397.0
AT,Austria,2024,January,Bull,7.42,18.7,396.79
AT,Austria,2023,December,Bull,7.46,18.94,393.88
AT,Austria,2023,November,Bull,7.74,19.73,392.3
AT,Austria,2023,October,Bull,7.37,18.9,389.95
AT,Austria,2023,September,Bull,7.27,18.47,393.61
AT,Austria,2023,August,Bull,6.91,17.7,390.4
AT,Austria,2023,July,Bull,7.07,17.98,393.21
AT,Austria,2023,June,Bull,7.44,18.95,392.61
AT,Austria,2023,May,Bull,7.54,19.09,394.97
AT,Austria,2023,April,Bull,6.52,16.52,394.67
AT,Austria,2023,March,Bull,8.67,21.93,395.35
AT,Austria,2023,February,Bull,6.61,16.78,393.92
AT,Austria,2023,January,Bull,7.62,19.32,394.41
AT,Austria,2022,December,Bull,7.99,20.24,394.76
AT,Austria,2022,November,Bull,7.95,20.27,392.21
AT,Austria,2022,October,Bull,7.37,18.8,392.02
AT,Austria,2022,September,Bull,7.54,19.15,393.73
AT,Austria,2022,August,Bull,7.81,19.88,392.86
AT,Austria,2022,July,Bull,6.58,16.74,393.07
AT,Austria,2022,June,Bull,7.33,18.61,393.87
AT,Austria,2022,May,Bull,8.51,21.54,395.08
AT,Austria,2022,April,Bull,8.21,20.68,397.0
AT,Austria,2022,March,Bull,8.19,20.64,396.8
AT,Austria,2022,February,Bull,6.89,17.31,398.04
AT,Austria,2022,January,Bull,6.93,17.51,395.77
AT,Austria,2021,December,Bull,7.89,19.97,395.09
AT,Austria,2021,November,Bull,8.52,21.59,394.63
AT,Austria,2021,October,Bull,7.61,19.36,393.08
AT,Austria,2021,September,Bull,7.64,19.32,395.45
AT,Austria,2021,August,Bull,7.81,19.74,395.64
AT,Austria,2021,July,Bull,7.57,19.18,394.68
AT,Austria,2021,June,Bull,7.87,19.82,397.07
AT,Austria,2021,May,Bull,8.0,20.12,397.61
AT,Austria,2021,April,Bull,7.92,19.85,398.99
AT,Austria,2021,March,Bull,9.1,22.84,398.42
AT,Austria,2021,February,Bull,7.25,18.22,397.91
AT,Austria,2021,January,Bull,6.91,17.39,397.35
AT,Austria,2020,December,Bull,8.65,21.57,401.02
AT,Austria,2020,November,Bull,8.99,22.32,402.78
AT,Austria,2020,October,Bull,8.3,20.69,401.16
