beginDate,endDate,weekNumber,BreastFillet,Legs,WholeBroiler
2024-01-01,2024-01-07,1,539.28,245.08,272.54
2024-04-01,2024-04-07,14,542.78,242.15,266.88
2024-07-01,2024-07-07,27,560.78,244.98,274.54
2024-09-02,2024-09-08,36,570.21,243.16,277.35
2024-12-02,2024-12-08,49,579.13,251.39,273.79
2025-02-03,2025-02-09,6,580.87,257.0,279.02
2025-03-03,2025-03-09,10,587.22,260.4,283.76
2024-06-03,2024-06-09,23,549.8,243.43,271.64
2024-03-04,2024-03-10,10,541.46,243.07,264.86
2024-11-04,2024-11-10,45,580.1,254.02,281.57
2024-02-05,2024-02-11,6,534.15,239.12,263.56
2024-08-05,2024-08-11,32,564.91,243.12,272.31
2025-01-06,2025-01-12,2,577.55,253.93,278.38
2024-05-06,2024-05-12,19,544.25,241.0,269.12
2024-10-07,2024-10-13,41,579.54,253.35,278.22
2024-01-08,2024-01-14,2,537.45,238.48,266.91
2024-04-08,2024-04-14,15,541.43,238.36,264.47
2024-07-08,2024-07-14,28,565.72,246.1,275.75
2024-09-09,2024-09-15,37,567.95,248.35,276.98
2024-12-09,2024-12-15,50,576.83,250.9,273.98
2025-02-10,2025-02-16,7,582.23,258.41,281.42
2025-03-10,2025-03-16,11,590.83,259.96,284.14
2024-06-10,2024-06-16,24,555.35,243.59,271.22
2024-03-11,2024-03-17,11,537.7,239.36,263.65
2024-11-11,2024-11-17,46,575.58,253.14,277.9
2024-02-12,2024-02-18,7,536.18,239.52,265.37
2024-08-12,2024-08-18,33,564.06,242.42,273.35
2025-01-13,2025-01-19,3,579.01,253.18,274.4
2024-05-13,2024-05-19,20,547.49,242.17,270.57
2024-10-14,2024-10-20,42,581.1,252.83,280.07
2024-01-15,2024-01-21,3,536.2,237.25,263.11
2024-04-15,2024-04-21,16,542.66,238.68,263.92
2024-07-15,2024-07-21,29,566.15,246.08,277.0
2024-09-16,2024-09-22,38,572.33,253.35,281.89
2024-12-16,2024-12-22,51,577.5,252.92,275.45
2025-02-17,2025-02-23,8,583.41,259.23,278.77
2025-03-17,2025-03-23,12,597.95,260.54,283.98
2024-06-17,2024-06-23,25,558.03,244.16,271.1
2024-03-18,2024-03-24,12,539.71,240.66,264.73
2024-11-18,2024-11-24,47,585.71,252.01,272.82
2024-02-19,2024-02-25,8,536.17,240.06,263.75
2024-08-19,2024-08-25,34,567.36,244.3,276.88
2025-01-20,2025-01-26,4,578.39,253.63,275.35
2024-05-20,2024-05-26,21,550.41,243.31,272.78
2024-10-21,2024-10-27,43,580.6,253.19,279.76
2024-01-22,2024-01-28,4,536.05,238.2,264.47
2024-04-22,2024-04-28,17,543.25,240.09,268.31
2024-07-22,2024-07-28,30,566.25,247.09,278.08
2024-09-23,2024-09-29,39,575.42,251.5,279.78
2024-12-23,2024-12-29,52,580.12,254.32,277.68
2025-02-24,2025-03-02,9,584.7,259.09,281.27
2025-03-24,2025-03-30,13,598.44,263.21,286.43
2024-06-24,2024-06-30,26,555.85,245.78,274.69
2024-03-25,2024-03-31,13,541.39,246.15,265.94
2024-11-25,2024-12-01,48,580.08,252.63,273.61
2024-02-26,2024-03-03,9,539.97,241.82,265.38
2024-08-26,2024-09-01,35,566.43,243.56,278.87
2025-01-27,2025-02-02,5,577.29,253.02,276.82
2024-05-27,2024-06-02,22,552.83,245.34,275.13
2024-10-28,2024-11-03,44,580.44,254.2,281.0
2024-01-29,2024-02-04,5,535.24,236.97,262.18
2024-04-29,2024-05-05,18,542.38,240.16,267.68
2024-07-29,2024-08-04,31,565.52,246.37,276.56
2024-09-30,2024-10-06,40,575.79,251.28,277.77
2024-12-30,2025-01-05,1,579.04,254.68,278.15
2025-03-31,2025-04-06,14,598.24,262.98,286.05
