memberStateCode,memberStateName,year,tonnes,heads,kgPerHead,monthNum,Date
AT,Austria,2025,13.78,9056.83,1.52,1,2025-01-01
AT,Austria,2021,11.51,9022.5,1.28,12,2021-12-01
AT,Austria,2021,10.64,8218.12,1.29,11,2021-11-01
AT,Austria,2021,10.45,8037.26,1.3,10,2021-10-01
AT,Austria,2021,11.17,8514.38,1.31,9,2021-09-01
AT,Austria,2021,11.23,8631.42,1.3,8,2021-08-01
AT,Austria,2021,11.0,8558.67,1.29,7,2021-07-01
AT,Austria,2021,10.79,8508.38,1.27,6,2021-06-01
AT,Austria,2021,10.69,8312.67,1.29,5,2021-05-01
AT,Austria,2021,10.84,8466.9,1.28,4,2021-04-01
AT,Austria,2021,11.48,8964.54,1.28,3,2021-03-01
AT,Austria,2021,9.44,7268.44,1.3,2,2021-02-01
AT,Austria,2021,10.14,7809.33,1.3,1,2021-01-01
AT,Austria,2020,10.68,8423.51,1.27,12,2020-12-01
AT,Austria,2020,10.15,7904.36,1.28,11,2020-11-01
AT,Austria,2020,10.57,8144.55,1.3,10,2020-10-01
AT,Austria,2020,10.78,8257.07,1.31,9,2020-09-01
AT,Austria,2020,10.15,7964.63,1.27,8,2020-08-01
AT,Austria,2020,11.23,8806.61,1.28,7,2020-07-01
AT,Austria,2020,10.97,8505.54,1.29,6,2020-06-01
AT,Austria,2020,10.52,8279.35,1.27,5,2020-05-01
AT,Austria,2020,10.88,8683.56,1.25,4,2020-04-01
AT,Austria,2020,9.81,7826.51,1.25,3,2020-03-01
AT,Austria,2020,8.73,7066.2,1.24,2,2020-02-01
AT,Austria,2020,10.54,8129.07,1.3,1,2020-01-01
AT,Austria,2019,10.35,8142.65,1.27,12,2019-12-01
AT,Austria,2019,9.45,7412.81,1.27,11,2019-11-01
AT,Austria,2019,10.29,8118.84,1.27,10,2019-10-01
AT,Austria,2019,9.52,7418.36,1.28,9,2019-09-01
AT,Austria,2019,9.12,7250.85,1.26,8,2019-08-01
AT,Austria,2019,9.68,7708.41,1.26,7,2019-07-01
AT,Austria,2019,9.27,7332.56,1.26,6,2019-06-01
