endDate,marketingYear,weekNumber,Barn,Cage,Free_range,Organic
2024-01-07,2024,1,245.01,225.31,292.55,413.52
2024-01-14,2024,2,241.52,223.17,295.41,415.3
2024-01-21,2024,3,242.08,221.3,293.69,415.44
2024-01-28,2024,4,240.01,220.61,294.31,415.65
2024-02-04,2024,5,240.96,219.03,293.13,410.52
2024-02-11,2024,6,240.17,218.29,290.2,408.47
2024-02-18,2024,7,241.86,217.66,294.83,410.88
2024-02-25,2024,8,242.83,219.21,295.62,411.58
2024-03-03,2024,9,243.18,219.81,295.73,411.06
2024-03-10,2024,10,245.38,221.71,296.03,411.9
2024-03-17,2024,11,247.19,222.81,296.89,412.53
2024-03-24,2024,12,247.88,224.54,301.85,413.09
2024-03-31,2024,13,247.94,223.9,303.01,413.47
2024-04-07,2024,14,240.5,219.8,299.59,411.37
2024-04-14,2024,15,237.63,218.55,298.87,410.43
2024-04-21,2024,16,233.44,215.22,295.12,408.52
2024-04-28,2024,17,230.82,214.76,293.34,412.26
2024-05-05,2024,18,229.05,210.44,293.39,410.88
2024-05-12,2024,19,223.44,201.77,291.57,410.56
2024-05-19,2024,20,223.47,200.72,291.37,410.05
2024-05-26,2024,21,223.33,198.89,290.92,408.26
2024-06-02,2024,22,221.88,196.52,290.34,408.43
2024-06-09,2024,23,219.35,195.47,282.71,406.84
2024-06-16,2024,24,217.14,193.36,289.62,407.33
2024-06-23,2024,25,217.45,192.19,287.69,407.49
2024-06-30,2024,26,215.68,192.93,286.93,406.97
2024-07-07,2024,27,213.26,192.24,285.45,407.86
2024-07-14,2024,28,214.71,191.97,283.07,405.91
2024-07-21,2024,29,214.05,192.3,281.68,403.82
2024-07-28,2024,30,214.15,192.29,281.4,403.5
2024-08-04,2024,31,213.1,192.66,280.9,404.0
2024-08-11,2024,32,213.4,192.71,280.85,404.86
2024-08-18,2024,33,212.95,191.64,282.05,404.2
2024-08-25,2024,34,214.72,192.95,281.94,403.98
2024-09-01,2024,35,216.64,196.26,282.87,403.84
2024-09-08,2024,36,217.69,198.24,283.67,405.5
2024-09-15,2024,37,219.15,200.69,284.64,408.92
2024-09-22,2024,38,221.1,202.31,285.3,407.18
2024-09-29,2024,39,224.83,207.09,286.29,408.69
2024-10-06,2024,40,228.22,209.89,287.94,409.39
2024-10-13,2024,41,231.61,212.81,288.83,409.02
2024-10-20,2024,42,235.57,214.09,290.83,411.19
2024-10-27,2024,43,241.01,219.59,293.77,408.44
2024-11-03,2024,44,245.94,224.7,297.1,415.6
2024-11-10,2024,45,253.98,232.13,301.29,416.66
2024-11-17,2024,46,257.27,235.1,301.01,417.38
2024-11-24,2024,47,257.95,237.95,302.92,418.04
2024-12-01,2024,48,259.48,239.37,301.68,420.06
2024-12-08,2024,49,261.19,241.64,303.5,421.02
2024-12-15,2024,50,260.4,242.3,304.11,420.79
2024-12-22,2024,51,259.85,242.7,302.77,420.41
2024-12-29,2024,52,253.54,239.47,303.13,418.88
2025-01-05,2025,1,255.45,239.72,304.04,415.96
2025-01-12,2025,2,252.43,236.92,300.41,416.95
2025-01-19,2025,3,252.36,235.97,300.64,417.77
2025-01-26,2025,4,253.67,236.35,303.1,418.0
2025-02-02,2025,5,255.27,234.22,304.02,420.03
2025-02-09,2025,6,258.75,236.34,305.8,421.02
2025-02-16,2025,7,258.86,238.09,311.23,424.04
2025-02-23,2025,8,268.03,242.63,310.79,424.08
2025-03-02,2025,9,278.85,246.8,315.92,434.68
2025-03-09,2025,10,286.96,257.54,321.42,439.09
2025-03-16,2025,11,292.76,265.26,329.84,444.17
2025-03-23,2025,12,295.72,271.97,333.17,451.66
2025-03-30,2025,13,295.86,275.45,338.38,449.87
2025-04-06,2025,14,295.43,275.07,335.18,449.37
