DATE,GLOBAL_ALUMINUM_PRICE
2002-01-02,1325.5
2002-01-03,1332.0
2002-01-04,1336.5
2002-01-07,1407.0
2002-01-08,1402.25
2002-01-09,1415.0
2002-01-10,1383.5
2002-01-11,1375.75
2002-01-14,1388.0
2002-01-15,1384.5
2002-01-16,1399.0
2002-01-17,1387.5
2002-01-18,1376.25
2002-01-21,1373.75
2002-01-22,1372.0
2002-01-23,1392.25
2002-01-24,1398.25
2002-01-25,1370.5
2002-01-28,1350.75
2002-01-29,1348.25
2002-01-30,1351.5
2002-01-31,1381.75
2002-02-01,1382.25
2002-02-04,1370.5
2002-02-05,1379.5
2002-02-06,1361.25
2002-02-07,1374.5
2002-02-08,1372.75
2002-02-11,1363.25
2002-02-12,1376.5
2002-02-13,1402.25
2002-02-14,1377.75
2002-02-15,1366.25
2002-02-19,1363.5
2002-02-20,1367.5
2002-02-21,1368.75
2002-02-22,1357.5
2002-02-25,1364.5
2002-02-26,1362.25
2002-02-27,1399.25
2002-02-28,1394.5
2002-03-01,1404.0
2002-03-04,1412.5
2002-03-05,1405.2
2002-03-06,1408.75
2002-03-07,1424.75
2002-03-08,1419.25
2002-03-11,1422.75
2002-03-12,1412.5
2002-03-13,1407.0
2002-03-14,1414.5
2002-03-15,1419.5
2002-03-19,1442.5
2002-03-20,1434.0
2002-03-21,1415.5
2002-03-22,1381.75
2002-03-25,1367.0
2002-03-26,1379.25
2002-03-27,1381.5
2002-03-28,1389.5
2002-04-02,1394.0
2002-04-03,1376.75
2002-04-04,1373.0
2002-04-05,1354.5
2002-04-08,1355.25
2002-04-09,1363.75
2002-04-10,1357.25
2002-04-11,1361.0
2002-04-12,1352.0
2002-04-16,1369.75
2002-04-17,1393.5
2002-04-18,1386.75
2002-04-19,1392.25
2002-04-22,1396.25
2002-04-23,1384.0
2002-04-24,1384.0
2002-04-25,1376.5
2002-04-26,1380.75
2002-04-29,1384.5
2002-04-30,1379.0
2002-05-01,1349.0
2002-05-02,1360.25
2002-05-03,1350.0
2002-05-07,1354.25
2002-05-08,1360.75
2002-05-09,1355.5
2002-05-10,1344.75
2002-05-14,1353.25
2002-05-15,1351.25
2002-05-16,1343.25
2002-05-17,1335.75
2002-05-20,1327.75
2002-05-21,1328.75
2002-05-22,1330.25
2002-05-23,1335.0
2002-05-24,1337.25
2002-05-27,1334.75
2002-05-28,1359.5
2002-05-29,1368.25
2002-05-30,1368.0
2002-05-31,1381.0
2002-06-05,1392.0
2002-06-06,1394.75
2002-06-07,1374.75
2002-06-10,1385.0
2002-06-11,1374.75
2002-06-12,1372.25
2002-06-13,1362.75
2002-06-14,1356.25
2002-06-18,1351.25
2002-06-19,1349.25
2002-06-20,1334.75
2002-06-21,1337.5
2002-06-24,1330.0
2002-06-25,1342.75
2002-06-26,1351.75
2002-06-27,1355.0
2002-06-28,1372.5
2002-07-01,1373.25
2002-07-02,1357.75
2002-07-03,1360.4
2002-07-04,1353.75
2002-07-05,1370.5
2002-07-08,1352.0
2002-07-09,1352.25
2002-07-10,1358.55
2002-07-11,1357.75
2002-07-12,1353.15
2002-07-16,1365.5
2002-07-17,1365.0
2002-07-18,1352.0
2002-07-19,1337.5
