yearRun,MonthRun,Season,LaNinaProb,NeutralProb,ElNinoProb,ForecastDate
2021,1,DJF,100,0,0,2021-02-01
2021,1,JFM,96,4,0,2021-03-01
2021,1,FMA,78,22,0,2021-04-01
2021,1,MAM,57,43,0,2021-05-01
2021,1,AMJ,43,55,2,2021-06-01
2021,1,MJJ,35,58,7,2021-07-01
2021,1,JJA,37,52,11,2021-08-01
2021,1,JAS,42,45,13,2021-09-01
2021,1,ASO,44,41,14,2021-10-01
2021,2,JFM,100,0,0,2021-03-01
2021,2,FMA,82,18,0,2021-04-01
2021,2,MAM,62,38,0,2021-05-01
2021,2,AMJ,40,60,0,2021-06-01
2021,2,MJJ,36,61,3,2021-07-01
2021,2,JJA,40,53,7,2021-08-01
2021,2,JAS,46,46,8,2021-09-01
2021,2,ASO,49,41,10,2021-10-01
2021,2,SON,52,37,11,2021-11-01
2021,3,FMA,98,2,0,2021-04-01
2021,3,MAM,59,41,0,2021-05-01
2021,3,AMJ,38,62,0,2021-06-01
2021,3,MJJ,32,66,2,2021-07-01
2021,3,JJA,34,59,7,2021-08-01
2021,3,JAS,39,52,9,2021-09-01
2021,3,ASO,44,46,10,2021-10-01
2021,3,SON,48,42,10,2021-11-01
2021,3,OND,51,38,11,2021-12-01
2021,4,MAM,50,50,0,2021-05-01
2021,4,AMJ,21,79,0,2021-06-01
2021,4,MJJ,15,81,4,2021-07-01
2021,4,JJA,20,68,12,2021-08-01
2021,4,JAS,30,57,13,2021-09-01
2021,4,ASO,37,50,13,2021-10-01
2021,4,SON,41,46,13,2021-11-01
2021,4,OND,46,41,13,2021-12-01
2021,4,NDJ,47,40,13,2022-01-01
2021,5,AMJ,50,50,0,2021-06-01
2021,5,MJJ,27,73,0,2021-07-01
2021,5,JJA,29,67,4,2021-08-01
2021,5,JAS,36,57,7,2021-09-01
2021,5,ASO,42,50,8,2021-10-01
2021,5,SON,49,43,8,2021-11-01
2021,5,OND,53,39,8,2021-12-01
2021,5,NDJ,55,38,7,2022-01-01
2021,5,DJF,53,40,7,2022-02-01
