Date,IOD
1993-01-04,-0.339384
1993-01-11,0.036703
1993-01-18,0.044273
1993-01-25,-0.160355
1993-02-01,-0.420325
1993-02-08,-0.249804
1993-02-15,-0.097645
1993-02-22,-0.05301
1993-03-01,0.159496
1993-03-08,0.010349
1993-03-15,-0.067957
1993-03-22,-0.281234
1993-03-29,-0.488349
1993-04-05,-0.159791
1993-04-12,-0.29684
1993-04-19,-0.392282
1993-04-26,-0.384468
1993-05-03,0.17953
1993-05-10,-0.031193
1993-05-17,0.001377
1993-05-24,-0.114592
1993-05-31,-0.187855
1993-06-07,-0.020699
1993-06-14,-0.091309
1993-06-21,0.197739
1993-06-28,0.5137
1993-07-05,0.408351
1993-07-12,0.340804
1993-07-19,0.293133
1993-07-26,-0.229609
1993-08-02,-0.955782
1993-08-09,-0.780307
1993-08-16,-0.570527
1993-08-23,-0.302919
1993-08-30,-0.217401
1993-09-06,-0.33991
1993-09-13,-0.438579
1993-09-20,-0.2752
1993-09-27,-0.325404
1993-10-04,-0.328332
1993-10-11,-0.500353
1993-10-18,-0.582138
1993-10-25,-0.512395
1993-11-01,0.013033
1993-11-08,-0.131058
1993-11-15,-0.321234
1993-11-22,-0.622518
1993-11-29,-0.814387
1993-12-06,-0.822434
1993-12-13,-0.940592
1993-12-20,-1.080507
1993-12-27,-1.06722
1994-01-03,-1.320816
1994-01-10,-0.984414
1994-01-17,-0.649522
1994-01-24,-0.586403
1994-01-31,-0.381483
1994-02-07,-0.688898
1994-02-14,-0.654637
1994-02-21,-0.543128
1994-02-28,-0.602795
1994-03-07,-0.44364
1994-03-14,-0.387502
1994-03-21,-0.46983
1994-03-28,-0.715805
1994-04-04,-0.165192
1994-04-11,-0.239224
1994-04-18,-0.239991
1994-04-25,-0.134203
1994-05-02,0.49519
1994-05-09,0.614815
1994-05-16,0.755224
1994-05-23,0.771405
1994-05-30,0.912663
1994-06-06,1.136517
1994-06-13,1.163465
1994-06-20,0.982024
1994-06-27,0.903556
1994-07-04,0.599939
1994-07-11,0.864197
1994-07-18,1.219972
1994-07-25,1.598229
1994-08-01,1.2636
1994-08-08,1.193063
1994-08-15,1.205879
1994-08-22,1.442949
1994-08-29,1.629015
1994-09-05,1.584516
1994-09-12,1.60975
1994-09-19,1.576191
1994-09-26,1.436628
1994-10-03,1.400857
1994-10-10,1.417879
1994-10-17,1.498933
1994-10-24,1.516855
1994-10-31,1.613035
1994-11-07,2.147546
1994-11-14,2.011967
1994-11-21,1.741529
1994-11-28,1.256682
1994-12-05,1.027121
1994-12-12,0.942781
1994-12-19,1.08617
1994-12-26,1.391611
1995-01-02,1.40864
1995-01-09,1.362309
1995-01-16,1.348216
1995-01-23,1.074709
1995-01-30,0.663657
1995-02-06,0.099099
1995-02-13,0.435741
1995-02-20,0.553607
1995-02-27,0.568708
1995-03-06,0.650866
1995-03-13,0.557011
1995-03-20,0.43692
1995-03-27,0.330894
1995-04-03,0.707231
1995-04-10,0.334637
1995-04-17,0.144089
1995-04-24,0.049489
1995-05-01,0.544242
1995-05-08,0.370847
1995-05-15,-0.049526
1995-05-22,-0.237737
1995-05-29,-0.082757
1995-06-05,0.333539
1995-06-12,0.280618
1995-06-19,-0.005595
1995-06-26,-0.135213
1995-07-03,-0.385255
1995-07-10,-0.504272
1995-07-17,-0.384898
1995-07-24,-0.204559
1995-07-31,-0.093817
1995-08-07,-0.626865
1995-08-14,-0.566023
1995-08-21,-0.339999
1995-08-28,-0.208068
1995-09-04,-0.247621
1995-09-11,-0.075967
1995-09-18,-0.078886
1995-09-25,-0.103136
1995-10-02,-0.012235
1995-10-09,-0.211013
1995-10-16,-0.313735
1995-10-23,-0.319501
1995-10-30,-0.532176
1995-11-06,-0.464549
1995-11-13,-0.834741
1995-11-20,-1.316683
1995-11-27,-1.513604
1995-12-11,-1.047839
1995-12-18,-0.597166
1995-12-25,-0.341258
1996-01-01,-0.274421
1996-01-08,-0.04052
1996-01-15,0.054588
1996-01-22,-0.135006
1996-01-29,0.018902
1996-02-05,-0.219964
1996-02-12,-0.2559
1996-02-19,-0.181841
1996-02-26,-0.217538
1996-03-04,-0.235687
1996-03-11,-0.196956
1996-03-18,-0.182871
1996-03-25,-0.102898
1996-04-01,0.114294
1996-04-08,-0.29222
1996-04-15,-0.626177
1996-04-22,-0.939199
1996-04-29,-1.325424
1996-05-06,-1.021565
1996-05-13,-1.128978
1996-05-20,-0.838561
1996-05-27,-0.514715
1996-06-03,-0.103081
1996-06-10,-0.256361
1996-06-17,-0.436357
1996-06-24,-0.225749
1996-07-01,-0.360734
1996-07-08,-0.452092
1996-07-15,-0.718058
1996-07-22,-0.597409
1996-07-29,-0.443874
1996-08-05,-0.748696
1996-08-12,-0.645098
1996-08-19,-0.76975
1996-08-26,-1.026535
1996-09-02,-1.152621
1996-09-09,-1.249918
1996-09-16,-1.178461
1996-09-23,-1.163545
1996-09-30,-1.250065
1996-10-07,-1.278538
1996-10-14,-1.446257
1996-10-21,-1.719336
1996-10-28,-1.921495
1996-11-04,-1.849698
1996-11-11,-1.993842
1996-11-18,-1.799932
1996-11-25,-1.503132
1996-12-02,-1.431331
1996-12-09,-1.504922
1996-12-16,-1.731894
1996-12-23,-1.561712
1996-12-30,-1.300351
1997-01-06,-1.344106
1997-01-13,-0.963103
1997-01-20,-0.595249
1997-01-27,-0.456358
1997-02-03,-0.837122
1997-02-10,-0.982301
1997-02-17,-1.302482
1997-02-24,-1.398236
1997-03-03,-1.356582
1997-03-10,-1.242078
1997-03-17,-1.049478
1997-03-24,-0.55586
1997-03-31,-0.32119
1997-04-07,0.199991
1997-04-14,0.282411
1997-04-21,0.131415
1997-04-28,-0.070451
1997-05-05,0.344528
1997-05-12,-0.213679
1997-05-19,-0.785768
1997-05-26,-1.118468
1997-06-02,-0.933013
1997-06-09,-0.489211
1997-06-16,-0.070086
1997-06-23,0.422178
1997-06-30,0.976188
1997-07-07,1.009653
1997-07-14,1.043972
1997-07-21,1.064769
1997-07-28,0.794596
1997-08-04,0.254648
1997-08-11,0.406503
1997-08-18,0.744
1997-08-25,0.748735
1997-09-01,0.70739
1997-09-08,0.783695
1997-09-15,0.930693
1997-09-22,1.057116
1997-09-29,1.369767
1997-10-06,1.945272
1997-10-13,2.153207
1997-10-20,2.469895
1997-10-27,2.529025
1997-11-03,3.069673
1997-11-10,3.208716
1997-11-17,3.367483
1997-11-24,3.604127
1997-12-01,3.796761
1997-12-08,3.948687
1997-12-15,4.039791
1997-12-22,4.021252
1997-12-29,3.865265
1998-01-05,3.324924
1998-01-12,3.175237
1998-01-19,3.055263
1998-01-26,2.928525
1998-02-02,2.570955
1998-02-09,2.542038
1998-02-16,2.626077
1998-02-23,2.556669
1998-03-02,2.468337
1998-03-09,2.486144
1998-03-16,2.367294
1998-03-23,2.218156
1998-03-30,2.078248
1998-04-06,2.351608
1998-04-13,1.928899
1998-04-20,1.546755
1998-04-27,1.175948
1998-05-04,1.71952
1998-05-11,1.385306
1998-05-18,0.618419
1998-05-25,-0.270804
1998-06-01,-0.705175
1998-06-08,-0.628643
1998-06-15,-0.467449
1998-06-22,-0.349818
1998-06-29,-0.060557
1998-07-06,-0.142387
1998-07-13,-0.16591
1998-07-20,-0.357621
1998-07-27,-0.457968
1998-08-03,-1.056923
1998-08-10,-1.03725
1998-08-17,-0.812959
1998-08-24,-0.778898
1998-08-31,-0.664452
1998-09-07,-0.850014
1998-09-14,-0.670871
1998-09-21,-0.774401
1998-09-28,-1.297488
1998-10-05,-1.598274
1998-10-12,-1.670715
1998-10-19,-1.505119
1998-10-26,-1.521469
1998-11-02,-1.496681
1998-11-09,-1.93792
1998-11-16,-2.209228
1998-11-23,-2.251411
1998-11-30,-2.129899
1998-12-07,-1.977351
1998-12-14,-1.862328
1998-12-21,-1.809441
1998-12-28,-1.915602
1999-01-04,-2.132464
1999-01-11,-1.863697
1999-01-18,-1.734012
1999-01-25,-1.861916
1999-02-01,-2.274438
1999-02-08,-2.360124
1999-02-15,-2.135319
1999-02-22,-1.930646
1999-03-01,-1.86713
1999-03-08,-1.715757
1999-03-15,-1.692654
1999-03-22,-1.881135
1999-03-29,-2.290902
1999-04-05,-1.971421
1999-04-12,-2.215592
1999-04-19,-2.523397
1999-04-26,-2.534435
1999-05-03,-1.826068
1999-05-10,-1.598654
1999-05-17,-1.391813
1999-05-24,-1.356937
1999-05-31,-1.233111
1999-06-07,-0.861235
1999-06-14,-0.75251
1999-06-21,-0.403592
1999-06-28,0.065693
1999-07-05,-0.183147
1999-07-12,-0.165115
1999-07-19,-0.295884
1999-07-26,-0.489026
1999-08-02,-1.018069
1999-08-09,-0.82704
1999-08-16,-0.670685
1999-08-23,-0.508441
1999-08-30,-0.464501
1999-09-06,-0.648017
1999-09-13,-0.478061
1999-09-20,-0.524531
1999-09-27,-0.588997
1999-10-04,-0.494236
1999-10-11,-0.543023
1999-10-18,-0.809375
1999-10-25,-1.119921
1999-11-01,-0.935717
