InitialDate,EndDate,ONI,FinalDate,ONI_El_Nino,ONI_La_Nina
20080728,20080803,0.06,2008-08-03,0.06,0.0
20080804,20080810,0.1,2008-08-10,0.1,0.0
20080811,20080817,0.19,2008-08-17,0.19,0.0
20080818,20080824,-0.02,2008-08-24,0.0,-0.02
20080825,20080831,-0.07,2008-08-31,0.0,-0.07
20080901,20080907,-0.14,2008-09-07,0.0,-0.14
20080908,20080914,-0.19,2008-09-14,0.0,-0.19
20080915,20080921,-0.24,2008-09-21,0.0,-0.24
20080922,20080928,-0.41,2008-09-28,0.0,-0.41
20080929,20081005,-0.32,2008-10-05,0.0,-0.32
20081006,20081012,-0.28,2008-10-12,0.0,-0.28
20081013,20081019,-0.4,2008-10-19,0.0,-0.4
20081020,20081026,-0.52,2008-10-26,0.0,-0.52
20081027,20081102,-0.46,2008-11-02,0.0,-0.46
20081103,20081109,-0.39,2008-11-09,0.0,-0.39
20081110,20081116,-0.49,2008-11-16,0.0,-0.49
20081117,20081123,-0.49,2008-11-23,0.0,-0.49
20081124,20081130,-0.58,2008-11-30,0.0,-0.58
20081201,20081207,-0.68,2008-12-07,0.0,-0.68
20081208,20081214,-0.85,2008-12-14,0.0,-0.85
20081215,20081221,-0.89,2008-12-21,0.0,-0.89
20081222,20081228,-1.02,2008-12-28,0.0,-1.02
20081229,20090104,-1.14,2009-01-04,0.0,-1.14
20090105,20090111,-1.14,2009-01-11,0.0,-1.14
20090112,20090118,-1.1,2009-01-18,0.0,-1.1
20090119,20090125,-0.74,2009-01-25,0.0,-0.74
20090126,20090201,-0.85,2009-02-01,0.0,-0.85
20090202,20090208,-0.98,2009-02-08,0.0,-0.98
20090209,20090215,-0.83,2009-02-15,0.0,-0.83
20090216,20090222,-0.61,2009-02-22,0.0,-0.61
20090223,20090301,-0.62,2009-03-01,0.0,-0.62
20090302,20090308,-0.69,2009-03-08,0.0,-0.69
20090309,20090315,-0.59,2009-03-15,0.0,-0.59
20090316,20090322,-0.8,2009-03-22,0.0,-0.8
20090323,20090329,-0.65,2009-03-29,0.0,-0.65
20090330,20090405,-0.48,2009-04-05,0.0,-0.48
20090406,20090412,-0.37,2009-04-12,0.0,-0.37
20090413,20090419,-0.4,2009-04-19,0.0,-0.4
20090420,20090426,-0.37,2009-04-26,0.0,-0.37
20090427,20090503,-0.12,2009-05-03,0.0,-0.12
20090504,20090510,0.07,2009-05-10,0.07,0.0
20090511,20090517,0.15,2009-05-17,0.15,0.0
20090518,20090524,0.15,2009-05-24,0.15,0.0
20090525,20090531,0.14,2009-05-31,0.14,0.0
20090601,20090607,0.09,2009-06-07,0.09,0.0
20090608,20090614,0.33,2009-06-14,0.33,0.0
20090615,20090621,0.52,2009-06-21,0.52,0.0
20090622,20090628,0.66,2009-06-28,0.66,0.0
20090629,20090705,0.67,2009-07-05,0.67,0.0
20090706,20090712,0.65,2009-07-12,0.65,0.0
20090713,20090719,0.62,2009-07-19,0.62,0.0
20090720,20090726,0.75,2009-07-26,0.75,0.0
20090727,20090802,0.63,2009-08-02,0.63,0.0
20090803,20090809,0.68,2009-08-09,0.68,0.0
20090810,20090816,0.71,2009-08-16,0.71,0.0
20090817,20090823,0.78,2009-08-23,0.78,0.0
20090824,20090830,0.87,2009-08-30,0.87,0.0
20090831,20090906,0.87,2009-09-06,0.87,0.0
20090907,20090913,0.84,2009-09-13,0.84,0.0
20090914,20090920,0.77,2009-09-20,0.77,0.0
20090921,20090927,0.73,2009-09-27,0.73,0.0
20090928,20091004,0.63,2009-10-04,0.63,0.0
20091005,20091011,0.74,2009-10-11,0.74,0.0
20091012,20091018,0.78,2009-10-18,0.78,0.0
20091019,20091025,0.99,2009-10-25,0.99,0.0
20091026,20091101,1.2,2009-11-01,1.2,0.0
20091102,20091108,1.47,2009-11-08,1.47,0.0
20091109,20091115,1.36,2009-11-15,1.36,0.0
20091116,20091122,1.39,2009-11-22,1.39,0.0
20091123,20091129,1.45,2009-11-29,1.45,0.0
20091130,20091206,1.49,2009-12-06,1.49,0.0
20091207,20091213,1.5,2009-12-13,1.5,0.0
20091214,20091220,1.44,2009-12-20,1.44,0.0
20091221,20091227,1.67,2009-12-27,1.67,0.0
20091228,20100103,1.59,2010-01-03,1.59,0.0
20100104,20100110,1.55,2010-01-10,1.55,0.0
20100111,20100117,1.51,2010-01-17,1.51,0.0
20100118,20100124,1.27,2010-01-24,1.27,0.0
20100125,20100131,1.18,2010-01-31,1.18,0.0
20100201,20100207,0.86,2010-02-07,0.86,0.0
20100208,20100214,0.93,2010-02-14,0.93,0.0
20100215,20100221,0.88,2010-02-21,0.88,0.0
20100222,20100228,1.05,2010-02-28,1.05,0.0
20100301,20100307,0.9,2010-03-07,0.9,0.0
20100308,20100314,0.85,2010-03-14,0.85,0.0
20100315,20100321,0.86,2010-03-21,0.86,0.0
20100322,20100328,0.72,2010-03-28,0.72,0.0
20100329,20100404,0.54,2010-04-04,0.54,0.0
20100405,20100411,0.41,2010-04-11,0.41,0.0
20100412,20100418,0.46,2010-04-18,0.46,0.0
20100419,20100425,0.27,2010-04-25,0.27,0.0
20100426,20100502,0.17,2010-05-02,0.17,0.0
20100503,20100509,0.01,2010-05-09,0.01,0.0
20100510,20100516,-0.26,2010-05-16,0.0,-0.26
20100517,20100523,-0.52,2010-05-23,0.0,-0.52
20100524,20100530,-0.5,2010-05-30,0.0,-0.5
20100531,20100606,-0.62,2010-06-06,0.0,-0.62
20100607,20100613,-0.67,2010-06-13,0.0,-0.67
20100614,20100620,-0.81,2010-06-20,0.0,-0.81
20100621,20100627,-0.88,2010-06-27,0.0,-0.88
20100628,20100704,-0.97,2010-07-04,0.0,-0.97
20100705,20100711,-1.15,2010-07-11,0.0,-1.15
20100712,20100718,-1.14,2010-07-18,0.0,-1.14
20100719,20100725,-1.18,2010-07-25,0.0,-1.18
20100726,20100801,-1.31,2010-08-01,0.0,-1.31
20100802,20100808,-1.2,2010-08-08,0.0,-1.2
20100809,20100815,-1.18,2010-08-15,0.0,-1.18
20100816,20100822,-1.34,2010-08-22,0.0,-1.34
20100823,20100829,-1.6,2010-08-29,0.0,-1.6
20100830,20100905,-1.58,2010-09-05,0.0,-1.58
20100906,20100912,-1.56,2010-09-12,0.0,-1.56
20100913,20100919,-1.62,2010-09-19,0.0,-1.62
20100920,20100926,-1.52,2010-09-26,0.0,-1.52
20100927,20101003,-1.65,2010-10-03,0.0,-1.65
20101004,20101010,-1.88,2010-10-10,0.0,-1.88
20101011,20101017,-1.85,2010-10-17,0.0,-1.85
20101018,20101024,-1.77,2010-10-24,0.0,-1.77
20101025,20101031,-1.7,2010-10-31,0.0,-1.7
20101101,20101107,-1.76,2010-11-07,0.0,-1.76
20101108,20101114,-1.73,2010-11-14,0.0,-1.73
20101115,20101121,-1.81,2010-11-21,0.0,-1.81
20101122,20101128,-1.79,2010-11-28,0.0,-1.79
20101129,20101205,-1.74,2010-12-05,0.0,-1.74
20101206,20101212,-1.81,2010-12-12,0.0,-1.81
20101213,20101219,-1.78,2010-12-19,0.0,-1.78
20101220,20101226,-1.84,2010-12-26,0.0,-1.84
20101227,20110102,-1.83,2011-01-02,0.0,-1.83
20110103,20110109,-1.65,2011-01-09,0.0,-1.65
20110110,20110116,-1.87,2011-01-16,0.0,-1.87
20110117,20110123,-1.68,2011-01-23,0.0,-1.68
20110124,20110130,-1.61,2011-01-30,0.0,-1.61
20110131,20110206,-1.37,2011-02-06,0.0,-1.37
20110207,20110213,-1.16,2011-02-13,0.0,-1.16
20110214,20110220,-1.31,2011-02-20,0.0,-1.31
20110221,20110227,-1.32,2011-02-27,0.0,-1.32
20110228,20110306,-1.31,2011-03-06,0.0,-1.31
20110307,20110313,-1.06,2011-03-13,0.0,-1.06
20110314,20110320,-1.1,2011-03-20,0.0,-1.1
20110321,20110327,-1.23,2011-03-27,0.0,-1.23
20110328,20110403,-1.09,2011-04-03,0.0,-1.09
20110404,20110410,-0.86,2011-04-10,0.0,-0.86
20110411,20110417,-0.81,2011-04-17,0.0,-0.81
20110418,20110424,-0.7,2011-04-24,0.0,-0.7
20110425,20110501,-0.67,2011-05-01,0.0,-0.67
20110502,20110508,-0.65,2011-05-08,0.0,-0.65
20110509,20110515,-0.5,2011-05-15,0.0,-0.5
20110516,20110522,-0.33,2011-05-22,0.0,-0.33
20110523,20110529,-0.38,2011-05-29,0.0,-0.38
20110530,20110605,-0.32,2011-06-05,0.0,-0.32
20110606,20110612,-0.27,2011-06-12,0.0,-0.27
20110613,20110619,-0.25,2011-06-19,0.0,-0.25
20110620,20110626,-0.28,2011-06-26,0.0,-0.28
20110627,20110703,-0.36,2011-07-03,0.0,-0.36
20110704,20110710,-0.41,2011-07-10,0.0,-0.41
20110711,20110717,-0.23,2011-07-17,0.0,-0.23
20110718,20110724,-0.39,2011-07-24,0.0,-0.39
20110725,20110731,-0.37,2011-07-31,0.0,-0.37
20110801,20110807,-0.48,2011-08-07,0.0,-0.48
20110808,20110814,-0.66,2011-08-14,0.0,-0.66
20110815,20110821,-0.72,2011-08-21,0.0,-0.72
20110822,20110828,-0.62,2011-08-28,0.0,-0.62
20110829,20110904,-0.6,2011-09-04,0.0,-0.6
20110905,20110911,-0.63,2011-09-11,0.0,-0.63
