DATE,GLOBAL_CURNCY_ARS
2002-01-01,1.0
2002-01-02,1.0
2002-01-03,1.0
2002-01-04,1.0
2002-01-07,1.0
2002-01-08,1.4
2002-01-09,1.4
2002-01-10,1.4
2002-01-11,1.4
2002-01-14,1.4
2002-01-15,1.4
2002-01-16,1.4
2002-01-17,1.4
2002-01-18,1.4
2002-01-21,1.4
2002-01-22,1.4
2002-01-23,1.4
2002-01-24,1.4
2002-01-25,1.4
2002-01-28,1.4
2002-01-29,1.4
2002-01-30,1.4
2002-01-31,1.4
2002-02-01,2.025
2002-02-04,2.025
2002-02-05,2.025
2002-02-06,2.025
2002-02-07,2.025
2002-02-08,2.025
2002-02-11,2.025
2002-02-12,1.9
2002-02-13,1.965
2002-02-14,1.9
2002-02-15,1.9
2002-02-18,2.065
2002-02-19,2.025
2002-02-20,2.055
2002-02-21,1.995
2002-02-22,2.025
2002-02-25,2.055
2002-02-26,2.14
2002-02-27,2.115
2002-02-28,2.105
2002-03-01,2.065
2002-03-04,2.0
2002-03-05,2.03
2002-03-06,2.0725
2002-03-07,2.19
2002-03-08,2.24
2002-03-11,2.28
2002-03-12,2.39
2002-03-13,2.37
2002-03-14,2.37
2002-03-15,2.3
2002-03-18,2.335
2002-03-19,2.42
2002-03-20,2.45
2002-03-21,2.38
2002-03-22,2.97
2002-03-25,2.975
2002-03-26,2.865
2002-03-27,2.95
2002-03-28,2.95
2002-03-29,2.935
2002-04-01,2.935
2002-04-02,2.9
2002-04-03,2.94
2002-04-04,2.74
2002-04-05,2.7
2002-04-08,2.76
2002-04-09,2.77
2002-04-10,2.78
2002-04-11,2.775
2002-04-12,2.825
2002-04-15,2.95
2002-04-16,2.75
2002-04-17,2.83
2002-04-18,3.0
2002-04-19,3.12
2002-04-22,3.13
2002-04-23,3.12
2002-04-24,3.12
2002-04-25,3.13
2002-04-26,3.12
2002-04-29,2.95
2002-04-30,2.96
2002-05-01,2.985
2002-05-02,3.09
2002-05-03,3.17
2002-05-06,3.165
2002-05-07,3.18
2002-05-08,3.19
2002-05-09,3.185
2002-05-10,3.19
2002-05-13,3.19
2002-05-14,3.22
2002-05-15,3.215
2002-05-16,3.235
2002-05-17,3.38
2002-05-20,3.52
2002-05-21,3.39
2002-05-22,3.41
