DATE,GLOBAL_CURNCY_BRL
2002-01-01,2.3105
2002-01-02,2.302
2002-01-03,2.295
2002-01-04,2.331
2002-01-07,2.327
2002-01-08,2.374
2002-01-09,2.375
2002-01-10,2.423
2002-01-11,2.4015
2002-01-14,2.395
2002-01-15,2.375
2002-01-16,2.363
2002-01-17,2.3775
2002-01-18,2.365
2002-01-21,2.373
2002-01-22,2.38
2002-01-23,2.378
2002-01-24,2.396
2002-01-25,2.407
2002-01-28,2.424
2002-01-29,2.437
2002-01-30,2.4325
2002-01-31,2.413
2002-02-01,2.42
2002-02-04,2.423
2002-02-05,2.42
2002-02-06,2.4355
2002-02-07,2.4625
2002-02-08,2.4555
2002-02-11,2.4565
2002-02-12,2.4565
2002-02-13,2.409
2002-02-14,2.4305
2002-02-15,2.427
2002-02-18,2.4315
2002-02-19,2.425
2002-02-20,2.4195
2002-02-21,2.4225
2002-02-22,2.4215
2002-02-25,2.394
2002-02-26,2.395
2002-02-27,2.356
2002-02-28,2.3635
2002-03-01,2.3445
2002-03-04,2.3255
2002-03-05,2.3315
2002-03-06,2.3675
2002-03-07,2.3705
2002-03-08,2.3515
2002-03-11,2.356
2002-03-12,2.3295
2002-03-13,2.349
2002-03-14,2.344
2002-03-15,2.3465
2002-03-18,2.341
2002-03-19,2.343
2002-03-20,2.344
2002-03-21,2.342
2002-03-22,2.3615
2002-03-25,2.365
2002-03-26,2.3465
2002-03-27,2.323
2002-03-28,2.325
2002-03-29,2.325
2002-04-01,2.296
2002-04-02,2.298
2002-04-03,2.312
2002-04-04,2.301
2002-04-05,2.277
2002-04-08,2.284
2002-04-09,2.277
2002-04-10,2.265
2002-04-11,2.283
2002-04-12,2.294
2002-04-15,2.323
2002-04-16,2.3145
2002-04-17,2.3225
2002-04-18,2.3225
2002-04-19,2.3305
2002-04-22,2.34
2002-04-23,2.361
2002-04-24,2.354
2002-04-25,2.363
2002-04-26,2.3715
2002-04-29,2.364
2002-04-30,2.361
2002-05-01,2.361
2002-05-02,2.4065
2002-05-03,2.407
2002-05-06,2.421
2002-05-07,2.4315
2002-05-08,2.437
2002-05-09,2.472
2002-05-10,2.4645
2002-05-13,2.5315
2002-05-14,2.507
2002-05-15,2.502
2002-05-16,2.462
2002-05-17,2.476
2002-05-20,2.4785
2002-05-21,2.489
2002-05-22,2.524
2002-05-23,2.528
2002-05-24,2.519
2002-05-27,2.524
2002-05-28,2.527
2002-05-29,2.513
2002-05-30,2.512
2002-05-31,2.513
2002-06-03,2.5345
2002-06-04,2.596
2002-06-05,2.607
2002-06-06,2.677
2002-06-07,2.6345
2002-06-10,2.6355
2002-06-11,2.7085
2002-06-12,2.791
2002-06-13,2.7075
