DATE,GLOBAL_CURNCY_CAD
2002-01-01,1.5923
2002-01-02,1.5966
2002-01-03,1.5982
2002-01-04,1.5956
2002-01-07,1.5983
2002-01-08,1.5957
2002-01-09,1.5966
2002-01-10,1.5974
2002-01-11,1.596
2002-01-14,1.595
2002-01-15,1.5886
2002-01-16,1.5988
2002-01-17,1.6122
2002-01-18,1.6135
2002-01-21,1.6106
2002-01-22,1.6084
2002-01-23,1.6014
2002-01-24,1.6038
2002-01-25,1.6095
2002-01-28,1.5984
2002-01-29,1.594
2002-01-30,1.5877
2002-01-31,1.5891
2002-02-01,1.5913
2002-02-04,1.5971
2002-02-05,1.5979
2002-02-06,1.6078
2002-02-07,1.5993
2002-02-08,1.599
2002-02-11,1.5909
2002-02-12,1.5912
2002-02-13,1.59
2002-02-14,1.5922
2002-02-15,1.5902
2002-02-18,1.5927
2002-02-19,1.5904
2002-02-20,1.5888
2002-02-21,1.5905
2002-02-22,1.5965
2002-02-25,1.6024
2002-02-26,1.6104
2002-02-27,1.6079
2002-02-28,1.6016
2002-03-01,1.5921
2002-03-04,1.5907
2002-03-05,1.5875
2002-03-06,1.5813
2002-03-07,1.5835
2002-03-08,1.5866
2002-03-11,1.5826
2002-03-12,1.5862
2002-03-13,1.5952
2002-03-14,1.5918
2002-03-15,1.5826
2002-03-18,1.5843
2002-03-19,1.5851
2002-03-20,1.5796
2002-03-21,1.5782
2002-03-22,1.5772
2002-03-25,1.5837
2002-03-26,1.5906
2002-03-27,1.5952
2002-03-28,1.5924
2002-03-29,1.5949
2002-04-01,1.5998
2002-04-02,1.593
2002-04-03,1.59
2002-04-04,1.5936
2002-04-05,1.5879
2002-04-08,1.5957
2002-04-09,1.5957
2002-04-10,1.5927
2002-04-11,1.5885
2002-04-12,1.5855
2002-04-15,1.5867
2002-04-16,1.5822
2002-04-17,1.5747
2002-04-18,1.5744
2002-04-19,1.5721
2002-04-22,1.5706
2002-04-23,1.5732
2002-04-24,1.5678
2002-04-25,1.565
2002-04-26,1.5639
2002-04-29,1.5669
2002-04-30,1.5677
2002-05-01,1.5595
2002-05-02,1.5622
2002-05-03,1.5659
2002-05-06,1.5686
2002-05-07,1.5671
2002-05-08,1.5704
2002-05-09,1.5649
2002-05-10,1.559
2002-05-13,1.5551
2002-05-14,1.5587
2002-05-15,1.5571
2002-05-16,1.5555
2002-05-17,1.544
2002-05-20,1.5417
2002-05-21,1.5369
2002-05-22,1.5324
2002-05-23,1.5352
2002-05-24,1.5325
2002-05-27,1.5331
2002-05-28,1.531
2002-05-29,1.5349
2002-05-30,1.5345
2002-05-31,1.5279
2002-06-03,1.5276
2002-06-04,1.5314
2002-06-05,1.5327
2002-06-06,1.5331
2002-06-07,1.5301
2002-06-10,1.5393
2002-06-11,1.5362
2002-06-12,1.5354
2002-06-13,1.5394
2002-06-14,1.5467
2002-06-17,1.5467
2002-06-18,1.5452
2002-06-19,1.5405
2002-06-20,1.5277
2002-06-21,1.5206
2002-06-24,1.521
2002-06-25,1.5155
2002-06-26,1.5192
2002-06-27,1.5116
2002-06-28,1.5174
2002-07-01,1.516
2002-07-02,1.5272
2002-07-03,1.5315
2002-07-04,1.5284
2002-07-05,1.5228
2002-07-08,1.5229
2002-07-09,1.5123
2002-07-10,1.5203
2002-07-11,1.5246
2002-07-12,1.5338
