DATE,GLOBAL_CURNCY_CLP
2002-01-01,661.25
2002-01-02,651.75
2002-01-03,646.25
2002-01-04,652.65
2002-01-07,655.15
2002-01-08,663.25
2002-01-09,670.7
2002-01-10,682.15
2002-01-11,676.6
2002-01-14,666.3
2002-01-15,667.65
2002-01-16,670.15
2002-01-17,669.1
2002-01-18,671.65
2002-01-21,670.65
2002-01-22,666.75
2002-01-23,671.5
2002-01-24,669.1
2002-01-25,671.2
2002-01-28,678.72
2002-01-29,679.15
2002-01-30,677.55
2002-01-31,678.75
2002-02-01,678.9
2002-02-04,687.35
2002-02-05,689.65
2002-02-06,688.0
2002-02-07,687.25
2002-02-08,685.25
2002-02-11,684.75
2002-02-12,677.5
2002-02-13,673.65
2002-02-14,676.6
2002-02-15,677.15
2002-02-18,673.25
2002-02-19,672.95
2002-02-20,674.65
2002-02-21,673.25
2002-02-22,675.45
2002-02-25,673.65
2002-02-26,674.8
2002-02-27,673.15
2002-02-28,672.15
2002-03-01,668.25
2002-03-04,665.65
2002-03-05,667.42
2002-03-06,667.2
2002-03-07,664.65
2002-03-08,660.15
2002-03-11,662.05
2002-03-12,661.25
2002-03-13,655.76
2002-03-14,654.55
2002-03-15,659.1
2002-03-18,656.75
2002-03-19,657.25
2002-03-20,657.65
2002-03-21,662.65
2002-03-22,668.45
2002-03-25,670.15
2002-03-26,667.35
2002-03-27,657.15
2002-03-28,656.45
2002-03-29,656.5
2002-04-01,656.0
2002-04-02,657.2
2002-04-03,662.35
2002-04-04,658.95
2002-04-05,647.15
2002-04-08,647.8
2002-04-09,648.15
2002-04-10,641.05
2002-04-11,645.65
2002-04-12,642.65
2002-04-15,647.65
2002-04-16,647.17
2002-04-17,644.55
2002-04-18,647.45
2002-04-19,647.85
2002-04-22,654.2
2002-04-23,653.95
2002-04-24,653.95
2002-04-25,652.75
2002-04-26,651.15
2002-04-29,647.75
2002-04-30,646.85
2002-05-01,646.97
2002-05-02,651.95
2002-05-03,653.15
2002-05-06,656.65
2002-05-07,652.75
2002-05-08,652.35
2002-05-09,658.1
2002-05-10,655.15
2002-05-13,657.75
2002-05-14,654.65
2002-05-15,651.65
2002-05-16,651.75
2002-05-17,651.35
2002-05-20,651.95
2002-05-21,651.95
2002-05-22,656.4
2002-05-23,655.75
2002-05-24,656.15
2002-05-27,655.75
2002-05-28,656.15
2002-05-29,654.05
2002-05-30,655.55
2002-05-31,655.55
2002-06-03,659.65
2002-06-04,661.35
2002-06-05,660.75
2002-06-06,662.75
2002-06-07,660.65
2002-06-10,661.85
2002-06-11,666.2
2002-06-12,668.4
2002-06-13,665.65
2002-06-14,668.65
2002-06-17,667.65
2002-06-18,672.05
2002-06-19,679.1
2002-06-20,687.65
2002-06-21,698.65
2002-06-24,693.0
2002-06-25,697.8
2002-06-26,702.65
2002-06-27,695.45
2002-06-28,686.15
2002-07-01,691.5
2002-07-02,699.35
2002-07-03,694.65
2002-07-04,690.8
2002-07-05,696.15
2002-07-08,699.15
2002-07-09,697.0
2002-07-10,699.25
2002-07-11,695.8
2002-07-12,693.35
2002-07-15,697.95
2002-07-16,696.25
2002-07-17,697.25
2002-07-18,690.85
2002-07-19,691.45
2002-07-22,692.85
2002-07-23,697.95
2002-07-24,701.0
2002-07-25,705.25
2002-07-26,697.75
2002-07-29,699.05
2002-07-30,699.6
2002-07-31,706.95
2002-08-01,703.0
2002-08-02,697.75
2002-08-05,700.29
2002-08-06,700.25
2002-08-07,697.0
2002-08-08,693.25
2002-08-09,697.25
2002-08-12,700.95
2002-08-13,701.25
2002-08-14,703.45
2002-08-15,703.25
2002-08-16,699.75
2002-08-19,698.75
2002-08-20,701.65
2002-08-21,703.0
2002-08-22,708.0
2002-08-23,706.55
2002-08-26,704.85
2002-08-27,709.55
2002-08-28,716.45
2002-08-29,714.25
2002-08-30,709.88
2002-09-02,709.38
2002-09-03,716.25
2002-09-04,716.0
2002-09-05,715.95
2002-09-06,715.85
2002-09-09,717.5
2002-09-10,720.75
2002-09-11,719.5
2002-09-12,719.95
2002-09-13,722.25
2002-09-16,726.75
2002-09-17,730.25
2002-09-18,730.25
2002-09-19,730.25
2002-09-20,739.8
2002-09-23,747.75
2002-09-24,740.95
2002-09-25,743.5
2002-09-26,746.75
2002-09-27,746.0
2002-09-30,749.25
2002-10-01,745.55
2002-10-02,742.55
2002-10-03,745.25
2002-10-04,744.25
2002-10-07,744.75
2002-10-08,745.05
2002-10-09,751.25
2002-10-10,759.75
2002-10-11,742.58
2002-10-14,745.7
2002-10-15,743.13
2002-10-16,746.45
2002-10-17,746.05
2002-10-18,743.26
2002-10-21,736.75
2002-10-22,736.15
2002-10-23,735.58
2002-10-24,735.75
2002-10-25,732.38
2002-10-28,731.3
2002-10-29,735.15
2002-10-30,733.35
2002-10-31,726.25
2002-11-01,727.25
2002-11-04,719.25
2002-11-05,720.05
2002-11-06,718.75
2002-11-07,713.75
2002-11-08,711.45
2002-11-11,710.25
2002-11-12,707.25
2002-11-13,708.95
2002-11-14,709.75
2002-11-15,705.55
2002-11-18,701.95
2002-11-19,698.75
2002-11-20,696.75
2002-11-21,704.25
2002-11-22,709.55
2002-11-25,707.75
2002-11-26,707.25
2002-11-27,707.25
2002-11-28,704.45
2002-11-29,703.75
2002-12-02,701.25
2002-12-03,705.25
2002-12-04,712.25
2002-12-05,707.05
2002-12-06,704.0
2002-12-09,705.25
2002-12-10,702.25
2002-12-11,697.25
2002-12-12,692.75
2002-12-13,696.5
2002-12-16,695.45
2002-12-17,694.15
2002-12-18,696.25
2002-12-19,698.25
2002-12-20,699.65
2002-12-23,707.25
2002-12-24,706.25
2002-12-25,706.25
2002-12-26,710.05
2002-12-27,713.25
2002-12-30,720.35
2002-12-31,720.25
2003-01-01,720.25
2003-01-02,718.35
2003-01-03,713.95
2003-01-06,712.75
2003-01-07,711.25
2003-01-08,710.75
2003-01-09,711.05
2003-01-10,713.65
2003-01-13,711.47
2003-01-14,713.25
2003-01-15,718.45
2003-01-16,719.05
2003-01-17,726.45
2003-01-20,723.25
2003-01-21,727.75
2003-01-22,730.25
2003-01-23,729.75
2003-01-24,734.85
2003-01-27,738.55
2003-01-28,738.55
2003-01-29,738.75
2003-01-30,735.25
2003-01-31,735.25
2003-02-03,733.5
2003-02-04,743.15
2003-02-05,741.75
2003-02-06,743.0
2003-02-07,742.25
2003-02-10,743.75
2003-02-11,745.15
2003-02-12,747.5
2003-02-13,748.8
2003-02-14,746.25
2003-02-17,741.35
2003-02-18,740.25
2003-02-19,746.75
2003-02-20,748.05
2003-02-21,750.45
2003-02-24,754.25
2003-02-25,753.25
2003-02-26,753.75
2003-02-27,751.5
2003-02-28,749.15
2003-03-03,749.25
2003-03-04,753.95
2003-03-05,756.15
2003-03-06,754.55
2003-03-07,754.35
2003-03-10,757.05
2003-03-11,752.05
2003-03-12,755.45
2003-03-13,742.25
2003-03-14,738.25
2003-03-17,738.75
2003-03-18,734.45
2003-03-19,738.75
2003-03-20,742.3
2003-03-21,730.25
2003-03-24,731.25
2003-03-25,726.45
2003-03-26,726.25
2003-03-27,726.25
2003-03-28,726.15
2003-03-31,733.25
2003-04-01,726.15
2003-04-02,723.35
2003-04-03,722.6
2003-04-04,721.35
2003-04-07,719.9
2003-04-08,719.75
2003-04-09,720.75
2003-04-10,724.55
2003-04-11,724.0
2003-04-14,720.15
2003-04-15,718.6
2003-04-16,715.3
2003-04-17,713.25
2003-04-18,713.25
2003-04-21,714.25
2003-04-22,716.35
2003-04-23,709.45
2003-04-24,708.85
2003-04-25,712.45
2003-04-28,709.45
2003-04-29,706.25
2003-04-30,704.5
2003-05-01,702.25
2003-05-02,700.2
2003-05-05,698.3
2003-05-06,702.0
2003-05-07,695.6
2003-05-08,694.15
2003-05-09,694.75
2003-05-12,696.0
2003-05-13,693.5
2003-05-14,697.35
2003-05-15,706.08
2003-05-16,705.05
2003-05-19,708.95
