DATE,GLOBAL_CURNCY_DOP
2002-01-02,16.4
2002-01-03,16.4
2002-01-04,16.4
2002-01-07,16.225
2002-01-08,16.5
2002-01-09,16.5
2002-01-10,16.5
2002-01-11,16.5
2002-01-14,16.5
2002-01-15,16.225
2002-01-16,16.5
2002-01-17,16.225
2002-01-18,16.5
2002-01-22,16.4
2002-01-23,16.225
2002-01-24,16.4
2002-01-25,16.4
2002-01-28,16.225
2002-01-29,16.5
2002-01-30,16.5
2002-01-31,16.5
2002-02-01,16.5
2002-02-04,16.5
2002-02-05,16.5
2002-02-06,16.5
2002-02-07,16.5
2002-02-08,16.5
2002-02-11,16.4
2002-02-12,16.225
2002-02-13,16.4
2002-02-14,16.4
2002-02-15,16.4
2002-02-19,16.4
2002-02-20,16.4
2002-02-21,16.4
2002-02-22,16.4
2002-02-25,16.5
2002-02-28,16.5
2002-03-01,17.0
2002-03-04,17.0
2002-03-05,17.35
2002-03-06,17.4
2002-03-07,17.4
2002-03-08,17.4
2002-03-11,17.4
2002-03-12,17.4
2002-03-13,17.4
2002-03-14,17.4
2002-03-15,17.4
2002-03-19,17.4
2002-03-21,17.62
2002-03-22,17.55
2002-03-25,17.55
2002-03-26,17.55
2002-03-27,17.55
2002-03-28,17.55
2002-04-02,17.55
2002-04-03,17.6
2002-04-04,17.6
2002-04-05,17.6
2002-04-08,17.45
2002-04-10,17.6
2002-04-11,17.6
2002-04-12,17.6
2002-04-15,17.75
2002-04-17,17.75
2002-04-18,17.85
2002-04-19,17.85
2002-04-22,17.85
2002-04-23,17.85
2002-04-24,17.85
2002-04-26,17.85
2002-04-30,17.8
2002-05-02,17.85
2002-05-03,17.85
2002-05-06,17.85
2002-05-07,17.8
2002-05-08,17.85
2002-05-09,17.325
2002-05-10,17.8
2002-05-13,17.8
2002-05-14,17.8
2002-05-15,16.925
2002-05-16,17.8
2002-05-17,17.8
2002-05-20,17.15
2002-05-21,17.8
2002-05-22,17.8
2002-05-23,17.8
2002-05-24,16.925
2002-05-29,17.8
2002-05-30,17.8
2002-05-31,16.925
2002-06-03,17.85
2002-06-04,17.8
2002-06-05,17.8
2002-06-06,17.85
2002-06-07,17.85
2002-06-11,17.85
2002-06-12,17.125
2002-06-13,17.9
2002-06-14,17.9
2002-06-17,17.9
2002-06-18,17.9
2002-06-20,17.9
2002-06-21,17.9
2002-06-24,17.9
2002-06-25,17.9
2002-06-26,17.9
2002-06-27,17.9
2002-06-28,17.9
2002-07-01,17.9
2002-07-02,17.9
2002-07-03,17.9
2002-07-08,17.9
2002-07-10,17.9
2002-07-11,17.9
2002-07-12,17.9
2002-07-15,17.9
2002-07-17,17.9
2002-07-18,17.9
2002-07-19,17.9
2002-07-22,17.9
2002-07-23,17.9
2002-07-24,17.9
2002-07-25,17.9
2002-07-26,17.9
2002-07-29,17.9
2002-07-30,17.9
2002-07-31,17.9
2002-08-01,17.9
2002-08-02,17.9
2002-08-05,17.9
2002-08-06,17.9
2002-08-07,17.9
2002-08-08,17.9
2002-08-09,18.8
2002-08-12,18.8
2002-08-15,17.9
2002-08-16,17.9
2002-08-19,17.9
2002-08-20,17.9
2002-08-21,17.9
2002-08-22,17.9
2002-08-23,17.9
2002-08-26,17.9
2002-08-27,17.9
2002-08-28,17.9
2002-08-29,17.9
2002-08-30,17.9
2002-09-03,17.9
2002-09-04,17.9
2002-09-05,17.9
2002-09-06,17.9
2002-09-09,17.9
2002-09-10,17.9
2002-09-11,17.9
2002-09-12,17.9
2002-09-13,17.9
2002-09-16,17.9
2002-09-17,17.9
2002-09-18,17.9
2002-09-19,17.85
2002-09-20,17.9
2002-09-24,17.9
2002-09-25,17.9
2002-09-26,17.9
2002-09-27,17.9
2002-09-30,17.9
2002-10-01,17.9
2002-10-02,17.9
2002-10-03,17.9
2002-10-07,17.9
2002-10-08,17.9
2002-10-09,17.9
2002-10-10,17.9
2002-10-11,17.9
2002-10-15,17.9
2002-10-16,17.9
2002-10-17,18.325
2002-10-18,17.9
2002-10-21,17.9
2002-10-22,17.9
2002-10-23,17.9
2002-10-24,18.325
2002-10-25,17.9
2002-10-28,17.9
2002-10-29,17.9
2002-10-30,17.9
2002-10-31,17.9
2002-11-01,17.94
2002-11-04,17.9
2002-11-05,17.9
2002-11-06,17.9
2002-11-07,17.9
2002-11-08,18.325
2002-11-12,18.54
2002-11-14,18.325
2002-11-15,18.55
2002-11-18,18.55
2002-11-19,18.55
2002-11-20,19.5
2002-11-21,19.55
