DATE,GLOBAL_CURNCY_GTQ
2002-01-02,7.9699
2002-01-03,7.96
2002-01-04,7.9899
2002-01-07,7.94
2002-01-08,7.94
2002-01-09,7.94
2002-01-10,7.94
2002-01-11,7.94
2002-01-14,7.98
2002-01-15,7.98
2002-01-16,7.98
2002-01-17,8.0046
2002-01-18,7.98
2002-01-22,7.94
2002-01-23,7.9365
2002-01-24,8.0318
2002-01-25,7.9365
2002-01-28,7.9365
2002-01-29,7.9315
2002-01-30,7.9315
2002-01-31,7.9315
2002-02-01,7.9668
2002-02-04,7.9571
2002-02-05,7.9265
2002-02-06,7.9265
2002-02-07,7.9665
2002-02-08,7.9665
2002-02-11,7.9433
2002-02-12,7.8965
2002-02-13,7.9323
2002-02-14,7.9614
2002-02-15,7.9127
2002-02-19,7.8965
2002-02-20,7.9154
2002-02-21,7.9187
2002-02-22,7.9109
2002-02-25,7.94
2002-02-26,7.9019
2002-02-27,7.9436
2002-02-28,7.9495
2002-03-01,7.9491
2002-03-04,7.9641
2002-03-05,7.9586
2002-03-06,7.94
2002-03-07,7.9448
2002-03-08,7.9509
2002-03-11,7.95
2002-03-12,7.94
2002-03-13,7.9528
2002-03-14,7.9573
2002-03-15,7.9536
2002-03-18,7.9223
2002-03-19,7.8965
2002-03-20,7.8979
2002-03-21,7.9187
2002-03-22,7.9109
2002-03-25,7.915
2002-03-26,7.79
2002-03-27,7.8847
2002-03-28,7.8441
2002-03-29,7.8601
2002-04-01,7.8601
2002-04-02,7.8601
2002-04-03,7.8486
2002-04-04,7.85
2002-04-05,7.86
2002-04-08,7.8592
2002-04-09,7.8611
2002-04-10,7.83
2002-04-11,7.8459
2002-04-12,7.8459
2002-04-15,7.8259
2002-04-16,7.8576
2002-04-17,7.81
2002-04-18,7.8195
2002-04-19,7.82
2002-04-22,7.82
2002-04-23,7.8512
2002-04-24,7.8
2002-04-26,7.8118
2002-04-29,7.787
2002-04-30,7.81735
2002-05-01,7.7883
2002-05-02,7.7883
2002-05-03,7.8013
2002-05-06,7.7787
2002-05-07,7.8311
2002-05-08,7.83
2002-05-09,7.8066
2002-05-10,7.83
2002-05-13,7.8305
2002-05-14,7.82045
2002-05-15,7.8305
2002-05-16,7.8
2002-05-17,7.81
2002-05-20,7.8188
2002-05-21,7.8188
2002-05-22,7.82
2002-05-23,7.86
2002-05-24,7.8228
2002-05-27,7.8838
2002-05-28,7.8709
2002-05-29,7.9126
2002-05-30,7.9126
2002-05-31,7.8474
2002-06-03,7.8568
2002-06-04,7.8619
2002-06-05,7.88
2002-06-06,7.9
2002-06-07,7.9
2002-06-10,7.9142
2002-06-11,7.9
2002-06-12,7.91
2002-06-13,7.92
2002-06-14,7.92
2002-06-17,7.928
2002-06-18,7.92
2002-06-19,7.9301
2002-06-20,7.93
2002-06-21,7.89
2002-06-24,7.92
2002-06-25,7.94
2002-06-26,7.94
2002-06-27,7.943
2002-06-28,7.91
2002-07-01,7.9152
2002-07-02,7.91
2002-07-03,7.9085
2002-07-05,7.9013
2002-07-08,7.88085
2002-07-09,7.8579
2002-07-10,7.885
2002-07-11,7.885
2002-07-12,7.885
2002-07-15,7.9108
2002-07-16,7.8728
2002-07-17,7.8458
2002-07-18,7.86
2002-07-19,7.875
2002-07-22,7.8504
2002-07-23,7.8774
2002-07-24,7.8288
2002-07-25,7.81
2002-07-26,7.8145
2002-07-29,7.8145
2002-07-30,7.8204
2002-07-31,7.8403
2002-08-01,7.816
2002-08-02,7.774
2002-08-05,7.7788
2002-08-06,7.7879
2002-08-07,7.8848
2002-08-08,7.7648
2002-08-09,7.8847
2002-08-12,7.77
2002-08-13,7.8055
2002-08-14,7.7844
2002-08-15,7.7469
2002-08-16,7.72
2002-08-19,7.7392
2002-08-20,7.7967
2002-08-21,7.74
2002-08-22,7.795
2002-08-23,7.795
2002-08-26,7.8446
2002-08-27,7.79
2002-08-28,7.795
2002-08-29,7.79
2002-08-30,7.8
2002-09-02,7.8082
2002-09-03,7.82035
2002-09-04,7.82
2002-09-05,7.86
2002-09-06,7.84
2002-09-09,7.8799
2002-09-10,7.8856
2002-09-11,7.8378
2002-09-12,7.8695
2002-09-13,7.7904
2002-09-16,7.7792
2002-09-17,7.8252
2002-09-18,7.7732
2002-09-19,7.76
2002-09-20,7.77
2002-09-23,7.7739
2002-09-24,7.822
2002-09-25,7.7508
2002-09-26,7.7628
2002-09-27,7.7569
2002-09-30,7.75
2002-10-01,7.8047
2002-10-02,7.745
2002-10-03,7.745
2002-10-04,7.7355
2002-10-07,7.75
2002-10-08,7.75
2002-10-09,7.75
2002-10-10,7.76
2002-10-11,7.76
2002-10-14,7.7705
2002-10-15,7.8145
2002-10-16,7.7689
2002-10-18,7.7489
2002-10-21,7.74
2002-10-22,7.8113
2002-10-23,7.7277
2002-10-24,7.7293
2002-10-25,7.8021
2002-10-28,7.7
2002-10-29,7.7889
2002-10-30,7.7112
2002-10-31,7.695
2002-11-01,7.695
2002-11-04,7.695
2002-11-05,7.7641
2002-11-06,7.615
2002-11-07,7.6197
2002-11-08,7.5865
2002-11-11,7.7354
2002-11-12,7.7389
2002-11-13,7.7426
2002-11-14,7.605
2002-11-15,7.605
2002-11-18,7.6578
2002-11-19,7.7638
2002-11-20,7.6182
2002-11-21,7.6265
2002-11-22,7.6185
2002-11-25,7.6096
2002-11-26,7.7381
2002-11-27,7.5938
2002-11-29,7.605
2002-12-02,7.605
2002-12-03,7.7265
2002-12-04,7.7292
2002-12-05,7.605
2002-12-06,7.605
2002-12-09,7.6181
2002-12-10,7.7477
2002-12-11,7.5838
2002-12-12,7.58
2002-12-13,7.58
2002-12-16,7.58
2002-12-17,7.58
2002-12-18,7.58
2002-12-19,7.6877
2002-12-20,7.58
2002-12-23,7.58
2002-12-24,7.58
2002-12-26,7.58
2002-12-27,7.64
2002-12-30,7.64
2003-01-02,7.58
2003-01-03,7.58
2003-01-06,7.58
2003-01-07,7.58
2003-01-08,7.58
2003-01-09,7.58
2003-01-10,7.58
2003-01-13,7.58
2003-01-14,7.72
2003-01-15,7.72
2003-01-16,7.73
2003-01-17,7.75
2003-01-21,7.78
2003-01-22,7.78
2003-01-23,7.785
2003-01-24,7.785
2003-01-27,7.84
2003-01-28,7.86
2003-01-29,7.86
2003-01-30,7.85
2003-01-31,7.885
2003-02-03,7.885
2003-02-04,7.825
2003-02-05,7.79
2003-02-06,7.79
2003-02-07,7.79
2003-02-10,7.775
2003-02-11,7.775
2003-02-12,7.7406
2003-02-13,7.76
2003-02-14,7.76
2003-02-18,7.76
2003-02-19,7.82
2003-02-20,7.7809
2003-02-21,7.8375
2003-02-24,7.835
2003-02-25,7.855
2003-02-26,7.87
2003-02-27,7.87
2003-02-28,7.86
2003-03-03,7.84
2003-03-04,7.83
2003-03-05,7.835
2003-03-06,7.87
2003-03-07,7.87
2003-03-10,7.875
2003-03-11,7.875
2003-03-12,7.87
2003-03-13,7.88
2003-03-14,7.88
2003-03-17,7.875
2003-03-18,7.87
2003-03-19,7.875
2003-03-20,7.875
2003-03-21,7.91
2003-03-24,7.95
2003-03-25,7.95
2003-03-26,7.95
2003-03-27,7.89
2003-03-28,7.89
2003-03-31,7.9
2003-04-01,7.92
2003-04-02,7.92
2003-04-03,7.94
2003-04-04,7.955
2003-04-07,7.955
2003-04-08,7.94
2003-04-09,7.93
2003-04-10,7.93
2003-04-11,7.93
2003-04-14,7.91
2003-04-15,7.88
2003-04-16,7.855
2003-04-17,7.85
2003-04-18,7.85
2003-04-21,7.85
2003-04-22,7.895
2003-04-23,7.9
2003-04-24,7.92
2003-04-25,7.94
2003-04-28,7.94
2003-04-29,7.94
2003-04-30,7.94
2003-05-01,7.88
2003-05-05,7.87
2003-05-06,7.87
2003-05-07,7.91
2003-05-08,7.93
2003-05-09,7.92
2003-05-12,7.92
2003-05-13,7.9075
2003-05-14,7.9
2003-05-15,7.8406
2003-05-16,7.92
2003-05-19,7.91
2003-05-20,7.925
2003-05-21,7.8655
2003-05-22,7.8506
2003-05-23,7.8456
2003-05-26,7.8456
2003-05-27,7.8605
2003-05-28,7.925
2003-05-29,7.925
2003-05-30,7.925
2003-06-02,7.925
2003-06-03,7.925
2003-06-04,7.915
2003-06-05,7.915
2003-06-06,7.92
2003-06-09,7.92
2003-06-10,7.92
2003-06-11,7.925
2003-06-12,7.925
2003-06-13,7.95
2003-06-16,7.935
2003-06-17,7.9425
2003-06-18,7.8754
2003-06-19,7.90645
2003-06-20,7.9375
2003-06-23,7.8754
2003-06-24,7.9052
2003-06-25,7.935
2003-06-26,7.94
2003-06-27,7.91023
2003-06-30,7.93
2003-07-01,7.93
2003-07-02,7.94
2003-07-03,7.8804
2003-07-07,7.94
2003-07-08,7.89528
2003-07-09,7.91
2003-07-10,7.92
2003-07-11,7.8506
2003-07-14,7.92
2003-07-15,7.93
2003-07-16,7.93
2003-07-17,7.93
2003-07-18,7.935
2003-07-21,7.935
2003-07-22,7.91271
2003-07-23,7.935
2003-07-24,7.87543
2003-07-25,7.87543
2003-07-28,7.91271
2003-07-29,7.935
2003-07-30,7.89035
2003-07-31,7.93
2003-08-01,7.9225
2003-08-04,7.9225
2003-08-05,7.9225
2003-08-06,7.9225
2003-08-07,7.92
2003-08-08,7.8605
2003-08-11,7.8605
2003-08-12,7.93
2003-08-13,7.8605
2003-08-14,7.86548
2003-08-15,7.93
2003-08-18,7.925
2003-08-19,7.925
2003-08-20,7.925
2003-08-21,7.87045
2003-08-22,7.91271
2003-08-25,7.87543
2003-08-26,7.91271
2003-08-27,7.9425
2003-08-28,7.94
2003-08-29,7.9425
2003-09-01,7.935
2003-09-02,7.91769
2003-09-03,7.95
2003-09-04,7.9375
2003-09-05,7.93265
2003-09-08,7.955
2003-09-09,7.91025
2003-09-10,7.98
2003-09-11,7.99
2003-09-12,7.97
2003-09-15,7.97
2003-09-16,7.96
2003-09-17,7.97
2003-09-18,7.975
2003-09-19,7.9202
2003-09-22,7.9875
2003-09-23,7.99
2003-09-24,7.93015
2003-09-25,7.93015
2003-09-26,7.99008
2003-09-29,7.98985
2003-09-30,8.02965
2003-10-01,8.105
2003-10-02,8.115
2003-10-03,8.11468
2003-10-06,8.11
2003-10-07,8.06
2003-10-08,8.00998
2003-10-09,8.01473
2003-10-10,8.06
2003-10-14,8.06
2003-10-15,8.04488
2003-10-16,8.03463
2003-10-17,8.07978
2003-10-20,8.06945
2003-10-21,8.09475
2003-10-22,8.0595
2003-10-23,8.14
2003-10-24,8.1575
2003-10-27,8.12
2003-10-28,8.09433
2003-10-29,8.15
2003-10-30,8.13
2003-10-31,8.08935
2003-11-03,8.13
2003-11-04,8.14
2003-11-05,8.14
2003-11-06,8.14
2003-11-07,8.13
2003-11-10,8.12
2003-11-11,8.0396
2003-11-12,8.1
2003-11-13,8.02993
2003-11-14,7.98985
2003-11-17,7.98985
2003-11-18,7.98985
2003-11-19,8.02993
2003-11-20,7.9998
2003-11-21,7.9998
2003-11-24,8.00975
2003-11-25,8.095
2003-11-26,8.06731
2003-11-27,8.06
2003-11-28,8.095
2003-12-01,7.9998
2003-12-02,8.03241
2003-12-03,7.99483
2003-12-04,7.99483
2003-12-05,7.99483
2003-12-08,8.01245
2003-12-09,7.96995
2003-12-10,8.0225
2003-12-11,8.03
2003-12-12,8.00995
2003-12-15,7.97493
2003-12-16,8.025
2003-12-17,7.96498
2003-12-18,7.96
2003-12-19,8.02
2003-12-22,8.02
2003-12-23,8.02
2003-12-24,8.03
2003-12-26,8.03
2003-12-29,8.03
2003-12-30,8.04
2003-12-31,8.02
2004-01-02,8.05
2004-01-05,8.07
2004-01-06,8.07
2004-01-07,8.09
2004-01-08,8.13
2004-01-09,8.095
2004-01-12,8.115
2004-01-13,8.11
2004-01-14,8.11
2004-01-15,8.11
2004-01-16,8.12
2004-01-19,8.13
2004-01-20,8.13
2004-01-21,8.135
2004-01-22,8.135
2004-01-23,8.135
2004-01-26,8.145
2004-01-27,8.145
2004-01-28,8.12
2004-01-29,8.12
2004-01-30,8.125
2004-02-02,8.11
2004-02-03,8.095
2004-02-04,8.105
2004-02-05,8.1
2004-02-06,8.11
2004-02-09,8.1
2004-02-10,8.105
2004-02-11,8.115
2004-02-12,8.125
2004-02-13,8.12
2004-02-16,8.11
2004-02-17,8.11
2004-02-18,8.11
2004-02-19,8.11
2004-02-20,8.12
2004-02-23,8.13
2004-02-24,8.13
2004-02-25,8.12178
2004-02-26,8.11009
2004-02-27,8.11535
2004-03-01,8.11414
2004-03-02,8.11
2004-03-03,8.12
2004-03-04,8.12
2004-03-05,8.12
2004-03-08,8.12
2004-03-09,8.10107
2004-03-10,8.1025
2004-03-11,8.09587
2004-03-12,8.09152
2004-03-15,8.11
2004-03-16,8.10002
2004-03-17,8.11114
2004-03-18,8.12
2004-03-19,8.11159
2004-03-22,8.10577
2004-03-23,8.10824
2004-03-24,8.10605
2004-03-25,8.09578
2004-03-26,8.115
2004-03-29,8.10568
2004-03-30,8.115
2004-03-31,8.115
2004-04-01,8.10334
2004-04-02,8.10148
2004-04-05,8.09161
2004-04-06,8.0775
2004-04-07,8.075
2004-04-08,8.075
2004-04-12,8.0725
2004-04-13,8.06552
2004-04-14,8.0775
2004-04-15,8.06929
2004-04-16,8.07189
2004-04-19,8.07
2004-04-20,8.0613
2004-04-21,8.05601
2004-04-22,8.05875
2004-04-23,8.045
2004-04-26,8.0475
2004-04-27,8.03
2004-04-28,8.00375
2004-04-29,8.00125
2004-04-30,7.99625
2004-05-03,7.9925
2004-05-04,8.0055
2004-05-05,8.0025
2004-05-06,8.0025
2004-05-07,8.0052
2004-05-10,8.005
2004-05-11,8.005
2004-05-12,8.0
2004-05-13,7.9955
2004-05-14,7.9925
2004-05-17,7.9955
2004-05-18,7.995
