DATE,GLOBAL_CURNCY_MXN
2002-01-01,9.153
2002-01-02,9.106
2002-01-03,9.119
2002-01-04,9.1665
2002-01-07,9.158
2002-01-08,9.1878
2002-01-09,9.219
2002-01-10,9.2765
2002-01-11,9.202
2002-01-14,9.2235
2002-01-15,9.1745
2002-01-16,9.185
2002-01-17,9.115
2002-01-18,9.1225
2002-01-21,9.1325
2002-01-22,9.149
2002-01-23,9.1365
2002-01-24,9.1285
2002-01-25,9.1447
2002-01-28,9.1693
2002-01-29,9.2175
2002-01-30,9.1505
2002-01-31,9.1475
2002-02-01,9.1595
2002-02-04,9.1625
2002-02-05,9.1238
2002-02-06,9.1075
2002-02-07,9.1551
2002-02-08,9.072
2002-02-11,9.0925
2002-02-12,9.0635
2002-02-13,9.07
2002-02-14,9.0805
2002-02-15,9.0595
2002-02-18,9.065
2002-02-19,9.088
2002-02-20,9.0725
2002-02-21,9.0875
2002-02-22,9.095
2002-02-25,9.0665
2002-02-26,9.096
2002-02-27,9.096
2002-02-28,9.119
2002-03-01,9.0864
2002-03-04,9.0945
2002-03-05,9.075
2002-03-06,9.0813
2002-03-07,9.076
2002-03-08,9.0743
2002-03-11,9.0635
2002-03-12,9.1015
2002-03-13,9.1
2002-03-14,9.1155
2002-03-15,9.0795
2002-03-18,9.0725
2002-03-19,9.0665
2002-03-20,9.0695
2002-03-21,9.045
2002-03-22,9.048
2002-03-25,9.011
2002-03-26,9.033
2002-03-27,9.0025
2002-03-28,9.003
2002-03-29,9.035
2002-04-01,9.002
2002-04-02,9.044
2002-04-03,9.039
2002-04-04,9.04
2002-04-05,9.0065
2002-04-08,9.026
2002-04-09,9.0275
2002-04-10,9.05
2002-04-11,9.0995
2002-04-12,9.1525
2002-04-15,9.1745
2002-04-16,9.162
2002-04-17,9.24
2002-04-18,9.235
2002-04-19,9.2725
2002-04-22,9.255
2002-04-23,9.268
2002-04-24,9.2845
2002-04-25,9.3275
2002-04-26,9.325
2002-04-29,9.3685
2002-04-30,9.395
2002-05-01,9.4095
2002-05-02,9.4655
