DATE,GLOBAL_NPK_PRICE
2020-01-03,100.0
2020-01-10,100.5
2020-01-17,95.93
2020-01-24,96.51
2020-01-31,95.17
2020-02-07,94.35
2020-02-14,93.11
2020-02-21,95.82
2020-02-28,95.82
2020-03-06,97.86
2020-03-13,98.4
2020-03-20,94.91
2020-03-27,93.44
2020-04-03,92.58
2020-04-10,91.95
2020-04-17,89.53
2020-04-24,87.83
2020-05-01,86.98
2020-05-08,86.57
2020-05-15,88.22
2020-05-22,87.85
2020-05-29,88.34
2020-06-05,88.6
2020-06-12,92.18
2020-06-19,92.4
2020-06-26,92.09
2020-07-03,94.23
2020-07-10,95.3
2020-07-17,95.66
2020-07-24,95.75
2020-07-31,97.47
2020-08-07,97.9
2020-08-14,100.4
2020-08-21,100.42
2020-08-28,99.23
2020-09-04,101.66
2020-09-11,101.07
2020-09-18,101.19
2020-09-25,102.38
2020-10-02,103.13
2020-10-09,104.52
2020-10-16,103.66
2020-10-23,104.14
2020-10-30,103.66
2020-11-06,103.52
2020-11-13,103.34
2020-11-20,101.07
2020-11-27,103.87
2020-12-04,104.16
2020-12-11,105.48
2020-12-18,105.1
2020-12-25,105.1
2021-01-01,118.36
2021-01-08,119.08
2021-01-15,123.53
2021-01-22,131.12
2021-01-29,137.5
2021-02-05,149.23
2021-02-12,155.59
2021-02-19,154.49
2021-02-26,156.22
2021-03-05,162.83
2021-03-12,165.69
2021-03-19,164.74
2021-03-26,166.82
2021-04-02,168.78
2021-04-09,166.92
2021-04-16,162.95
2021-04-23,164.32
2021-04-30,167.26
2021-05-07,168.1
2021-05-14,174.03
2021-05-21,180.57
2021-05-28,183.99
2021-06-04,187.74
2021-06-11,203.84
2021-06-18,222.92
2021-06-25,224.36
2021-07-02,238.37
2021-07-09,251.63
2021-07-16,250.97
2021-07-23,249.44
2021-07-30,258.17
2021-08-06,258.03
2021-08-13,258.48
2021-08-20,255.02
2021-08-27,257.13
2021-09-03,259.26
2021-09-10,263.11
2021-09-17,266.67
2021-09-24,282.85
2021-10-01,284.67
2021-10-08,305.1
2021-10-15,310.35
