DATE,GLOBAL_PALM_OIL_PRICE
2019-12-16,765.0
2019-12-17,765.0
2019-12-18,785.0
2019-12-19,785.0
2019-12-20,802.5
2019-12-23,820.0
2019-12-24,820.0
2019-12-26,820.0
2019-12-27,820.0
2019-12-30,834.0
2019-12-31,834.0
2020-01-02,845.0
2020-01-03,845.0
2020-01-06,845.0
2020-01-07,857.5
2020-01-08,855.0
2020-01-09,852.5
2020-01-10,857.5
2020-01-13,862.5
2020-01-14,855.0
2020-01-15,855.0
2020-01-16,830.0
2020-01-17,830.0
2020-01-20,812.5
2020-01-21,812.5
2020-01-22,810.0
2020-01-23,832.5
2020-01-24,830.0
2020-01-28,830.0
2020-01-29,772.5
2020-01-30,772.5
2020-02-03,760.0
2020-02-04,760.0
2020-02-05,760.0
2020-02-06,780.0
2020-02-07,785.0
2020-02-10,770.0
2020-02-11,757.5
2020-02-12,745.0
2020-02-13,745.0
2020-02-14,725.0
2020-02-17,730.0
2020-02-18,730.0
2020-02-19,725.0
2020-02-20,712.5
2020-02-21,712.5
2020-02-24,720.0
2020-02-25,690.0
2020-02-26,665.0
2020-02-27,665.0
2020-02-28,665.0
2020-03-02,665.0
2020-03-03,665.0
2020-03-04,635.0
2020-03-05,665.0
2020-03-06,672.5
2020-03-09,657.5
2020-03-10,622.5
2020-03-11,625.0
2020-03-12,620.0
2020-03-13,605.0
2020-03-16,605.0
2020-03-17,605.0
2020-03-18,597.5
2020-03-19,597.5
2020-03-20,597.5
2020-03-23,597.5
2020-03-24,597.5
2020-03-25,615.0
2020-03-26,680.0
2020-03-27,610.0
2020-03-30,660.0
2020-03-31,680.0
2020-04-01,680.0
2020-04-02,670.0
2020-04-03,615.0
2020-04-06,615.0
2020-04-07,610.0
2020-04-08,615.0
2020-04-09,625.0
2020-04-13,595.0
2020-04-14,595.0
2020-04-15,560.0
2020-04-16,545.0
2020-04-17,535.0
2020-04-20,535.0
2020-04-21,545.0
2020-04-22,520.0
2020-04-23,505.0
2020-04-24,510.0
2020-04-27,520.0
2020-04-28,520.0
2020-04-29,520.0
2020-04-30,520.0
2020-05-04,540.0
2020-05-05,525.0
2020-05-06,525.0
2020-05-08,510.0
2020-05-11,527.5
2020-05-12,527.5
2020-05-13,495.0
2020-05-14,500.0
2020-05-15,505.0
2020-05-18,116.0
2020-05-19,525.0
2020-05-20,532.5
2020-05-21,530.0
2020-05-22,550.0
2020-05-26,535.0
2020-05-27,535.0
2020-05-28,570.0
2020-05-29,557.5
2020-06-01,552.5
2020-06-02,562.5
2020-06-03,610.0
2020-06-04,600.0
2020-06-05,577.5
2020-06-08,582.5
2020-06-09,582.5
2020-06-10,590.0
2020-06-11,585.0
2020-06-12,580.0
2020-06-15,580.0
2020-06-16,580.0
2020-06-17,597.5
2020-06-18,602.5
2020-06-19,597.5
2020-06-22,620.0
2020-06-23,617.5
2020-06-24,622.5
2020-06-25,615.0
2020-06-26,600.0
2020-06-29,582.5
2020-06-30,582.5
2020-07-01,582.5
2020-07-02,585.0
2020-07-03,600.0
2020-07-06,600.0
