DATE,GLOBAL_PHOSPHATE_PRICE
2013-01-07,515.0
2013-01-14,515.0
2013-01-21,510.0
2013-01-28,507.5
2013-02-04,507.5
2013-02-11,515.0
2013-02-18,515.0
2013-02-25,515.0
2013-03-04,515.0
2013-03-11,515.0
2013-03-18,525.0
2013-03-25,525.0
2013-04-01,544.5
2013-04-08,544.5
2013-04-15,544.5
2013-04-22,527.5
2013-04-29,527.5
2013-05-06,515.0
2013-05-13,515.0
2013-05-20,515.0
2013-05-27,515.0
2013-06-03,515.0
2013-06-10,515.0
2013-06-17,515.0
2013-06-24,506.5
2013-07-01,506.5
2013-07-08,506.5
2013-07-15,492.5
2013-07-22,492.5
2013-07-29,492.5
2013-08-05,492.5
2013-08-12,482.5
2013-08-19,472.5
2013-08-26,452.5
2013-09-02,450.0
2013-09-09,447.5
2013-09-16,450.0
2013-09-23,415.0
2013-09-30,410.0
2013-10-14,415.0
2013-10-21,402.5
2013-10-28,402.5
2013-11-04,402.5
2013-11-11,397.5
2013-11-18,397.5
2013-11-25,397.5
2013-12-02,397.5
2013-12-09,397.5
2013-12-16,425.0
2013-12-23,425.0
2014-01-06,435.0
2014-01-13,455.0
2014-01-20,475.0
2014-01-27,500.0
2014-02-03,497.5
2014-02-10,500.0
2014-02-17,525.0
2014-02-24,523.5
2014-03-03,523.5
2014-03-10,525.0
2014-03-17,522.5
2014-03-24,517.5
2014-03-31,500.0
2014-04-07,492.5
2014-04-14,490.0
2014-04-21,491.5
2014-04-28,478.5
2014-05-05,472.5
2014-05-12,470.0
2014-05-19,465.0
2014-05-26,459.5
2014-06-02,457.5
2014-06-09,487.5
2014-06-16,492.5
2014-06-23,492.5
2014-06-30,492.5
2014-07-07,525.0
2014-07-14,542.5
2014-07-21,541.5
2014-07-28,541.5
2014-08-04,527.0
2014-08-11,527.0
2014-08-18,515.0
2014-08-25,522.5
2014-09-01,517.5
2014-09-08,512.5
2014-09-15,512.5
2014-09-22,507.5
2014-09-29,501.5
2014-10-06,495.0
2014-10-13,485.0
2014-10-20,492.5
2014-10-27,492.5
2014-11-03,480.0
2014-11-10,480.0
2014-11-17,477.5
2014-11-24,470.0
2014-12-01,466.5
2014-12-08,467.5
2014-12-15,482.5
2014-12-22,486.5
2015-01-05,491.5
2015-01-12,500.0
2015-01-19,507.5
2015-01-26,508.5
2015-02-02,502.5
2015-02-09,507.5
2015-02-16,507.5
2015-02-23,493.0
2015-03-02,493.0
2015-03-09,490.0
2015-03-16,477.5
2015-03-23,475.0
2015-03-30,486.0
2015-04-06,481.0
2015-04-13,481.0
2015-04-20,467.5
2015-04-27,462.5
2015-05-04,475.0
2015-05-11,495.0
2015-05-18,495.0
2015-05-25,495.0
2015-06-01,495.0
2015-06-08,500.0
2015-06-15,500.0
2015-06-22,497.5
2015-06-29,497.5
2015-07-06,482.5
2015-07-13,482.5
2015-07-20,482.5
2015-07-27,480.0
2015-08-03,477.5
2015-08-10,482.5
2015-08-17,480.0
2015-08-24,480.0
2015-08-31,480.0
2015-09-07,480.0
2015-09-14,470.0
2015-09-21,467.5
2015-09-28,460.0
2015-10-05,457.5
2015-10-12,457.5
2015-10-19,452.5
2015-10-26,450.0
2015-11-02,435.0
2015-11-09,435.0
2015-11-16,421.5
2015-11-23,420.0
2015-11-30,410.0
2015-12-07,380.0
2015-12-14,377.5
2015-12-21,377.5
2016-01-01,377.5
2016-01-08,377.5
2016-01-15,377.5
2016-01-22,372.5
2016-01-29,340.0
2016-02-05,332.5
2016-02-12,332.5
2016-02-19,327.5
2016-02-26,355.0
2016-03-04,362.5
2016-03-11,362.5
2016-03-18,362.5
2016-03-25,362.5
2016-04-01,357.5
2016-04-08,357.5
2016-04-15,357.5
2016-04-22,355.0
2016-04-29,355.0
2016-05-06,352.5
2016-05-13,352.5
2016-05-20,351.5
2016-05-27,351.5
2016-06-03,351.5
2016-06-10,351.5
2016-06-17,351.5
2016-06-24,351.5
2016-07-01,351.5
2016-07-08,352.5
2016-07-15,352.5
2016-07-22,351.0
2016-07-29,351.0
2016-08-05,353.5
2016-08-12,355.0
2016-08-19,356.5
2016-08-26,356.5
2016-09-02,356.5
2016-09-09,355.5
2016-09-16,355.5
2016-09-23,355.5
2016-09-30,355.5
2016-10-07,355.5
2016-10-14,352.5
2016-10-21,347.5
2016-10-28,345.0
2016-11-04,342.5
2016-11-11,337.5
2016-11-18,332.5
2016-11-25,332.5
2016-12-02,332.5
2016-12-09,327.5
2016-12-16,327.5
2016-12-23,327.5
2017-01-06,332.5
2017-01-13,340.0
2017-01-20,347.5
2017-01-27,347.5
2017-02-03,352.5
2017-02-10,377.5
2017-02-17,389.0
2017-02-24,389.0
2017-03-03,391.5
2017-03-10,397.5
2017-03-17,397.5
2017-03-24,390.0
2017-03-31,382.5
2017-04-07,380.0
2017-04-14,380.0
2017-04-21,377.5
2017-04-28,375.0
2017-05-05,367.5
2017-05-12,362.5
2017-05-19,360.0
2017-05-26,372.5
2017-06-02,375.0
2017-06-09,372.5
2017-06-16,363.5
2017-06-23,362.5
2017-06-30,361.0
2017-07-07,360.0
2017-07-14,356.5
2017-07-21,352.5
2017-07-28,347.5
2017-08-04,345.0
2017-08-11,342.5
2017-08-18,342.5
2017-08-25,342.5
2017-09-01,345.0
2017-09-08,346.0
2017-09-15,348.0
2017-09-22,355.0
2017-09-29,357.5
2017-10-06,355.0
2017-10-13,362.5
2017-10-20,365.0
2017-10-27,365.0
2017-11-03,365.0
2017-11-10,375.0
2017-11-17,375.0
2017-11-24,387.5
2017-12-01,402.5
2017-12-08,402.5
2017-12-15,402.5
2017-12-22,402.5
2018-01-05,402.5
2018-01-12,405.0
2018-01-19,412.5
2018-01-26,412.5
2018-02-02,422.5
2018-02-09,427.5
2018-02-16,427.5
2018-02-23,430.0
2018-03-02,430.0
2018-03-09,432.5
2018-03-16,432.5
2018-03-23,427.5
2018-03-30,425.0
2018-04-06,421.0
