DATE,GLOBAL_POTASH_PRICE
2013-07-22,405.0
2013-07-29,405.0
2013-08-05,405.0
2013-08-12,405.0
2013-08-19,400.0
2013-08-26,400.0
2013-09-02,375.0
2013-09-09,375.0
2013-09-16,375.0
2013-09-23,355.0
2013-09-30,355.0
2013-10-07,345.0
2013-10-14,345.0
2013-10-21,345.0
2013-10-28,345.0
2013-11-04,345.0
2013-11-11,345.0
2013-11-18,345.0
2013-11-25,325.0
2013-12-02,325.0
2013-12-09,325.0
2013-12-16,315.0
2013-12-23,315.0
2014-01-06,315.0
2014-01-13,315.0
2014-01-20,315.0
2014-01-27,315.0
2014-02-03,315.0
2014-02-10,335.0
2014-02-17,335.0
2014-02-24,335.0
2014-03-03,345.0
2014-03-10,345.0
2014-03-17,345.0
2014-03-24,355.0
2014-03-31,355.0
2014-04-07,355.0
2014-04-14,355.0
2014-04-21,355.0
2014-04-28,355.0
2014-05-05,355.0
2014-05-12,355.0
2014-05-19,355.0
2014-05-26,355.0
2014-06-02,355.0
2014-06-09,355.0
2014-06-16,355.0
2014-06-23,355.0
2014-06-30,355.0
2014-07-07,355.0
2014-07-14,355.0
2014-07-21,355.0
2014-07-28,355.0
2014-08-04,355.0
2014-08-11,355.0
2014-08-18,355.0
2014-08-25,355.0
2014-09-01,355.0
2014-09-08,355.0
2014-09-15,355.0
2014-09-22,355.0
2014-09-29,355.0
2014-10-06,355.0
2014-10-13,375.0
2014-10-20,375.0
2014-10-27,375.0
2014-11-03,375.0
2014-11-10,375.0
2014-11-17,375.0
2014-11-24,375.0
2014-12-01,375.0
2014-12-08,375.0
2014-12-15,375.0
2014-12-22,365.0
2015-01-05,365.0
2015-01-12,365.0
2015-01-19,365.0
2015-01-26,365.0
2015-02-02,365.0
2015-02-09,365.0
2015-02-16,365.0
2015-02-23,365.0
2015-03-02,365.0
2015-03-09,355.0
2015-03-16,355.0
2015-03-23,350.0
2015-03-30,342.5
2015-04-06,342.5
2015-04-13,342.5
2015-04-20,342.5
2015-04-27,342.5
2015-05-04,332.5
2015-05-11,332.5
2015-05-18,335.0
2015-05-25,335.0
2015-06-01,335.0
2015-06-08,332.5
2015-06-15,332.5
2015-06-22,332.5
2015-06-29,332.5
2015-07-06,332.5
2015-07-13,332.5
2015-07-20,332.5
2015-07-27,332.5
2015-08-03,332.5
2015-08-10,332.5
2015-08-17,320.0
2015-08-24,312.5
2015-08-31,307.5
2015-09-07,307.5
2015-09-14,305.0
2015-09-21,305.0
2015-09-28,305.0
2015-10-05,302.5
2015-10-12,302.5
2015-10-19,300.0
2015-10-26,300.0
2015-11-02,297.5
2015-11-09,295.0
2015-11-16,285.0
2015-11-30,285.0
2015-12-07,272.5
2015-12-14,272.5
2015-12-21,272.5
2016-01-01,257.5
2016-01-08,257.5
2016-01-15,257.5
2016-01-22,257.5
2016-01-29,257.5
2016-02-05,257.5
2016-02-12,252.5
2016-02-19,252.5
2016-02-26,252.5
2016-03-04,252.5
2016-03-11,252.5
2016-03-18,230.0
2016-03-25,230.0
2016-04-08,230.0
2016-04-15,230.0
2016-04-22,230.0
2016-05-06,230.0
2016-05-13,225.0
2016-05-20,225.0
2016-05-27,225.0
2016-06-03,225.0
2016-06-10,225.0
2016-06-17,220.0
2016-06-24,220.0
2016-07-01,220.0
2016-07-08,220.0
2016-07-15,222.5
2016-07-22,222.5
2016-07-29,222.5
2016-08-05,225.0
2016-08-12,235.0
2016-08-19,237.5
2016-08-26,237.5
2016-09-02,237.5
2016-09-09,237.5
2016-09-16,237.5
2016-09-23,237.5
2016-09-30,237.5
2016-10-07,237.5
2016-10-14,237.5
2016-10-21,237.5
2016-10-28,237.5
2016-11-04,237.5
2016-11-11,237.5
2016-11-18,237.5
2016-11-25,237.5
2016-12-02,237.5
2016-12-09,237.5
2016-12-16,237.5
2016-12-23,237.5
2017-01-06,237.5
2017-01-13,242.5
2017-01-20,242.5
2017-01-27,242.5
2017-02-03,242.5
2017-02-10,245.0
2017-02-17,245.0
2017-02-24,245.0
2017-03-03,247.5
2017-03-10,247.5
2017-03-17,251.5
2017-03-24,251.5
2017-03-31,255.0
2017-04-07,255.0
2017-04-14,255.0
2017-04-21,260.0
2017-04-28,260.0
2017-05-05,262.5
2017-05-12,262.5
2017-05-19,264.0
2017-05-26,264.0
2017-06-02,264.0
2017-06-09,264.0
2017-06-16,264.0
2017-06-23,264.0
2017-06-30,264.0
2017-07-07,262.5
2017-07-14,262.5
2017-07-21,262.5
2017-07-28,265.0
2017-08-04,267.5
2017-08-11,267.5
2017-08-18,267.5
2017-08-25,267.5
2017-09-01,267.5
2017-09-08,270.0
2017-09-15,270.0
2017-09-22,272.5
2017-09-29,272.5
2017-10-06,275.0
2017-10-13,275.0
2017-10-20,280.0
2017-10-27,280.0
2017-11-03,282.5
2017-11-10,282.5
2017-11-17,282.5
2017-11-24,282.5
2017-12-01,290.0
2017-12-08,290.0
2017-12-15,290.0
2017-12-22,290.0
2018-01-05,290.0
2018-01-12,290.0
2018-01-19,290.0
2018-01-26,290.0
2018-02-02,290.0
2018-02-09,295.0
2018-02-16,295.0
2018-02-23,295.0
2018-03-02,295.0
2018-03-09,297.5
2018-03-16,297.5
2018-03-23,300.0
2018-03-30,300.0
2018-04-06,300.0
2018-04-13,300.0
2018-04-20,300.0
2018-04-27,301.0
2018-05-04,305.0
2018-05-11,305.0
2018-05-18,307.5
2018-05-25,307.5
2018-06-01,312.5
2018-06-08,315.0
2018-06-15,320.0
2018-06-22,320.0
2018-06-29,320.0
2018-07-06,320.0
2018-07-13,322.5
2018-07-20,330.0
2018-07-27,330.0
2018-08-03,330.0
2018-08-10,334.0
2018-08-17,336.0
2018-08-24,337.5
2018-08-31,340.0
2018-09-07,340.0
2018-09-14,340.0
2018-09-21,340.0
2018-09-28,350.0
2018-10-05,360.0
2018-10-12,360.0
2018-10-19,360.0
2018-10-26,360.0
2018-11-02,360.0
2018-11-09,360.0
2018-11-16,360.0
2018-11-23,360.0
2018-11-30,360.0
2018-12-07,360.0
2018-12-14,356.0
2018-12-21,356.0
2019-01-04,355.0
2019-01-11,355.0
2019-01-18,355.0
2019-01-25,355.0
2019-02-01,355.0
2019-02-08,355.0
2019-02-15,355.0
2019-02-22,355.0
2019-03-01,355.0
2019-03-08,355.0
2019-03-15,355.0
2019-03-22,355.0
2019-03-29,355.0
2019-04-05,355.0
2019-04-12,352.5
2019-04-19,355.0
2019-04-26,355.0
2019-05-03,355.0
2019-05-10,355.0
2019-05-17,347.5
2019-05-24,347.5
2019-05-31,347.5
2019-06-07,347.5
2019-06-14,347.5
2019-06-21,345.0
2019-06-28,342.5
2019-07-05,342.5
2019-07-12,342.5
2019-07-19,342.5
2019-07-26,338.5
2019-08-02,322.5
2019-08-09,322.5
2019-08-16,322.5
2019-08-23,317.5
2019-08-30,317.5
2019-09-06,317.5
2019-09-13,312.5
2019-09-20,312.5
2019-09-27,307.5
2019-10-04,307.5
2019-10-11,307.5
2019-10-18,307.5
2019-10-25,307.5
2019-11-01,307.5
2019-11-08,290.0
2019-11-15,290.0
2019-11-22,290.0
2019-11-29,290.0
2019-12-06,290.0
2019-12-13,290.0
2019-12-20,290.0
2020-01-03,290.0
2020-01-10,290.0
2020-01-17,258.5
2020-01-24,257.5
2020-01-31,247.5
2020-02-07,248.5
2020-02-14,240.0
2020-02-21,242.5
2020-02-28,242.5
2020-03-06,242.5
2020-03-13,242.5
2020-03-20,227.5
2020-03-27,227.5
2020-04-03,222.5
2020-04-10,227.5
2020-04-17,217.5
2020-04-24,214.0
2020-05-01,212.5
2020-05-08,218.0
2020-05-15,225.5
2020-05-22,227.5
2020-05-29,227.5
2020-06-05,220.0
2020-06-12,227.5
2020-06-19,227.5
2020-06-26,230.0
2020-07-03,237.5
2020-07-10,237.5
2020-07-17,237.5
2020-07-24,237.5
2020-07-31,237.5
2020-08-07,240.0
2020-08-14,237.5
2020-08-21,241.5
2020-08-28,242.5
2020-09-04,247.5
2020-09-11,247.5
2020-09-18,245.0
2020-09-25,251.0
2020-10-02,250.0
2020-10-09,257.5
2020-10-16,252.5
2020-10-23,257.5
2020-10-30,257.5
2020-11-06,257.5
2020-11-13,257.5
2020-11-20,240.0
2020-11-27,245.0
2020-12-04,242.5
2020-12-11,250.0
2020-12-18,246.5
2021-01-01,247.5
2021-01-08,247.5
2021-01-15,260.0
2021-01-22,262.5
2021-01-29,260.0
2021-02-05,287.5
2021-02-12,292.5
2021-02-19,292.5
2021-02-26,290.0
2021-03-05,312.5
2021-03-12,321.0
2021-03-19,317.5
2021-03-26,332.5
2021-04-02,340.0
2021-04-09,340.0
2021-04-16,340.0
2021-04-23,352.5
2021-04-30,355.0
2021-05-07,360.0
2021-05-14,372.5
2021-05-21,387.5
2021-05-28,392.5
2021-06-04,397.5
2021-06-11,435.0
2021-06-18,507.5
2021-06-25,510.0
2021-07-02,575.0
2021-07-09,640.0
2021-07-16,635.0
2021-07-23,630.0
2021-07-30,685.0
2021-08-06,685.0
2021-08-13,700.0
2021-08-20,690.0
2021-08-27,705.0
2021-09-03,725.0
2021-09-10,735.0
2021-09-17,735.0
2021-09-24,750.0
2021-10-01,757.5
2021-10-08,780.0
2021-10-15,780.0
2021-10-22,800.0
2021-10-29,792.5
2021-11-05,795.0
2021-11-12,805.0
2021-11-19,815.0
2021-11-26,812.5
2021-12-03,800.0
2021-12-10,810.0
2021-12-17,812.5
2022-01-07,795.0
2022-01-14,780.0
2022-01-21,790.0
2022-01-28,777.5
2022-02-04,782.5
2022-02-11,792.5
2022-02-18,792.5
2022-02-25,800.0
2022-03-04,800.0
2022-03-11,1010.0
2022-03-18,1050.0
2022-03-25,1050.0
2022-04-01,1175.0
2022-04-08,1200.0
2022-04-15,1225.0
2022-04-22,1200.0
2022-04-29,1210.0
2022-05-06,1185.0
2022-05-13,1182.5
2022-05-20,1162.5
2022-05-27,1150.0
2022-06-03,1150.0
2022-06-10,1092.5
2022-06-17,1090.0
2022-06-24,1075.0
2022-07-01,1050.0
2022-07-08,1025.0
2022-07-15,1015.0
2022-07-22,1000.0
2022-07-29,975.0
2022-08-05,935.0
2022-08-12,915.0
2022-08-19,875.0
2022-08-26,830.0
2022-09-02,830.0
2022-09-09,775.0
2022-09-16,725.0
2022-09-23,665.0
2022-09-30,660.0
2022-10-07,650.0
2022-10-14,635.0
2022-10-21,610.0
2022-10-28,595.0
2022-11-04,600.0
2022-11-11,570.0
2022-11-18,552.5
2022-11-25,530.0
2022-12-02,515.0
2022-12-09,530.0
2022-12-16,510.0
2022-12-23,500.0
2023-01-06,505.0
2023-01-13,510.0
2023-01-20,510.0
2023-01-27,510.0
2023-02-03,510.0
2023-02-10,502.5
2023-02-17,495.0
2023-02-24,480.0
2023-03-03,480.0
2023-03-10,460.0
2023-03-17,455.0
2023-03-24,450.0
2023-03-31,420.0
2023-04-07,420.0
2023-04-14,415.0
2023-04-21,405.0
2023-04-28,390.0
2023-05-05,385.0
2023-05-12,380.0
2023-05-19,370.0
2023-05-26,355.0
2023-06-02,345.0
2023-06-09,340.0
2023-06-16,325.0
2023-06-23,310.0
2023-06-30,320.0
2023-07-07,335.0
2023-07-14,345.0
2023-07-21,340.0
2023-07-28,345.0
2023-08-04,352.5
2023-08-11,345.0
2023-08-18,360.0
2023-08-25,355.0
2023-09-01,355.0
