DATE,GLOBAL_RICE_PRICE
2002-01-02,3.73
2002-01-03,3.63
2002-01-04,3.63
2002-01-07,3.67
2002-01-08,3.78
2002-01-09,3.77
2002-01-10,3.85
2002-01-11,3.85
2002-01-14,3.7
2002-01-15,3.7
2002-01-16,3.73
2002-01-17,3.67
2002-01-18,3.69
2002-01-23,3.87
2002-01-24,3.835
2002-01-25,3.895
2002-01-28,3.88
2002-01-29,3.82
2002-01-30,3.76
2002-01-31,3.725
2002-02-01,3.65
2002-02-04,3.69
2002-02-05,3.68
2002-02-06,3.66
2002-02-07,3.62
2002-02-08,3.645
2002-02-11,3.7
2002-02-12,3.69
2002-02-13,3.73
2002-02-14,3.72
2002-02-15,3.685
2002-02-19,3.6
2002-02-20,3.625
2002-02-21,3.65
2002-02-22,3.62
2002-02-25,3.65
2002-02-26,3.65
2002-02-27,3.51
2002-02-28,3.53
2002-03-01,3.555
2002-03-04,3.48
2002-03-05,3.47
2002-03-06,3.475
2002-03-07,3.51
2002-03-08,3.59
2002-03-11,3.6
2002-03-12,3.63
2002-03-13,3.625
2002-03-14,3.65
2002-03-15,3.62
2002-03-18,3.52
2002-03-19,3.51
2002-03-20,3.725
2002-03-21,3.81
2002-03-22,3.81
2002-03-25,3.79
2002-03-26,3.735
2002-03-27,3.77
2002-03-28,3.72
2002-04-01,3.73
2002-04-02,3.705
2002-04-03,3.72
2002-04-04,3.74
2002-04-05,3.715
2002-04-08,3.65
2002-04-09,3.685
2002-04-10,3.68
2002-04-11,3.645
2002-04-12,3.67
2002-04-15,3.61
2002-04-16,3.565
2002-04-17,3.705
2002-04-18,3.64
2002-04-19,3.6
2002-04-22,3.59
2002-04-23,3.56
2002-04-24,3.59
2002-04-25,3.585
2002-04-26,3.57
2002-04-29,3.54
2002-04-30,3.505
2002-05-01,3.53
2002-05-02,3.5
2002-05-03,3.45
2002-05-06,3.43
2002-05-07,3.48
2002-05-08,3.52
2002-05-09,3.47
2002-05-10,3.45
2002-05-13,3.51
2002-05-14,3.54
2002-05-15,3.5
2002-05-16,3.48
2002-05-17,3.54
2002-05-20,3.62
2002-05-21,3.62
2002-05-22,3.79
2002-05-23,3.84
2002-05-24,3.88
2002-05-28,3.915
2002-05-29,4.08
2002-05-30,4.205
2002-05-31,4.285
2002-06-03,4.62
2002-06-04,4.335
2002-06-05,4.25
2002-06-06,4.16
2002-06-07,3.97
2002-06-10,3.87
2002-06-11,3.885
2002-06-12,3.91
2002-06-13,3.92
2002-06-14,3.95
2002-06-17,3.98
2002-06-18,3.96
2002-06-19,4.02
2002-06-20,4.005
2002-06-21,3.945
2002-06-24,3.87
2002-06-25,3.855
2002-06-26,3.965
2002-06-27,3.95
2002-06-28,4.08
2002-07-01,4.13
2002-07-02,4.21
2002-07-03,4.18
2002-07-05,4.2
2002-07-08,4.1
2002-07-09,4.21
2002-07-10,4.23
2002-07-11,4.25
2002-07-12,4.23
2002-07-15,4.2
2002-07-16,4.29
2002-07-17,4.38
2002-07-18,4.46
2002-07-19,4.78
2002-07-22,4.68
2002-07-23,4.745
2002-07-24,4.69
2002-07-25,4.56
2002-07-26,4.69
2002-07-29,4.59
2002-07-30,4.6
2002-07-31,4.645
2002-08-01,4.65
2002-08-02,4.53
2002-08-05,4.4
2002-08-06,4.3
2002-08-07,3.995
2002-08-08,4.01
2002-08-09,4.02
2002-08-12,4.11
2002-08-13,4.04
2002-08-14,4.09
2002-08-15,4.07
2002-08-16,4.07
2002-08-19,4.02
2002-08-20,3.95
2002-08-21,4.09
2002-08-22,4.17
2002-08-23,4.12
2002-08-26,4.22
2002-08-27,4.14
2002-08-28,3.99
2002-08-29,3.955
2002-08-30,3.95
2002-09-03,3.95
2002-09-04,3.87
2002-09-05,3.78
2002-09-06,3.735
2002-09-09,3.79
2002-09-10,3.85
2002-09-11,3.92
2002-09-12,3.91
2002-09-13,3.91
2002-09-16,3.91
2002-09-17,3.84
2002-09-18,3.9
2002-09-19,3.88
2002-09-20,3.98
2002-09-23,4.06
2002-09-24,4.185
2002-09-25,4.15
2002-09-26,4.055
2002-09-27,4.08
2002-09-30,4.035
2002-10-01,4.07
2002-10-02,4.08
2002-10-03,4.0
2002-10-04,3.865
2002-10-07,3.85
2002-10-08,3.86
2002-10-09,3.82
2002-10-10,3.84
2002-10-11,3.74
2002-10-14,3.67
2002-10-15,3.73
2002-10-16,3.755
2002-10-17,3.71
2002-10-18,3.7
2002-10-21,3.67
2002-10-22,3.64
2002-10-23,3.68
2002-10-24,3.87
2002-10-25,3.76
2002-10-28,3.705
2002-10-29,3.73
2002-10-30,3.755
2002-10-31,3.74
2002-11-01,3.805
2002-11-04,3.91
2002-11-05,3.87
2002-11-06,3.88
2002-11-07,4.0
2002-11-08,4.02
2002-11-11,3.95
2002-11-12,3.92
2002-11-13,3.86
2002-11-14,3.83
2002-11-15,3.86
2002-11-18,3.91
2002-11-19,3.89
2002-11-20,3.99
2002-11-21,3.97
2002-11-22,3.98
2002-11-25,4.06
2002-11-26,4.0
2002-11-27,4.03
2002-11-29,4.08
2002-12-02,4.035
2002-12-03,3.97
2002-12-04,4.06
2002-12-05,4.035
2002-12-06,4.025
2002-12-09,3.98
2002-12-10,4.04
2002-12-11,4.02
2002-12-12,4.02
2002-12-13,3.995
2002-12-16,3.95
2002-12-17,3.86
2002-12-18,3.84
2002-12-19,3.86
2002-12-20,3.985
2002-12-23,3.95
2002-12-24,3.95
2002-12-26,3.895
2002-12-27,3.825
2002-12-30,3.8
2002-12-31,3.85
2003-01-02,3.94
2003-01-03,3.99
2003-01-06,4.1
2003-01-07,4.07
2003-01-08,4.15
2003-01-09,4.25
2003-01-10,4.15
2003-01-13,4.14
2003-01-14,4.2
2003-01-15,4.21
2003-01-16,4.2
2003-01-21,4.32
2003-01-22,4.3
2003-01-23,4.39
2003-01-24,4.33
2003-01-27,4.37
2003-01-28,4.36
2003-01-29,4.265
2003-01-30,4.345
2003-01-31,4.43
2003-02-03,4.435
2003-02-04,4.515
2003-02-05,4.585
2003-02-06,4.56
2003-02-07,4.63
2003-02-10,4.5
2003-02-11,4.465
2003-02-12,4.405
2003-02-13,4.485
2003-02-14,4.42
2003-02-18,4.39
2003-02-19,4.4
2003-02-20,4.37
2003-02-21,4.58
2003-02-24,4.53
2003-02-25,4.455
2003-02-26,4.545
2003-02-27,4.575
2003-02-28,4.53
2003-03-03,4.54
2003-03-04,4.5
2003-03-05,4.47
2003-03-06,4.47
2003-03-07,4.64
2003-03-10,4.62
2003-03-11,4.7
2003-03-12,4.67
2003-03-13,4.77
2003-03-14,4.72
2003-03-17,4.74
2003-03-18,4.76
2003-03-19,4.89
2003-03-20,4.84
2003-03-21,5.095
2003-03-24,5.06
2003-03-25,5.01
2003-03-26,5.01
2003-03-27,5.04
2003-03-28,5.21
2003-03-31,5.12
2003-04-01,5.225
2003-04-02,5.32
2003-04-03,5.18
2003-04-04,5.335
2003-04-07,5.56
2003-04-08,5.665
2003-04-09,5.89
2003-04-10,5.935
2003-04-11,5.705
2003-04-14,5.73
2003-04-15,5.88
2003-04-16,5.88
2003-04-17,5.94
2003-04-21,5.93
2003-04-22,5.99
2003-04-23,6.01
2003-04-24,6.15
2003-04-25,6.205
2003-04-28,6.45
2003-04-29,6.635
2003-04-30,6.24
2003-05-01,6.255
2003-05-02,6.37
2003-05-05,6.5
2003-05-06,6.56
2003-05-07,6.75
2003-05-08,6.415
2003-05-09,6.3
2003-05-12,6.37
2003-05-13,6.18
2003-05-14,5.95
2003-05-15,6.12
2003-05-16,6.06
2003-05-19,5.86
2003-05-20,5.82
2003-05-21,5.92
2003-05-22,5.855
2003-05-23,5.91
2003-05-27,6.11
2003-05-28,6.1
2003-05-29,5.99
2003-05-30,5.87
2003-06-02,5.84
2003-06-03,5.94
2003-06-04,5.965
2003-06-05,5.885
2003-06-06,5.81
2003-06-09,5.755
2003-06-10,5.775
2003-06-11,5.87
2003-06-12,5.95
2003-06-13,5.915
2003-06-16,5.91
2003-06-17,5.96
2003-06-18,6.185
2003-06-19,6.14
2003-06-20,6.0
2003-06-23,5.86
2003-06-24,5.825
2003-06-25,5.66
2003-06-26,5.52
2003-06-27,5.61
2003-06-30,5.8
2003-07-01,5.85
2003-07-02,5.98
2003-07-03,6.0
2003-07-07,5.92
2003-07-08,5.75
2003-07-09,5.85
2003-07-10,5.8
2003-07-11,6.2
2003-07-14,6.01
2003-07-15,6.22
2003-07-16,6.025
2003-07-17,5.8
2003-07-18,5.9
2003-07-21,6.1
2003-07-22,6.32
2003-07-23,7.435
2003-07-24,7.37
2003-07-25,7.43
2003-07-28,7.545
2003-07-29,7.775
2003-07-30,7.69
2003-07-31,7.44
2003-08-01,7.75
2003-08-04,7.74
2003-08-05,7.61
2003-08-06,7.64
2003-08-07,7.75
2003-08-08,7.87
2003-08-11,7.84
2003-08-12,7.92
2003-08-13,7.795
2003-08-14,7.63
2003-08-15,7.46
2003-08-18,7.49
2003-08-19,7.24
2003-08-20,7.35
2003-08-21,7.49
2003-08-22,7.63
2003-08-25,7.46
2003-08-26,7.42
2003-08-27,7.68
2003-08-28,7.45
2003-08-29,7.45
2003-09-02,7.2
2003-09-03,7.24
2003-09-04,7.35
2003-09-05,7.3
2003-09-08,7.2
2003-09-09,7.23
2003-09-10,7.21
2003-09-11,6.99
2003-09-12,7.2
2003-09-15,7.3
2003-09-16,7.3
2003-09-17,7.39
2003-09-18,7.4
2003-09-19,7.25
2003-09-22,7.47
2003-09-23,7.47
2003-09-24,7.49
2003-09-25,7.43
2003-09-26,7.405
2003-09-29,7.4
2003-09-30,7.31
2003-10-01,7.23
2003-10-02,7.3
2003-10-03,7.305
2003-10-06,7.13
2003-10-07,6.94
2003-10-08,6.97
2003-10-09,6.92
2003-10-10,6.975
2003-10-13,7.07
2003-10-14,7.11
2003-10-15,6.86
2003-10-16,6.94
2003-10-17,7.0
2003-10-20,6.83
2003-10-21,6.82
2003-10-22,7.15
2003-10-23,7.325
2003-10-24,7.21
2003-10-27,7.4
2003-10-28,7.405
2003-10-29,7.435
2003-10-30,7.48
2003-10-31,7.545
2003-11-03,7.6
2003-11-04,7.67
2003-11-05,7.67
2003-11-06,7.65
2003-11-07,7.55
2003-11-10,7.54
2003-11-11,7.59
2003-11-12,7.89
2003-11-13,8.3
2003-11-14,8.095
2003-11-17,8.27
2003-11-18,8.11
2003-11-19,8.125
2003-11-20,8.35
2003-11-21,8.415
2003-11-24,8.34
2003-11-25,8.24
2003-11-26,8.2
2003-11-28,8.41
2003-12-01,8.535
2003-12-02,8.68
2003-12-03,8.755
2003-12-04,8.66
2003-12-05,8.69
2003-12-08,8.69
2003-12-09,8.67
2003-12-10,8.77
2003-12-11,8.705
2003-12-12,8.525
2003-12-15,8.42
2003-12-16,8.545
2003-12-17,8.44
2003-12-18,8.29
2003-12-19,8.33
2003-12-22,8.225
2003-12-23,8.165
2003-12-24,8.35
2003-12-26,8.55
2003-12-29,8.52
2003-12-30,8.5
2003-12-31,8.54
2004-01-02,8.7
2004-01-05,8.755
2004-01-06,8.82
2004-01-07,8.93
2004-01-08,8.94
2004-01-09,8.98
2004-01-12,8.45
2004-01-13,8.34
2004-01-14,8.42
2004-01-15,8.34
2004-01-16,8.33
2004-01-20,8.31
2004-01-21,8.31
2004-01-22,8.41
2004-01-23,8.375
2004-01-26,8.425
2004-01-27,8.19
2004-01-28,7.91
2004-01-29,7.985
2004-01-30,8.06
2004-02-02,7.8
2004-02-03,7.74
2004-02-04,7.73
2004-02-05,7.62
2004-02-06,7.765
2004-02-09,7.875
2004-02-10,7.71
2004-02-11,7.845
2004-02-12,7.84
2004-02-13,7.93
2004-02-17,8.09
2004-02-18,8.24
2004-02-19,8.315
2004-02-20,8.285
2004-02-23,8.36
2004-02-24,8.72
2004-02-25,8.85
2004-02-26,8.7
2004-02-27,8.96
2004-03-01,9.185
2004-03-02,8.98
2004-03-03,9.56
2004-03-04,9.54
2004-03-05,9.7
2004-03-08,10.17
2004-03-09,10.1
2004-03-10,9.92
2004-03-11,9.99
2004-03-12,10.0
2004-03-15,9.96
2004-03-16,10.08
2004-03-17,10.11
2004-03-18,10.06
2004-03-19,9.83
2004-03-22,9.95
2004-03-23,10.13
2004-03-24,10.025
2004-03-25,10.005
2004-03-26,9.625
2004-03-29,9.555
2004-03-30,9.5
2004-03-31,9.45
2004-04-01,9.95
2004-04-02,10.26
2004-04-05,10.1
2004-04-06,9.98
2004-04-07,10.0
2004-04-08,9.87
2004-04-12,9.83
2004-04-13,9.83
2004-04-14,9.91
2004-04-15,9.8
2004-04-16,10.03
2004-04-19,10.08
2004-04-20,10.115
2004-04-21,10.235
2004-04-22,10.4
2004-04-23,10.565
2004-04-26,10.67
2004-04-27,10.665
2004-04-28,10.61
2004-04-29,10.88
2004-04-30,11.3
2004-05-03,11.1
2004-05-04,10.72
2004-05-05,10.7
2004-05-06,11.0
2004-05-07,11.32
2004-05-10,11.23
2004-05-11,11.15
2004-05-12,10.8
2004-05-13,10.55
2004-05-14,10.5
2004-05-17,10.61
2004-05-18,10.41
2004-05-19,10.48
2004-05-20,10.35
2004-05-21,10.48
2004-05-24,10.43
2004-05-25,10.765
2004-05-26,10.48
2004-05-27,10.35
2004-05-28,10.17
2004-06-01,10.17
2004-06-02,10.14
2004-06-03,10.065
2004-06-04,10.01
2004-06-07,10.1
2004-06-08,10.07
2004-06-09,10.03
2004-06-10,10.07
2004-06-11,10.07
2004-06-14,10.12
2004-06-15,10.03
2004-06-16,10.06
2004-06-17,10.1
2004-06-18,9.88
2004-06-21,9.7
2004-06-22,9.5
2004-06-23,9.3
2004-06-24,9.37
2004-06-25,9.33
2004-06-28,9.19
2004-06-29,9.17
2004-06-30,10.06
2004-07-01,9.925
2004-07-02,9.6
2004-07-06,9.5
2004-07-07,10.0
2004-07-08,10.0
2004-07-09,9.8
2004-07-12,9.2
2004-07-13,9.2
2004-07-14,9.3
2004-07-15,9.3
2004-07-16,9.3
2004-07-19,9.5
2004-07-20,9.45
2004-07-21,9.45
2004-07-22,7.4
2004-07-23,7.38
2004-07-26,7.15
2004-07-27,7.185
2004-07-28,7.13
2004-07-29,7.08
2004-07-30,7.09
2004-08-02,7.48
2004-08-03,7.43
2004-08-04,7.36
2004-08-05,7.33
2004-08-06,7.275
2004-08-09,7.73
2004-08-10,7.67
2004-08-11,7.82
2004-08-12,7.74
2004-08-13,7.75
2004-08-16,7.705
2004-08-17,7.73
2004-08-18,7.35
2004-08-19,7.36
2004-08-20,7.48
2004-08-23,7.62
2004-08-24,7.69
2004-08-25,7.65
2004-08-26,7.69
2004-08-27,7.64
2004-08-30,7.95
2004-08-31,7.93
2004-09-01,7.82
2004-09-02,7.72
2004-09-03,7.58
2004-09-07,7.55
2004-09-08,7.75
2004-09-09,7.82
2004-09-10,7.6
2004-09-13,7.74
2004-09-14,7.77
2004-09-15,7.55
2004-09-16,7.48
2004-09-17,7.28
2004-09-20,7.25
2004-09-21,7.25
2004-09-22,7.06
2004-09-23,6.98
2004-09-24,6.84
2004-09-27,6.92
2004-09-28,6.915
2004-09-29,6.89
2004-09-30,7.04
2004-10-01,7.085
2004-10-04,7.05
2004-10-05,7.11
2004-10-06,7.13
2004-10-07,7.01
2004-10-08,6.97
2004-10-11,6.89
2004-10-12,6.7
2004-10-13,6.64
2004-10-14,6.66
2004-10-15,6.8
2004-10-18,6.96
2004-10-19,6.96
2004-10-20,6.95
2004-10-21,6.825
2004-10-22,6.95
2004-10-25,6.89
2004-10-26,6.89
2004-10-27,6.89
2004-10-28,6.73
2004-10-29,6.78
2004-11-01,6.65
2004-11-02,6.68
2004-11-03,6.74
2004-11-04,6.74
2004-11-05,6.7
2004-11-08,6.85
2004-11-09,7.04
2004-11-10,7.1
2004-11-11,7.16
2004-11-12,7.23
2004-11-15,7.23
2004-11-16,7.17
2004-11-17,7.07
2004-11-18,6.99
2004-11-19,7.01
2004-11-22,7.09
2004-11-23,7.155
2004-11-24,7.12
2004-11-26,7.13
2004-11-29,7.13
2004-11-30,7.49
2004-12-01,7.475
2004-12-02,7.575
2004-12-03,7.63
2004-12-06,7.555
2004-12-07,7.37
2004-12-08,7.41
2004-12-09,7.455
2004-12-10,7.35
2004-12-13,7.215
2004-12-14,7.32
2004-12-15,7.31
2004-12-16,7.29
2004-12-17,7.42
2004-12-20,7.59
2004-12-21,7.56
2004-12-22,7.56
2004-12-23,7.63
2004-12-27,7.58
2004-12-28,7.25
2004-12-29,7.15
2004-12-30,7.18
2004-12-31,7.18
2005-01-03,6.86
2005-01-04,6.9
2005-01-05,6.94
2005-01-06,7.06
2005-01-07,7.11
2005-01-10,7.06
2005-01-11,6.93
2005-01-12,6.89
2005-01-13,6.96
2005-01-14,6.95
2005-01-18,6.95
2005-01-19,6.96
2005-01-20,6.96
2005-01-21,7.045
2005-01-24,7.0
2005-01-25,6.93
2005-01-26,6.66
2005-01-27,6.59
2005-01-28,6.555
2005-01-31,6.67
2005-02-01,6.68
2005-02-02,6.65
2005-02-03,6.58
2005-02-04,6.55
2005-02-07,6.58
2005-02-08,6.59
2005-02-09,6.67
2005-02-10,6.73
2005-02-11,6.755
2005-02-14,6.77
2005-02-15,6.715
2005-02-16,6.49
2005-02-17,6.635
2005-02-18,6.55
2005-02-22,6.57
2005-02-23,6.365
2005-02-24,6.26
2005-02-25,6.27
2005-02-28,6.58
2005-03-01,6.6
2005-03-02,6.51
