DATE,GLOBAL_SOY_CRUSH_MARGIN
2006-02-27,57.0
2006-02-28,56.75
2006-03-01,58.25
2006-03-02,61.75
2006-03-03,58.75
2006-03-06,58.25
2006-03-07,62.0
2006-03-08,60.5
2006-03-09,59.625
2006-03-10,60.0
2006-03-13,59.75
2006-03-14,60.0
2006-03-15,59.75
2006-03-16,62.5
2006-03-17,61.5
2006-03-20,60.75
2006-03-21,59.0
2006-03-22,60.25
2006-03-23,61.5
2006-03-24,62.0
2006-03-27,63.0
2006-03-28,63.0
2006-03-29,63.25
2006-03-30,61.75
2006-03-31,63.25
2006-04-03,64.75
2006-04-04,64.25
2006-04-05,63.75
2006-04-06,65.25
2006-04-07,66.5
2006-04-10,64.25
2006-04-11,66.75
2006-04-12,66.75
2006-04-13,66.75
2006-04-17,68.75
2006-04-18,71.25
2006-04-19,74.75
2006-04-20,74.0
2006-04-21,79.25
2006-04-27,69.75
2006-04-28,64.0
2006-05-01,71.75
2006-05-02,70.5
2006-05-03,66.5
2006-05-04,64.75
2006-05-05,67.25
2006-05-08,64.5
2006-05-09,66.25
2006-05-10,65.5
2006-05-11,69.75
2006-05-12,66.25
2006-05-15,66.25
2006-05-16,67.75
2006-05-17,68.0
2006-05-18,69.0
2006-05-19,69.75
2006-05-22,70.5
2006-05-23,71.0
2006-05-24,72.5
2006-05-25,73.5
2006-05-26,75.0
2006-05-30,74.0
2006-05-31,76.5
2006-06-01,75.25
2006-06-02,78.5
2006-06-05,79.75
2006-06-06,79.75
2006-06-07,78.0
2006-06-08,79.5
2006-06-09,76.25
2006-06-12,77.0
2006-06-13,78.0
2006-06-14,77.25
2006-06-15,74.5
2006-06-16,71.25
2006-06-19,73.0
2006-06-20,72.0
2006-06-21,74.5
2006-06-22,74.75
2006-06-23,78.5
2006-06-29,77.75
2006-06-30,78.25
2006-07-03,71.5
2006-07-05,74.25
2006-07-06,74.25
2006-07-07,75.5
2006-07-10,76.0
2006-07-11,75.25
2006-07-12,76.5
2006-07-13,77.75
2006-07-14,77.25
2006-07-17,76.25
2006-07-18,74.75
2006-07-19,72.75
2006-07-20,75.25
2006-07-21,77.25
2006-07-28,73.75
2006-07-31,72.5
2006-08-01,72.5
2006-08-02,71.25
2006-08-03,73.0
2006-08-04,72.25
2006-08-07,75.5
2006-08-08,76.0
2006-08-09,76.75
2006-08-10,75.75
2006-08-11,75.0
2006-08-14,73.5
2006-08-15,74.5
2006-08-16,74.75
2006-08-17,75.0
2006-08-18,77.5
2006-08-21,79.0
2006-08-22,79.25
2006-08-23,79.75
2006-08-24,79.25
2006-08-25,82.25
2006-08-30,70.5
2006-08-31,72.0
2006-09-01,72.5
2006-09-05,72.25
2006-09-06,72.5
2006-09-07,71.75
2006-09-08,73.0
2006-09-11,74.25
2006-09-12,73.75
2006-09-13,76.5
2006-09-14,77.25
2006-09-15,77.0
2006-09-18,78.0
2006-09-19,79.0
2006-09-20,81.25
2006-09-21,79.5
2006-09-22,76.75
2006-09-28,74.25
2006-09-29,78.75
2006-10-02,77.75
2006-10-03,75.75
2006-10-04,74.25
2006-10-05,72.25
2006-10-06,71.5
2006-10-09,74.5
2006-10-10,76.25
2006-10-11,75.0
2006-10-12,75.25
2006-10-13,78.0
2006-10-16,78.0
2006-10-17,79.0
2006-10-18,76.0
2006-10-19,77.0
2006-10-20,78.25
2006-10-23,77.0
2006-10-24,77.75
2006-10-25,77.75
2006-10-26,79.0
2006-10-27,80.0
2006-11-29,72.5
2006-11-30,71.5
2006-12-01,68.25
2006-12-04,72.0
2006-12-05,71.75
2006-12-06,73.25
2006-12-07,73.25
2006-12-08,72.75
2006-12-11,71.25
2006-12-12,70.25
2006-12-13,68.25
2006-12-14,65.75
2006-12-15,63.0
2006-12-18,63.5
2006-12-19,62.5
2006-12-20,66.0
2006-12-21,66.0
2006-12-28,64.0
2006-12-29,62.75
2007-01-02,62.75
2007-01-03,61.25
2007-01-04,65.0
2007-01-05,66.25
2007-01-08,65.25
2007-01-09,65.0
2007-01-10,65.5
2007-01-11,65.5
2007-01-12,65.25
2007-01-16,66.0
2007-01-17,67.0
2007-01-18,65.75
2007-01-19,65.0
2007-01-22,65.5
2007-01-23,64.75
2007-01-24,65.0
2007-01-25,63.0
2007-01-26,61.25
2007-01-29,61.5
2007-01-30,61.5
2007-01-31,59.5
2007-02-01,61.25
2007-02-02,65.25
2007-02-05,64.0
2007-02-06,64.5
2007-02-07,63.75
2007-02-08,64.75
2007-02-09,63.75
2007-02-12,65.0
2007-02-13,65.0
2007-02-14,65.75
2007-02-15,63.75
2007-02-16,62.0
2007-02-20,63.0
2007-02-21,59.0
2007-02-22,58.75
2007-02-23,59.5
2007-02-27,64.25
2007-02-28,58.5
2007-03-01,64.5
2007-03-02,63.25
2007-03-05,64.5
2007-03-06,64.0
2007-03-07,64.75
2007-03-08,63.5
2007-03-09,64.75
2007-03-12,63.75
2007-03-13,65.5
2007-03-14,61.75
2007-03-15,64.0
2007-03-16,64.5
2007-03-19,64.25
2007-03-20,65.5
2007-03-21,64.75
2007-03-22,63.75
2007-03-23,64.5
2007-03-26,63.5
2007-03-27,64.25
2007-03-28,66.0
2007-03-29,65.25
2007-03-30,62.0
2007-04-02,61.5
2007-04-03,64.25
