DATE,GLOBAL_SOY_OIL_PRICE
2002-01-02,15.18
2002-01-03,15.52
2002-01-04,15.81
2002-01-07,16.15
2002-01-08,16.29
2002-01-09,16.15
2002-01-10,15.88
2002-01-11,15.85
2002-01-14,15.77
2002-01-15,15.58
2002-01-16,15.55
2002-01-17,15.52
2002-01-18,15.56
2002-01-22,15.56
2002-01-23,15.53
2002-01-24,15.53
2002-01-25,15.06
2002-01-28,15.12
2002-01-29,15.27
2002-01-30,15.26
2002-01-31,15.14
2002-02-01,15.19
2002-02-04,15.47
2002-02-05,15.67
2002-02-06,15.25
2002-02-07,15.37
2002-02-08,15.33
2002-02-11,15.29
2002-02-12,15.48
2002-02-13,15.66
2002-02-14,15.4
2002-02-15,15.52
2002-02-19,15.77
2002-02-20,15.95
2002-02-21,15.8
2002-02-22,15.69
2002-02-25,15.69
2002-02-26,15.53
2002-02-27,15.32
2002-02-28,15.26
2002-03-01,15.85
2002-03-04,15.7
2002-03-05,16.02
2002-03-06,15.98
2002-03-07,16.08
2002-03-08,16.23
2002-03-11,16.25
2002-03-12,16.35
2002-03-13,16.3
2002-03-14,16.41
2002-03-15,17.08
2002-03-18,16.4
2002-03-19,16.41
2002-03-20,16.09
2002-03-21,16.06
2002-03-22,16.11
2002-03-25,15.9
2002-03-26,15.95
2002-03-27,16.09
2002-03-28,16.46
2002-04-01,16.63
2002-04-02,16.49
2002-04-03,16.23
2002-04-04,16.32
2002-04-05,16.72
2002-04-08,16.41
2002-04-09,16.4
2002-04-10,16.45
2002-04-11,16.51
2002-04-12,16.59
2002-04-15,16.38
2002-04-16,16.52
2002-04-17,16.84
2002-04-18,16.69
2002-04-19,16.92
2002-04-22,16.91
2002-04-23,16.86
2002-04-24,17.01
2002-04-25,16.64
2002-04-26,16.5
2002-04-29,16.17
2002-04-30,16.08
2002-05-01,16.14
2002-05-02,16.17
2002-05-03,16.08
2002-05-06,15.98
2002-05-07,16.25
2002-05-08,16.44
2002-05-09,16.73
2002-05-10,16.68
2002-05-13,16.66
2002-05-14,16.59
2002-05-15,16.83
2002-05-16,16.93
2002-05-17,17.07
2002-05-20,17.49
2002-05-21,17.44
2002-05-22,17.75
2002-05-23,17.87
2002-05-24,17.7
2002-05-28,18.26
2002-05-29,18.06
2002-05-30,18.13
