DATE,GLOBAL_UREA_PRICE
2019-05-10,262.5
2019-05-17,273.5
2019-05-24,273.5
2019-05-31,287.5
2019-06-07,277.5
2019-06-14,287.5
2019-06-21,287.5
2019-06-28,288.5
2019-07-05,289.0
2019-07-12,289.0
2019-07-19,289.0
2019-07-26,282.5
2019-08-02,287.5
2019-08-09,272.5
2019-08-16,272.5
2019-08-23,272.5
2019-08-30,269.0
2019-09-06,275.0
2019-09-13,274.5
2019-09-20,274.5
2019-09-27,277.5
2019-10-04,272.5
2019-10-11,280.0
2019-10-18,277.5
2019-10-25,273.0
2019-11-01,262.5
2019-11-08,256.0
2019-11-15,245.0
2019-11-22,235.0
2019-11-29,229.0
2019-12-06,229.0
2019-12-13,231.5
2019-12-20,242.5
2020-01-03,242.5
2020-01-10,247.5
2020-01-17,252.5
2020-01-24,250.0
2020-01-31,242.5
2020-02-07,232.5
2020-02-14,232.5
2020-02-21,245.0
2020-02-28,245.0
2020-03-06,260.0
2020-03-13,270.0
2020-03-20,270.0
2020-03-27,257.5
2020-04-03,257.5
2020-04-10,242.5
2020-04-17,240.0
2020-04-24,233.5
2020-05-01,227.5
2020-05-08,217.0
2020-05-15,217.5
2020-05-22,212.5
2020-05-29,217.5
2020-06-05,224.0
2020-06-12,242.5
2020-06-19,247.0
2020-06-26,235.0
2020-07-03,243.5
2020-07-10,247.5
2020-07-17,246.5
2020-07-24,247.5
2020-07-31,262.5
2020-08-07,262.5
2020-08-14,287.5
2020-08-21,278.5
2020-08-28,262.5
2020-09-04,276.0
2020-09-11,270.0
2020-09-18,266.5
2020-09-25,263.5
2020-10-02,270.5
2020-10-09,271.5
2020-10-16,271.5
2020-10-23,270.0
2020-10-30,260.5
2020-11-06,260.5
2020-11-13,260.5
2020-11-20,262.5
2020-11-27,277.5
2020-12-04,282.5
2020-12-11,280.5
2020-12-18,280.5
2021-01-01,287.5
2021-01-08,287.5
2021-01-15,297.5
2021-01-22,345.0
2021-01-29,372.5
2021-02-05,387.5
2021-02-12,395.0
2021-02-19,385.0
2021-02-26,387.5
2021-03-05,397.5
2021-03-12,400.0
2021-03-19,404.0
2021-03-26,410.0
2021-04-02,401.5
2021-04-09,380.0
2021-04-16,352.5
2021-04-23,347.5
2021-04-30,370.0
2021-05-07,380.0
2021-05-14,392.5
2021-05-21,415.0
2021-05-28,426.5
2021-06-04,430.0
2021-06-11,467.5
2021-06-18,495.0
2021-06-25,495.0
2021-07-02,502.5
2021-07-09,507.5
2021-07-16,512.5
2021-07-23,505.0
2021-07-30,495.0
2021-08-06,491.5
2021-08-13,482.5
2021-08-20,475.0
2021-08-27,479.0
2021-09-03,470.0
2021-09-10,496.5
2021-09-17,522.5
2021-09-24,640.0
2021-10-01,632.5
2021-10-08,762.5
2021-10-15,815.0
2021-10-22,815.0
2021-10-29,817.5
2021-11-05,837.5
2021-11-12,885.0
2021-11-19,875.0
2021-11-26,915.0
2021-12-03,885.0
2021-12-10,860.0
2021-12-17,842.5
