DATE,GT_CPI
2002-01-31,110.34
2002-02-28,111.31
2002-03-31,112.03
2002-04-30,112.64
2002-05-31,113.04
2002-06-30,113.69
2002-07-31,114.64
2002-08-31,114.61
2002-09-30,114.31
2002-10-31,114.63
2002-11-30,115.15
2002-12-31,115.8
2003-01-31,117.18
2003-02-28,117.99
2003-03-31,118.5
2003-04-30,119.03
2003-05-31,119.33
2003-06-30,119.65
2003-07-31,119.97
2003-08-31,120.3
2003-09-30,120.8
2003-10-31,121.32
2003-11-30,121.87
2003-12-31,122.58
2004-01-31,124.46
2004-02-29,125.38
2004-03-31,126.28
2004-04-30,126.95
2004-05-31,128.0
2004-06-30,128.51
2004-07-31,129.13
2004-08-31,129.51
2004-09-30,130.52
2004-10-31,131.8
2004-11-30,133.11
2004-12-31,133.89
2005-01-31,135.71
2005-02-28,136.71
2005-03-31,137.35
2005-04-30,138.22
2005-05-31,138.91
2005-06-30,139.82
2005-07-31,141.14
2005-08-31,141.65
2005-09-30,142.85
2005-10-31,145.36
2005-11-30,145.42
2005-12-31,145.36
2006-01-31,146.68
2006-02-28,146.64
2006-03-31,147.35
2006-04-30,148.56
2006-05-31,149.49
2006-06-30,150.38
2006-07-31,151.07
2006-08-31,151.56
2006-09-30,150.99
2006-10-31,150.96
2006-11-30,151.82
2006-12-31,153.78
2007-01-31,155.81
2007-02-28,156.35
2007-03-31,157.7
2007-04-30,158.07
2007-05-31,157.66
2007-06-30,158.37
2007-07-31,159.51
2007-08-31,160.97
2007-09-30,162.06
2007-10-31,162.61
2007-11-30,165.68
2007-12-31,167.23
2008-01-31,168.88
2008-02-29,170.05
2008-03-31,172.05
2008-04-30,174.46
2008-05-31,176.96
2008-06-30,179.84
2008-07-31,182.09
2008-08-31,183.0
2008-09-30,182.72
2008-10-31,183.63
2008-11-30,183.65
2008-12-31,182.95
2009-01-31,182.19
2009-02-28,181.1
2009-03-31,180.65
2009-04-30,180.78
2009-05-31,181.02
2009-06-30,180.95
2009-07-31,181.54
2009-08-31,181.66
2009-09-30,182.78
2009-10-31,182.43
2009-11-30,182.53
2009-12-31,182.44
2010-01-31,54.48
2010-02-28,54.72
2010-03-31,55.35
2010-04-30,55.3
2010-05-31,55.24
2010-06-30,55.52
2010-07-31,55.73
2010-08-31,55.75
2010-09-30,55.91
2010-10-31,56.21
2010-11-30,56.64
2010-12-31,56.69
2011-01-31,57.12
2011-02-28,57.56
2011-03-31,58.05
2011-04-30,58.49
2011-05-31,58.77
2011-06-30,59.09
2011-07-31,59.65
2011-08-31,60.0
2011-09-30,59.97
2011-10-31,59.94
2011-11-30,60.07
2011-12-31,60.2
2012-01-31,60.26
2012-02-29,60.56
2012-03-31,60.76
2012-04-30,60.99
2012-05-31,61.06
2012-06-30,61.14
2012-07-31,61.35
2012-08-31,61.63
2012-09-30,61.93
2012-10-31,61.95
2012-11-30,61.94
2012-12-31,62.28
2013-01-31,62.58
2013-02-28,63.09
2013-03-31,63.39
2013-04-30,63.5
2013-05-31,63.67
2013-06-30,64.07
2013-07-31,64.26
2013-08-31,64.35
2013-09-30,64.54
2013-10-31,64.52
2013-11-30,64.81
2013-12-31,65.01
2014-01-31,65.17
2014-02-28,65.31
2014-03-31,65.45
2014-04-30,65.58
2014-05-31,65.72
2014-06-30,66.08
2014-07-31,66.46
2014-08-31,66.73
2014-09-30,66.77
2014-10-31,66.87
2014-11-30,67.0
2014-12-31,66.93
2015-01-31,66.69
2015-02-28,66.9
2015-03-31,67.04
2015-04-30,67.27
2015-05-31,67.4
2015-06-30,67.65
2015-07-31,68.0
2015-08-31,68.04
2015-09-30,68.02
2015-10-31,68.36
2015-11-30,68.68
2015-12-31,68.98
2016-01-31,69.61
2016-02-29,69.76
2016-03-31,69.9
2016-04-30,70.02
2016-05-31,70.34
2016-06-30,70.65
2016-07-31,71.14
2016-08-31,71.27
2016-09-30,71.12
2016-10-31,71.61
2016-11-30,71.89
2016-12-31,71.9
2017-01-31,72.27
2017-02-28,72.52
2017-03-31,72.69
2017-04-30,72.88
2017-05-31,73.11
2017-06-30,73.73
2017-07-31,74.85
2017-08-31,74.63
2017-09-30,74.22
2017-10-31,74.62
2017-11-30,75.27
2017-12-31,75.98
2018-01-31,75.68
2018-02-28,75.53
2018-03-31,75.7
2018-04-30,75.74
2018-05-31,76.09
2018-06-30,76.53
2018-07-31,76.8
2018-08-31,77.14
2018-09-30,77.6
2018-10-31,77.86
2018-11-30,77.63
2018-12-31,77.74
2019-01-31,78.79
2019-02-28,78.89
2019-03-31,78.86
2019-04-30,79.34
2019-05-31,79.55
2019-06-30,80.2
2019-07-31,80.16
2019-08-31,79.47
2019-09-30,79.0
2019-10-31,79.55
2019-11-30,79.9
2019-12-31,80.38
2020-01-31,80.19
