DATE,GT_CPI_FB
2011-04-30,105.01
2011-05-31,105.71
2011-06-30,107.76
2011-07-31,110.66
2011-08-31,112.13
2011-09-30,111.64
2011-10-31,111.38
2011-11-30,111.55
2011-12-31,112.08
2012-01-31,111.91
2012-02-29,112.61
2012-03-31,113.35
2012-04-30,114.03
2012-05-31,114.06
2012-06-30,114.97
2012-07-31,115.74
2012-08-31,116.49
2012-09-30,117.44
2012-10-31,117.76
2012-11-30,118.19
2012-12-31,118.82
2013-01-31,119.84
2013-02-28,121.54
2013-03-31,122.77
2013-04-30,123.24
2013-05-31,123.96
2013-06-30,125.5
2013-07-31,126.05
2013-08-31,126.2
2013-09-30,126.96
2013-10-31,127.01
2013-11-30,129.19
2013-12-31,129.26
2014-01-31,129.7
2014-02-28,130.22
2014-03-31,130.46
2014-04-30,130.71
2014-05-31,131.59
2014-06-30,133.22
2014-07-31,135.04
2014-08-31,137.03
2014-09-30,137.27
2014-10-31,138.27
2014-11-30,139.75
2014-12-31,140.3
2015-01-31,141.0
2015-02-28,141.93
2015-03-31,142.68
2015-04-30,143.78
2015-05-31,144.97
2015-06-30,146.28
2015-07-31,148.1
2015-08-31,148.71
2015-09-30,149.03
2015-10-31,150.93
2015-11-30,152.31
2015-12-31,154.17
2016-01-31,158.16
2016-02-29,158.88
2016-03-31,158.1
2016-04-30,158.23
2016-05-31,159.42
2016-06-30,159.96
2016-07-31,163.01
2016-08-31,163.75
2016-09-30,162.37
2016-10-31,164.86
2016-11-30,166.6
2016-12-31,165.84
2017-01-31,167.01
2017-02-28,168.22
2017-03-31,169.3
2017-04-30,170.07
2017-05-31,171.55
2017-06-30,175.24
2017-07-31,182.46
2017-08-31,180.78
2017-09-30,177.7
2017-10-31,180.28
2017-11-30,182.93
2017-12-31,186.32
2018-01-31,184.48
2018-02-28,182.98
2018-03-31,183.81
2018-04-30,183.6
2018-05-31,184.93
2018-06-30,187.56
2018-07-31,189.09
2018-08-31,191.05
2018-09-30,193.83
2018-10-31,194.59
2018-11-30,193.72
2018-12-31,194.98
2019-01-31,202.48
2019-02-28,202.36
2019-03-31,201.76
2019-04-30,203.33
2019-05-31,203.55
2019-06-30,206.59
2019-07-31,206.24
2019-08-31,202.47
2019-09-30,199.52
2019-10-31,202.75
2019-11-30,204.09
2019-12-31,206.59
2020-01-31,205.13
2020-02-29,203.61
2020-03-31,206.31
2020-04-30,211.2
2020-05-31,213.38
2020-06-30,219.56
2020-07-31,221.19
2020-08-31,222.51
2020-09-30,221.56
2020-10-31,222.8
2020-11-30,225.44
2020-12-31,224.52
2021-01-31,224.0
2021-02-28,224.49
2021-03-31,224.39
2021-04-30,224.86
2021-05-31,224.88
2021-06-30,225.53
2021-07-31,226.66
2021-08-31,227.55
2021-09-30,228.39
2021-10-31,229.2
2021-11-30,230.28
2021-12-31,231.45
2022-01-31,230.94
2022-02-28,231.66
2022-03-31,235.42
2022-04-30,237.5
2022-05-31,241.12
2022-06-30,249.55
2022-07-31,255.47
2022-08-31,257.82
2022-09-30,258.28
2022-10-31,260.36
2022-11-30,258.21
2022-12-31,258.66
2023-01-31,261.69
2023-02-28,267.28
2023-03-31,269.9
2023-04-30,269.08
2023-05-31,268.15
2023-06-30,269.61
2023-07-31,272.16
2023-08-31,274.64
2023-09-30,277.32
2023-10-31,284.2
2023-11-30,280.09
2023-12-31,280.59
