DATE,GT_ECONOMIC_ACTIVITY
2013-02-28,0.37
2013-03-31,0.32
2013-04-30,0.22
2013-05-31,0.06
2013-06-30,0.0
2013-07-31,0.11
2013-08-31,0.26
2013-09-30,0.35
2013-10-31,0.35
2013-11-30,0.34
2013-12-31,0.45
2014-01-31,0.61
2014-02-28,0.71
2014-03-31,0.68
2014-04-30,0.52
2014-05-31,0.28
2014-06-30,0.04
2014-07-31,-0.07
2014-08-31,0.03
2014-09-30,0.27
2014-10-31,0.5
2014-11-30,0.61
2014-12-31,0.59
2015-01-31,0.42
2015-02-28,0.22
2015-03-31,0.12
2015-04-30,0.22
2015-05-31,0.41
2015-06-30,0.6000000000000001
2015-07-31,0.6000000000000001
2015-08-31,0.46
2015-09-30,0.23
2015-10-31,0.0
2015-11-30,-0.2
2015-12-31,-0.3
2016-01-31,-0.17
2016-02-29,0.13
2016-03-31,0.45
2016-04-30,0.59
2016-05-31,0.49
2016-06-30,0.35
2016-07-31,0.27
2016-08-31,0.29
2016-09-30,0.37
2016-10-31,0.45
2016-11-30,0.46
2016-12-31,0.36
2017-01-31,0.27
2017-02-28,0.16
2017-03-31,0.08
2017-04-30,0.09
2017-05-31,0.18
2017-06-30,0.19
2017-07-31,0.15
2017-08-31,0.05
2017-09-30,-0.03
2017-10-31,-0.04
2017-11-30,0.1
2017-12-31,0.37
2018-01-31,0.66
2018-02-28,0.87
2018-03-31,0.92
2018-04-30,0.74
2018-05-31,0.44
2018-06-30,0.07
2018-07-31,-0.15
2018-08-31,-0.24
2018-09-30,-0.27
2018-10-31,-0.2
2018-11-30,0.05
2018-12-31,0.42
2019-01-31,0.8
2019-02-28,1.05
2019-03-31,1.08
2019-04-30,0.8300000000000001
2019-05-31,0.42
2019-06-30,0.08
2019-07-31,-0.18
2019-08-31,-0.23
2019-09-30,-0.06
2019-10-31,0.13
2019-11-30,0.13
2019-12-31,-0.24
2020-01-31,-0.95
2020-02-29,-1.77
2020-03-31,-2.23
2020-04-30,-1.85
2020-05-31,-0.63
2020-06-30,0.99
2020-07-31,2.19
2020-08-31,2.47
2020-09-30,2.03
2020-10-31,1.29
2020-11-30,0.65
2020-12-31,0.36
2021-01-31,0.37
2021-02-28,0.56
2021-03-31,0.73
2021-04-30,0.81
2021-05-31,0.71
2021-06-30,0.42
2021-07-31,0.17
2021-08-31,0.06
2021-09-30,0.1
2021-10-31,0.25
2021-11-30,0.35
2021-12-31,0.37
2022-01-31,0.34
2022-02-28,0.43
2022-03-31,0.58
2022-04-30,0.62
2022-05-31,0.5
2022-06-30,0.25
2022-07-31,0.0
2022-08-31,-0.04
2022-09-30,0.05
2022-10-31,0.17
2022-11-30,0.27
2022-12-31,0.38
2023-01-31,0.49
2023-02-28,0.55
2023-03-31,0.55
2023-04-30,0.44
2023-05-31,0.25
2023-06-30,0.11
