DATE,GT_INFLATION
2002-01-31,8.85
2002-02-28,9.01
2002-03-31,9.13
2002-04-30,9.25
2002-05-31,9.31
2002-06-30,9.14
2002-07-31,9.1
2002-08-31,7.73
2002-09-30,7.1
2002-10-31,6.6
2002-11-30,6.34
2002-12-31,6.33
2003-01-31,6.2
2003-02-28,6.0
2003-03-31,5.78
2003-04-30,5.67
2003-05-31,5.56
2003-06-30,5.24
2003-07-31,4.65
2003-08-31,4.96
2003-09-30,5.68
2003-10-31,5.84
2003-11-30,5.84
2003-12-31,5.85
2004-01-31,6.21
2004-02-29,6.26
2004-03-31,6.57
2004-04-30,6.65
2004-05-31,7.27
2004-06-30,7.4
2004-07-31,7.64
2004-08-31,7.66
2004-09-30,8.05
2004-10-31,8.64
2004-11-30,9.22
2004-12-31,9.23
2005-01-31,9.04
2005-02-28,9.04
2005-03-31,8.77
2005-04-30,8.88
2005-05-31,8.52
2005-06-30,8.8
2005-07-31,9.3
2005-08-31,9.37
2005-09-30,9.45
2005-10-31,10.29
2005-11-30,9.25
2005-12-31,8.57
2006-01-31,8.08
2006-02-28,7.26
2006-03-31,7.28
2006-04-30,7.48
2006-05-31,7.62
2006-06-30,7.55
2006-07-31,7.04
2006-08-31,7.0
2006-09-30,5.7
2006-10-31,3.85
2006-11-30,4.4
2006-12-31,5.79
2007-01-31,6.22
2007-02-28,6.62
2007-03-31,7.02
2007-04-30,6.4
2007-05-31,5.47
2007-06-30,5.31
2007-07-31,5.59
2007-08-31,6.21
2007-09-30,7.33
2007-10-31,7.72
2007-11-30,9.13
2007-12-31,8.75
2008-01-31,8.39
2008-02-29,8.76
2008-03-31,9.1
2008-04-30,10.37
2008-05-31,12.24
2008-06-30,13.56
2008-07-31,14.16
2008-08-31,13.69
2008-09-30,12.75
2008-10-31,12.93
2008-11-30,10.85
2008-12-31,9.4
2009-01-31,7.88
2009-02-28,6.5
2009-03-31,5.0
2009-04-30,3.62
2009-05-31,2.29
2009-06-30,0.62
2009-07-31,-0.3
2009-08-31,-0.73
2009-09-30,0.03
2009-10-31,-0.65
2009-11-30,-0.61
2009-12-31,-0.28
2010-01-31,1.43
2010-02-28,2.48
2010-03-31,3.93
2010-04-30,3.75
2010-05-31,3.51
2010-06-30,4.07
2010-07-31,4.12
2010-08-31,4.1
2010-09-30,3.76
2010-10-31,4.51
2010-11-30,5.25
2010-12-31,5.39
2011-01-31,4.84
2011-02-28,5.18
2011-03-31,4.88
2011-04-30,5.77
2011-05-31,6.4
2011-06-30,6.43
2011-07-31,7.03
2011-08-31,7.63
2011-09-30,7.25
2011-10-31,6.64
2011-11-30,6.06
2011-12-31,6.2
2012-01-31,5.5
2012-02-29,5.22
2012-03-31,4.66
2012-04-30,4.27
2012-05-31,3.9
2012-06-30,3.47
2012-07-31,2.86
2012-08-31,2.71
2012-09-30,3.28
2012-10-31,3.35
2012-11-30,3.11
2012-12-31,3.45
2013-01-31,3.86
2013-02-28,4.18
2013-03-31,4.34
2013-04-30,4.13
2013-05-31,4.27
2013-06-30,4.79
2013-07-31,4.74
2013-08-31,4.42
2013-09-30,4.21
2013-10-31,4.15
2013-11-30,4.63
2013-12-31,4.39
2014-01-31,4.14
2014-02-28,3.5
2014-03-31,3.25
2014-04-30,3.27
2014-05-31,3.22
2014-06-30,3.13
2014-07-31,3.41
2014-08-31,3.7
2014-09-30,3.45
2014-10-31,3.64
2014-11-30,3.38
2014-12-31,2.95
2015-01-31,2.32
2015-02-28,2.44
2015-03-31,2.43
2015-04-30,2.58
2015-05-31,2.55
2015-06-30,2.39
2015-07-31,2.32
2015-08-31,1.96
2015-09-30,1.88
2015-10-31,2.23
2015-11-30,2.51
2015-12-31,3.07
2016-01-31,4.38
2016-02-29,4.27
2016-03-31,4.26
2016-04-30,4.09
2016-05-31,4.36
2016-06-30,4.43
2016-07-31,4.62
2016-08-31,4.74
2016-09-30,4.56
2016-10-31,4.76
2016-11-30,4.67
2016-12-31,4.23
2017-01-31,3.83
2017-02-28,3.96
2017-03-31,4.0
2017-04-30,4.09
2017-05-31,3.93
2017-06-30,4.36
2017-07-31,5.22
2017-08-31,4.72
2017-09-30,4.36
2017-10-31,4.2
2017-11-30,4.69
2017-12-31,5.68
2018-01-31,4.71
2018-02-28,4.15
2018-03-31,4.14
2018-04-30,3.92
2018-05-31,4.09
2018-06-30,3.79
2018-07-31,2.61
2018-08-31,3.36
2018-09-30,4.55
2018-10-31,4.34
2018-11-30,3.15
2018-12-31,2.31
2019-01-31,4.1
2019-02-28,4.46
2019-03-31,4.17
2019-04-30,4.75
2019-05-31,4.54
2019-06-30,4.8
2019-07-31,4.37
2019-08-31,3.01
2019-09-30,1.8
2019-10-31,2.17
2019-11-30,2.92
2019-12-31,3.41
2020-01-31,1.78
2020-02-29,1.24
2020-03-31,1.77
2020-04-30,1.88
2020-05-31,1.8
2020-06-30,2.39
2020-07-31,2.88
2020-08-31,4.19
2020-09-30,4.97
2020-10-31,5.34
2020-11-30,5.46
2020-12-31,4.82
2021-01-31,5.24
2021-02-28,6.0
2021-03-31,5.84
2021-04-30,5.2
2021-05-31,5.17
2021-06-30,3.91
2021-07-31,3.82
2021-08-31,3.62
2021-09-30,3.67
2021-10-31,2.96
2021-11-30,2.89
2021-12-31,3.07
2022-01-31,2.87
2022-02-28,2.98
2022-03-31,4.17
2022-04-30,4.62
2022-05-31,5.82
2022-06-30,7.55
2022-07-31,8.36
2022-08-31,8.87
2022-09-30,9.03
2022-10-31,9.7
2022-11-30,9.17
2022-12-31,9.24
2023-01-31,9.69
2023-02-28,9.92
2023-03-31,8.71
2023-04-30,8.32
2023-05-31,6.54
2023-06-30,4.93
2023-07-31,4.53
2023-08-31,4.47
2023-09-30,4.69
2023-10-31,4.98
2023-11-30,4.3
2023-12-31,4.18
2024-01-31,3.82
2024-02-29,3.3
2024-03-31,3.24
2024-04-30,3.36
2024-05-31,3.76
2024-06-30,3.62
2024-07-31,3.78
2024-08-31,3.07
2024-09-30,2.11
2024-10-31,1.16
2024-11-30,1.66
2024-12-31,1.7
2025-01-31,2.19
2025-02-28,1.79
2025-03-31,1.57
